symbol_id,symbol,exchange,exchange_symbol,base_asset,quote_asset,settle_asset,product_type,status,contract_type,price_tick,price_decimal_places,quantity_step,quantity_decimal_places,min_quantity,max_quantity,max_market_quantity,min_notional,notional_multiplier,price_limit_up,price_limit_down,market_price_bound
0,BTC_USDT,gate,BTC_USDT,BTC,USDT,USDT,linear_perpetual,trading,direct,0.1,1,1,0,1,100000,,,0.0001,0.5,0.5,
0,BTC_USDT,binance,BTCUSDT,BTC,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,0.10,1,0.001,3,0.001,1000,120,100,1,0.05,0.05,0.05
0,BTC_USDT,bitget,BTCUSDT,BTC,USDT,USDT,linear_perpetual,online,perpetual,0.1,1,0.0001,4,0.0001,1200.0,220.0,5.0,1.0,0.05,0.05,
1,ETH_USDT,gate,ETH_USDT,ETH,USDT,USDT,linear_perpetual,trading,direct,0.01,2,1,0,1,100000,,,0.01,0.5,0.5,
1,ETH_USDT,binance,ETHUSDT,ETH,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,0.01,2,0.001,3,0.001,10000,1000,20,1,0.05,0.05,0.05
1,ETH_USDT,bitget,ETHUSDT,ETH,USDT,USDT,linear_perpetual,online,perpetual,0.01,2,0.01,2,0.01,9900.0,1900.0,5.0,1.0,0.05,0.05,
2,SOL_USDT,gate,SOL_USDT,SOL,USDT,USDT,linear_perpetual,trading,direct,0.001,3,1,0,1,100000,,,1,0.5,0.5,
2,SOL_USDT,binance,SOLUSDT,SOL,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,0.001,3,0.1,1,0.1,100000,10000,5,1,0.05,0.05,0.05
2,SOL_USDT,bitget,SOLUSDT,SOL,USDT,USDT,linear_perpetual,online,perpetual,0.001,3,0.1,1,0.1,62000.0,7800.0,5.0,1.0,0.05,0.05,
3,ORDI_USDT,gate,ORDI_USDT,ORDI,USDT,USDT,linear_perpetual,TRADING,direct,0.001,3,1.0,0,1.0,3000000.0,2000000.0,,0.1,0.07,0.07,0.025
3,ORDI_USDT,binance,ORDIUSDT,ORDI,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,0.001,3,0.1,1,0.1,200000.0,20000.0,5.0,1.0,0.15,0.15,0.15
3,ORDI_USDT,bitget,ORDIUSDT,ORDI,USDT,USDT,linear_perpetual,online,perpetual,0.001,3,0.01,2,0.01,110000.0,18000.0,5.0,1.0,0.15,0.15,
4,PROVE_USDT,gate,PROVE_USDT,PROVE,USDT,USDT,linear_perpetual,TRADING,direct,0.0001,4,1.0,0,1.0,68000.0,45000.0,,10.0,0.1,0.1,0.035
4,PROVE_USDT,binance,PROVEUSDT,PROVE,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,0.0001,4,0.1,1,0.1,2000000.0,200000.0,5.0,1.0,0.15,0.15,0.15
4,PROVE_USDT,bitget,PROVEUSDT,PROVE,USDT,USDT,linear_perpetual,online,perpetual,0.0001,4,1.0,0,1.0,950000.0,160000.0,5.0,1.0,0.15,0.15,
5,RAVE_USDT,gate,RAVE_USDT,RAVE,USDT,USDT,linear_perpetual,TRADING,direct,0.0001,4,0.1,1,0.1,68000.0,45000.0,,10.0,0.15,0.15,0.04
5,RAVE_USDT,binance,RAVEUSDT,RAVE,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,0.0001,4,1.0,0,1.0,3000000.0,300000.0,5.0,1.0,0.15,0.15,0.15
5,RAVE_USDT,bitget,RAVEUSDT,RAVE,USDT,USDT,linear_perpetual,online,perpetual,1e-05,5,1.0,0,1.0,1500000.0,270000.0,5.0,1.0,0.15,0.15,
6,ZEC_USDT,gate,ZEC_USDT,ZEC,USDT,USDT,linear_perpetual,TRADING,direct,0.01,2,1.0,0,1.0,900000.0,600000.0,,0.01,0.07,0.07,0.025
