symbol_id,symbol,exchange,exchange_symbol,base_asset,quote_asset,settle_asset,product_type,status,contract_type,price_tick,price_decimal_places,quantity_step,quantity_decimal_places,min_quantity,max_quantity,max_market_quantity,min_notional,notional_multiplier,contract_multiplier,price_limit_up,price_limit_down,market_price_bound
0,0G_USDT,gate,0G_USDT,0G,USDT,USDT,linear_perpetual,TRADING,direct,0.0001,4,1.0,0,1.0,450000.0,300000.0,,1.0,1.0,0.15,0.15,0.04
0,0G_USDT,binance,0GUSDT,0G,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,0.0001,4,1.0,0,1.0,2000000.0,200000.0,5.0,1.0,1.0,0.15,0.15,0.15
1,1INCH_USDT,gate,1INCH_USDT,1INCH,USDT,USDT,linear_perpetual,TRADING,direct,1e-05,5,1.0,0,1.0,1400000.0,900000.0,,1.0,1.0,0.15,0.15,0.04
1,1INCH_USDT,binance,1INCHUSDT,1INCH,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,0.0001,4,1.0,0,1.0,20000000.0,2000000.0,5.0,1.0,1.0,0.1,0.1,0.1
2,2Z_USDT,gate,2Z_USDT,2Z,USDT,USDT,linear_perpetual,TRADING,direct,1e-05,5,1.0,0,1.0,30000.0,20000.0,,100.0,100.0,0.15,0.15,0.04
2,2Z_USDT,binance,2ZUSDT,2Z,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,1e-05,5,1.0,0,1.0,20000000.0,2000000.0,5.0,1.0,1.0,0.2,0.2,0.2
3,4_USDT,gate,4_USDT,4,USDT,USDT,linear_perpetual,TRADING,direct,1e-06,6,1.0,0,1.0,530000.0,350000.0,,10.0,10.0,0.2,0.2,0.05
3,4_USDT,binance,4USDT,4,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,1e-06,6,1.0,0,1.0,50000000.0,5000000.0,5.0,1.0,1.0,0.15,0.15,0.15
4,AAVE_USDT,gate,AAVE_USDT,AAVE,USDT,USDT,linear_perpetual,TRADING,direct,0.01,2,1.0,0,1.0,5300000.0,3500000.0,,0.01,0.01,0.05,0.05,0.02
4,AAVE_USDT,binance,AAVEUSDT,AAVE,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,0.01,2,0.1,1,0.1,1000000.0,9000.0,5.0,1.0,1.0,0.1,0.1,0.1
5,ACE_USDT,gate,ACE_USDT,ACE,USDT,USDT,linear_perpetual,TRADING,direct,0.0001,4,1.0,0,1.0,8300000.0,5500000.0,,0.1,0.1,0.2,0.2,0.05
5,ACE_USDT,binance,ACEUSDT,ACE,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,1e-05,5,0.01,2,0.01,5000000.0,500000.0,5.0,1.0,1.0,0.15,0.15,0.15
6,ACH_USDT,gate,ACH_USDT,ACH,USDT,USDT,linear_perpetual,TRADING,direct,1e-06,6,1.0,0,1.0,2300000.0,1500000.0,,11.0,11.0,0.15,0.15,0.04
6,ACH_USDT,binance,ACHUSDT,ACH,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,1e-06,6,1.0,0,1.0,100000000.0,10000000.0,5.0,1.0,1.0,0.15,0.15,0.15
7,ACT_USDT,gate,ACT_USDT,ACT,USDT,USDT,linear_perpetual,TRADING,direct,1e-05,5,1.0,0,1.0,450000.0,300000.0,,10.0,10.0,0.2,0.2,0.05
7,ACT_USDT,binance,ACTUSDT,ACT,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,1e-05,5,1.0,0,1.0,50000000.0,5000000.0,5.0,1.0,1.0,0.15,0.15,0.15
8,ACU_USDT,gate,ACU_USDT,ACU,USDT,USDT,linear_perpetual,TRADING,direct,1e-05,5,1.0,0,1.0,30000.0,20000.0,,10.0,10.0,0.2,0.2,0.05
8,ACU_USDT,binance,ACUUSDT,ACU,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,1e-05,5,1.0,0,1.0,8000000.0,800000.0,5.0,1.0,1.0,0.15,0.15,0.15
9,ADA_USDT,gate,ADA_USDT,ADA,USDT,USDT,linear_perpetual,TRADING,direct,0.0001,4,1.0,0,1.0,2300000.0,1500000.0,,10.0,10.0,0.03,0.03,0.015
9,ADA_USDT,binance,ADAUSDT,ADA,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,0.0001,4,1.0,0,1.0,30000000.0,3000000.0,5.0,1.0,1.0,0.05,0.05,0.05
