symbol_id,symbol,exchange,exchange_symbol,base_asset,quote_asset,settle_asset,product_type,status,contract_type,price_tick,price_decimal_places,quantity_step,quantity_decimal_places,min_quantity,max_quantity,max_market_quantity,min_notional,notional_multiplier,price_limit_up,price_limit_down,market_price_bound
0,PROVE_USDT,gate,PROVE_USDT,PROVE,USDT,USDT,linear_perpetual,TRADING,direct,0.0001,4,1.0,0,1.0,68000.0,45000.0,,10.0,0.1,0.1,0.035
1,RAVE_USDT,gate,RAVE_USDT,RAVE,USDT,USDT,linear_perpetual,TRADING,direct,0.0001,4,0.1,1,0.1,68000.0,45000.0,,10.0,0.15,0.15,0.04
2,ZEC_USDT,gate,ZEC_USDT,ZEC,USDT,USDT,linear_perpetual,TRADING,direct,0.01,2,1.0,0,1.0,900000.0,600000.0,,0.01,0.07,0.07,0.025
3,SIREN_USDT,gate,SIREN_USDT,SIREN,USDT,USDT,linear_perpetual,TRADING,direct,1e-05,5,0.1,1,0.1,7500.0,5000.0,,100.0,0.07,0.07,0.025
4,ETC_USDT,gate,ETC_USDT,ETC,USDT,USDT,linear_perpetual,TRADING,direct,0.001,3,1.0,0,1.0,530000.0,350000.0,,0.1,0.07,0.07,0.025
0,PROVE_USDT,binance,PROVEUSDT,PROVE,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,0.0001,4,0.1,1,0.1,2000000.0,200000.0,5.0,1.0,0.15,0.15,0.15
1,RAVE_USDT,binance,RAVEUSDT,RAVE,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,0.0001,4,1.0,0,1.0,3000000.0,300000.0,5.0,1.0,0.15,0.15,0.15
2,ZEC_USDT,binance,ZECUSDT,ZEC,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,0.01,2,0.001,3,0.001,6000.0,2000.0,5.0,1.0,0.1,0.1,0.1
3,SIREN_USDT,binance,SIRENUSDT,SIREN,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,0.0001,4,1.0,0,1.0,15000000.0,1000000.0,5.0,1.0,0.2,0.2,0.2
4,ETC_USDT,binance,ETCUSDT,ETC,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,0.001,3,0.01,2,0.01,300000.0,30000.0,20.0,1.0,0.1,0.1,0.1
