exchange,symbol,exchange_symbol,tick_size,vol_30m_bps,vol_60m_bps,quote_volume_30m,quote_volume_60m,volume_30m,volume_60m,valid_30m,valid_60m,close_count,latest_closed_open_time_ms,reference_price
binance,0G_USDT,0GUSDT,0.0001,36.657813,67.188079,36936.216900,100473.309500,96218.000000,261560.000000,true,true,120,1780455240000,0.383600
binance,1INCH_USDT,1INCHUSDT,0.0001,52.696396,76.459451,34275.252600,104031.329500,425572.000000,1289796.000000,true,true,120,1780455240000,0.080600
binance,2Z_USDT,2ZUSDT,0.00001,34.639192,60.862145,26562.096520,64930.046010,334257.000000,814683.000000,true,true,120,1780455240000,0.079560
binance,4_USDT,4USDT,0.000001,72.130790,124.936774,23725.452355,99151.874785,2874986.000000,12019390.000000,true,true,120,1780455240000,0.008233
binance,AAVE_USDT,AAVEUSDT,0.01,54.267850,84.791480,783614.332000,1897280.259000,10573.700000,25582.900000,true,true,120,1780455240000,74.140000
binance,ACE_USDT,ACEUSDT,0.0001,46.167539,96.504448,12398.370471,39678.516807,112273.440000,358550.220000,true,true,120,1780455240000,0.110300
binance,ACH_USDT,ACHUSDT,0.000001,52.010712,83.059225,12100.949188,39455.075753,2038732.000000,6640382.000000,true,true,120,1780455240000,0.005948
binance,ACT_USDT,ACTUSDT,0.00001,56.428847,102.643072,17280.439700,50179.448580,1561493.000000,4516662.000000,true,true,120,1780455240000,0.011080
binance,ACU_USDT,ACUUSDT,0.00001,65.066576,107.404674,14108.172610,28955.184620,156884.000000,322272.000000,true,true,120,1780455240000,0.089500
binance,ADA_USDT,ADAUSDT,0.0001,42.460427,70.660666,2782711.815300,4875125.485800,13129121.000000,22949064.000000,true,true,120,1780455240000,0.212000
binance,AERO_USDT,AEROUSDT,0.0001,39.865889,78.157716,55784.916760,135999.696070,149250.300000,363500.300000,true,true,120,1780455240000,0.373600
binance,AEVO_USDT,AEVOUSDT,0.00001,55.860519,81.190209,34181.900402,59667.856962,1514791.000000,2646927.900000,true,true,120,1780455240000,0.022560
binance,AGLD_USDT,AGLDUSDT,0.0001,131.724584,195.457149,148831.741500,371639.119900,672109.000000,1684338.000000,true,true,120,1780455240000,0.220600
binance,AGT_USDT,AGTUSDT,0.000001,77.896297,126.809286,25259.246730,60354.404811,2031927.000000,4841831.000000,true,true,120,1780455240000,0.012381
