run_id,signal_index,log_time,trigger_ticker_id,trigger_exchange,trigger_symbol_id,symbol,symbol_id,signal_role,action,side,reduce_only,signal_position_id,raw_price,local_order_id,request_sequence,exchange_order_id,order_role,order_position_id,position_event,position_direction,order_price,price_tick,slippage_ticks,quantity,status,cumulative_filled_quantity,average_fill_price,exec_slippage_ticks,ack_rtt_ns,order_finished_local_ns,warnings
20260525_091251_12pair_live,1,2026-05-25 09:16:47.267306863,10626203158919,kBinance,12,INJ_USDT,12,kLead,kOpenShort,kSell,false,0,5.224,288230376151711745,2,88664618534879721,entry,1,kEntrySubmit,kShort,5.221,0.001,3,191,kFilled,191,5.22172,2.28,3230416,1779700607282553080,
20260525_091251_12pair_live,2,2026-05-25 09:16:47.282556180,10626203160836,kBinance,12,INJ_USDT,12,kLead,kCloseShort,kBuy,true,1,5.223,288230376151711746,3,88664618534879747,exit,1,kExitSubmit,kShort,5.226,0.001,3,191,kFilled,191,5.22363,0.63,904866,1779700607432549671,
20260525_091251_12pair_live,3,2026-05-25 09:16:51.406798357,10626203494844,kBinance,5,RAVE_USDT,5,kLead,kOpenLong,kBuy,false,0,0.5802,288230376151711747,4,294985777052549888,entry,1,kEntrySubmit,kLong,0.5805,0.0001,3,17.2,kCancelled,0,0,,3743693,1779700611422544423,
20260525_091251_12pair_live,4,2026-05-25 09:18:38.081572115,10626211234653,kBinance,9,DASH_USDT,9,kLead,kOpenLong,kBuy,false,0,45.37,288230376151711748,5,51509920984397970,entry,1,kEntrySubmit,kLong,45.4,0.01,3,220,kFilled,220,45.3953,2.53,844997,1779700718097545662,
20260525_091251_12pair_live,5,2026-05-25 09:18:38.097548524,4022430158,kGate,9,DASH_USDT,9,kLag,kCloseLong,kSell,true,1,45.38,288230376151711749,6,51509920984397988,exit,1,kExitSubmit,kLong,45.35,0.01,3,220,kFilled,220,45.3746,0.54,776490,1779700718103543586,
20260525_091251_12pair_live,6,2026-05-25 09:19:03.874543837,10626213244740,kBinance,4,PROVE_USDT,4,kLead,kOpenLong,kBuy,false,0,0.2688,288230376151711750,7,260082878984787983,entry,1,kEntrySubmit,kLong,0.2691,0.0001,3,37,kFilled,37,0.269056,2.56,820396,1779700743886543598,
20260525_091251_12pair_live,7,2026-05-25 09:19:03.886544778,982287742,kGate,4,PROVE_USDT,4,kLag,kCloseLong,kSell,true,1,0.2689,288230376151711751,8,260082878984787992,exit,1,kExitSubmit,kLong,0.2686,0.0001,3,37,kFilled,37,0.2689,0,885252,1779700743892542887,
20260525_091251_12pair_live,8,2026-05-25 09:20:21.201636960,10626219223422,kBinance,6,ZEC_USDT,6,kLead,kOpenLong,kBuy,false,0,658.04,288230376151711752,9,206602634292321353,entry,1,kEntrySubmit,kLong,658.07,0.01,3,15,kCancelled,0,0,,803690,1779700821230545254,
20260525_091251_12pair_live,9,2026-05-25 09:24:25.966544779,10626237737758,kBinance,7,SIREN_USDT,7,kLead,kOpenLong,kBuy,false,0,0.50577,288230376151711753,10,223491133160356883,entry,1,kEntrySubmit,kLong,0.5058,1e-05,3,1.9,kCancelled,0,0,,8308362,1779701065985544824,
20260525_091251_12pair_live,10,2026-05-25 09:25:50.231544315,10626243314370,kBinance,4,PROVE_USDT,4,kLead,kOpenShort,kSell,false,0,0.2696,288230376151711754,11,260082878984789572,entry,2,kEntrySubmit,kShort,0.2693,0.0001,3,37,kPartiallyCancelled,17,0.2693,3,1004508,1779701150237544735,
20260525_091251_12pair_live,11,2026-05-25 09:25:50.237546862,982290815,kGate,4,PROVE_USDT,4,kLag,kCloseShort,kBuy,true,2,0.2693,288230376151711755,12,260082878984789591,exit,2,kExitSubmit,kShort,0.2696,0.0001,3,17,kFilled,17,0.2693,0,852901,1779701150243543730,
20260525_091251_12pair_live,12,2026-05-25 09:39:33.763986169,10626313720775,kBinance,5,RAVE_USDT,5,kLead,kOpenLong,kBuy,false,0,0.5784,288230376151711756,13,294985777052565250,entry,2,kEntrySubmit,kLong,0.5787,0.0001,3,17.2,kCancelled,0,0,,9551239,1779701973773561716,
