run_id,local_order_id,text_order_id,request_sequence,encoded_request_id,exchange_order_id,symbol,symbol_id,trigger_ticker_id,trigger_exchange,trigger_symbol_id,signal_role,order_role,position_id,position_event,position_direction,entry_local_order_id,action,side,reduce_only,time_in_force,status,finish_reason,reject_reason,raw_price,order_price,price_text,price_tick,slippage_ticks,order_offset_ticks,quantity,quantity_text,cumulative_filled_quantity,left_quantity,cancelled_quantity,fill_rate,average_fill_price,last_fill_price,contract_multiplier,filled_notional,fill_role,exec_slippage_price,exec_slippage_ticks,exec_slippage_bps,exec_slippage_quote,limit_improvement_ticks,fee_rate_config,fee_quote_estimated,fee_source,ack_rtt_ns,request_send_local_ns,ack_local_receive_ns,order_finished_local_ns,source_schema,warnings
20260525_091251_12pair_live,288230376151711745,t-288230376151711745,2,144115188075855874,88664618534879721,INJ_USDT,12,10626203158919,kBinance,12,kLead,entry,1,kEntrySubmit,kShort,288230376151711745,kOpenShort,kSell,false,kImmediateOrCancel,kFilled,kUnknown,kUnknown,5.224,5.221,5.221,0.001,3,3,191,191,191,0,0,1,5.22172,5.22172,0.1,99.734852,kTaker,0.00228,2.28,4.364471669218989280245022970903522,0.043548,0.72,,,,3230416,1779700607267316284,1779700607270546700,1779700607282553080,submitted_v1,
20260525_091251_12pair_live,288230376151711746,t-288230376151711746,3,144115188075855875,88664618534879747,INJ_USDT,12,10626203160836,kBinance,12,kLead,exit,1,kExitSubmit,kShort,288230376151711745,kCloseShort,kBuy,true,kImmediateOrCancel,kFilled,kUnknown,kUnknown,5.223,5.226,5.226,0.001,3,3,191,191,191,0,0,1,5.22363,5.22363,0.1,99.771333,kTaker,0.00063,0.63,1.206203331418724870763928776565192,0.012033,2.37,,,,904866,1779700607282559506,1779700607283464372,1779700607432549671,submitted_v1,
20260525_091251_12pair_live,288230376151711747,t-288230376151711747,4,144115188075855876,294985777052549888,RAVE_USDT,5,10626203494844,kBinance,5,kLead,entry,1,kEntrySubmit,kLong,288230376151711747,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,0.5802,0.5805,0.5805,0.0001,3,3,17.2,17.2,0,17.2,17.2,0,0,0,10.0,,kNone,,,,,,,,,3743693,1779700611406806957,1779700611410550650,1779700611422544423,submitted_v1,
20260525_091251_12pair_live,288230376151711748,t-288230376151711748,5,144115188075855877,51509920984397970,DASH_USDT,9,10626211234653,kBinance,9,kLead,entry,1,kEntrySubmit,kLong,288230376151711748,kOpenLong,kBuy,false,kImmediateOrCancel,kFilled,kUnknown,kUnknown,45.37,45.4,45.40,0.01,3,3,220,220,220,0,0,1,45.3953,45.3953,0.01,99.86966,kTaker,0.0253,2.53,5.576372052016751157152303284108442,0.05566,0.47,,,,844997,1779700718081583035,1779700718082428032,1779700718097545662,submitted_v1,
20260525_091251_12pair_live,288230376151711749,t-288230376151711749,6,144115188075855878,51509920984397988,DASH_USDT,9,4022430158,kGate,9,kLag,exit,1,kExitSubmit,kLong,288230376151711748,kCloseLong,kSell,true,kImmediateOrCancel,kFilled,kUnknown,kUnknown,45.38,45.35,45.35,0.01,3,3,220,220,220,0,0,1,45.3746,45.3746,0.01,99.82412,kTaker,0.0054,0.54,1.189951520493609519612163948876157,0.01188,2.46,,,,776490,1779700718097550767,1779700718098327257,1779700718103543586,submitted_v1,
20260525_091251_12pair_live,288230376151711750,t-288230376151711750,7,144115188075855879,260082878984787983,PROVE_USDT,4,10626213244740,kBinance,4,kLead,entry,1,kEntrySubmit,kLong,288230376151711750,kOpenLong,kBuy,false,kImmediateOrCancel,kFilled,kUnknown,kUnknown,0.2688,0.2691,0.2691,0.0001,3,3,37,37,37,0,0,1,0.269056,0.269056,10.0,99.55072,kTaker,0.000256,2.56,9.523809523809523809523809523809524,0.09472,0.44,,,,820396,1779700743874549550,1779700743875369946,1779700743886543598,submitted_v1,
20260525_091251_12pair_live,288230376151711751,t-288230376151711751,8,144115188075855880,260082878984787992,PROVE_USDT,4,982287742,kGate,4,kLag,exit,1,kExitSubmit,kLong,288230376151711750,kCloseLong,kSell,true,kImmediateOrCancel,kFilled,kUnknown,kUnknown,0.2689,0.2686,0.2686,0.0001,3,3,37,37,37,0,0,1,0.2689,0.2689,10.0,99.493,kTaker,0,0,0,0,3,,,,885252,1779700743886546609,1779700743887431861,1779700743892542887,submitted_v1,
20260525_091251_12pair_live,288230376151711752,t-288230376151711752,9,144115188075855881,206602634292321353,ZEC_USDT,6,10626219223422,kBinance,6,kLead,entry,1,kEntrySubmit,kLong,288230376151711752,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,658.04,658.07,658.07,0.01,3,3,15,15,0,15,15,0,0,0,0.01,,kNone,,,,,,,,,803690,1779700821201645909,1779700821202449599,1779700821230545254,submitted_v1,
20260525_091251_12pair_live,288230376151711753,t-288230376151711753,10,144115188075855882,223491133160356883,SIREN_USDT,7,10626237737758,kBinance,7,kLead,entry,1,kEntrySubmit,kLong,288230376151711753,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,0.50577,0.5058,0.50580,1e-05,3,3,1.9,1.9,0,1.9,1.9,0,0,0,100.0,,kNone,,,,,,,,,8308362,1779701065966554658,1779701065974863020,1779701065985544824,submitted_v1,
20260525_091251_12pair_live,288230376151711754,t-288230376151711754,11,144115188075855883,260082878984789572,PROVE_USDT,4,10626243314370,kBinance,4,kLead,entry,2,kEntrySubmit,kShort,288230376151711754,kOpenShort,kSell,false,kImmediateOrCancel,kPartiallyCancelled,kImmediateOrCancel,kUnknown,0.2696,0.2693,0.2693,0.0001,3,3,37,37,17,20,20,0.4594594594594594594594594594594595,0.2693,0.2693,10.0,45.781,kNone,0.0003,3,11.12759643916913946587537091988131,0.051,0,,,,1004508,1779701150231554005,1779701150232558513,1779701150237544735,submitted_v1,
20260525_091251_12pair_live,288230376151711755,t-288230376151711755,12,144115188075855884,260082878984789591,PROVE_USDT,4,982290815,kGate,4,kLag,exit,2,kExitSubmit,kShort,288230376151711754,kCloseShort,kBuy,true,kImmediateOrCancel,kFilled,kUnknown,kUnknown,0.2693,0.2696,0.2696,0.0001,3,3,17,17,17,0,0,1,0.2693,0.2693,10.0,45.781,kTaker,0,0,0,0,3,,,,852901,1779701150237548880,1779701150238401781,1779701150243543730,submitted_v1,
20260525_091251_12pair_live,288230376151711756,t-288230376151711756,13,144115188075855885,294985777052565250,RAVE_USDT,5,10626313720775,kBinance,5,kLead,entry,2,kEntrySubmit,kLong,288230376151711756,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,0.5784,0.5787,0.5787,0.0001,3,3,17.2,17.2,0,17.2,17.2,0,0,0,10.0,,kNone,,,,,,,,,9551239,1779701973763996787,1779701973773548026,1779701973773561716,submitted_v1,
