run_id,latency_key,local_order_id,exchange_order_id,symbol,symbol_id,position_id,position_direction,order_role,action,side,reduce_only,status,finish_reason,reject_reason,request_sequence,encoded_request_id,request_send_local_ns,ack_local_receive_ns,response_local_receive_ns,order_finished_local_ns,ack_exchange_ns,response_exchange_ns,accepted_exchange_ns,finish_exchange_ns,ack_rtt_ns,response_rtt_ns,send_to_ack_local_ns,send_to_response_local_ns,send_to_finish_local_ns,ack_to_finish_local_ns,ack_exchange_to_local_ns,response_exchange_to_local_ns,exchange_lifecycle_ns,warnings
20260525_133511_12pair_live_2ticks,20260525_133511_12pair_live_2ticks:288230376151711745,288230376151711745,206602634295434301,ZEC_USDT,6,1,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,2,144115188075855874,1779716248065554789,1779716248071547674,0,1779716248083544721,1779716248067263000,0,0,1779716248080000000,5992885,0,5992885,-1779716248065554789,17989932,11997047,4284674,0,0,
20260525_133511_12pair_live_2ticks,20260525_133511_12pair_live_2ticks:288230376151711746,288230376151711746,206602634295436891,ZEC_USDT,6,2,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,3,144115188075855875,1779716256265528689,1779716256270546309,0,1779716256276543297,1779716256268170000,0,0,1779716256270000000,5017620,0,5017620,-1779716256265528689,11014608,5996988,2376309,0,0,
20260525_133511_12pair_live_2ticks,20260525_133511_12pair_live_2ticks:288230376151711747,288230376151711747,206602634295487914,ZEC_USDT,6,3,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,4,144115188075855876,1779716542144554195,1779716542150549012,0,1779716542156544295,1779716542146517000,0,0,1779716542150000000,5994817,0,5994817,-1779716542144554195,11990100,5995283,4032012,0,0,
20260525_133511_12pair_live_2ticks,20260525_133511_12pair_live_2ticks:288230376151711748,288230376151711748,206602634295490579,ZEC_USDT,6,4,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,5,144115188075855877,1779716544382549647,1779716544388546039,0,1779716544407543783,1779716544384415000,0,0,1779716544398000000,5996392,0,5996392,-1779716544382549647,24994136,18997744,4131039,0,0,
20260525_133511_12pair_live_2ticks,20260525_133511_12pair_live_2ticks:288230376151711749,288230376151711749,88664618535461825,INJ_USDT,12,1,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,6,144115188075855878,1779716595807553644,1779716595813546817,0,1779716595819550646,1779716595809411000,0,0,1779716595815000000,5993173,0,5993173,-1779716595807553644,11997002,6003829,4135817,0,0,
20260525_133511_12pair_live_2ticks,20260525_133511_12pair_live_2ticks:288230376151711750,288230376151711750,88664618535463218,INJ_USDT,12,2,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,7,144115188075855879,1779716602096917132,1779716602102545364,0,1779716602102549898,1779716602098692000,0,0,1779716602099000000,5628232,0,5628232,-1779716602096917132,5632766,4534,3853364,0,0,
20260525_133511_12pair_live_2ticks,20260525_133511_12pair_live_2ticks:288230376151711751,288230376151711751,206602634295548176,ZEC_USDT,6,5,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,8,144115188075855880,1779716887311729655,1779716887322566414,0,1779716887327544925,1779716887320744000,0,0,1779716887323000000,10836759,0,10836759,-1779716887311729655,15815270,4978511,1822414,0,0,
20260525_133511_12pair_live_2ticks,20260525_133511_12pair_live_2ticks:288230376151711752,288230376151711752,260082878984836552,PROVE_USDT,4,1,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,9,144115188075855881,1779716890655274562,1779716890660546954,0,1779716890672542698,1779716890657124000,0,0,1779716890666000000,5272392,0,5272392,-1779716890655274562,17268136,11995744,3422954,0,0,
20260525_133511_12pair_live_2ticks,20260525_133511_12pair_live_2ticks:288230376151711753,288230376151711753,206602634295558640,ZEC_USDT,6,6,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,10,144115188075855882,1779716924240620714,1779716924244545293,0,1779716924256544888,1779716924242487000,0,0,1779716924249000000,3924579,0,3924579,-1779716924240620714,15924174,11999595,2058293,0,0,
20260525_133511_12pair_live_2ticks,20260525_133511_12pair_live_2ticks:288230376151711754,288230376151711754,206602634295577022,ZEC_USDT,6,7,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,11,144115188075855883,1779717007249552872,1779717007255546754,0,1779717007261544266,1779717007251397000,0,0,1779717007253000000,5993882,0,5993882,-1779717007249552872,11991394,5997512,4149754,0,0,
20260525_133511_12pair_live_2ticks,20260525_133511_12pair_live_2ticks:288230376151711755,288230376151711755,175640389419723922,SUI_USDT,11,1,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,12,144115188075855884,1779717056147910101,1779717056151659921,0,1779717056181544128,1779717056149791000,0,0,1779717056175000000,3749820,0,3749820,-1779717056147910101,33634027,29884207,1868921,0,0,
20260525_133511_12pair_live_2ticks,20260525_133511_12pair_live_2ticks:288230376151711756,288230376151711756,88664618535484913,INJ_USDT,12,3,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,13,144115188075855885,1779717200290553925,1779717200296551517,0,1779717200296544295,1779717200292376000,0,0,1779717200294000000,5997592,0,5997592,-1779717200290553925,5990370,-7222,4175517,0,0,
20260525_133511_12pair_live_2ticks,20260525_133511_12pair_live_2ticks:288230376151711757,288230376151711757,260082878984838740,PROVE_USDT,4,2,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,14,144115188075855886,1779717356748298823,1779717356752548256,0,1779717356758551305,1779717356750052000,0,0,1779717356753000000,4249433,0,4249433,-1779717356748298823,10252482,6003049,2496256,0,0,
20260525_133511_12pair_live_2ticks,20260525_133511_12pair_live_2ticks:288230376151711758,288230376151711758,206602634295625125,ZEC_USDT,6,8,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,15,144115188075855887,1779717371700390214,1779717371704260544,0,1779717371715543454,1779717371702413000,0,0,1779717371712000000,3870330,0,3870330,-1779717371700390214,15153240,11282910,1847544,0,0,
20260525_133511_12pair_live_2ticks,20260525_133511_12pair_live_2ticks:288230376151711759,288230376151711759,260082878984839474,PROVE_USDT,4,3,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,16,144115188075855888,1779717433179552459,1779717433185551576,0,1779717433185545273,1779717433181531000,0,0,1779717433182000000,5999117,0,5999117,-1779717433179552459,5992814,-6303,4020576,0,0,
20260525_133511_12pair_live_2ticks,20260525_133511_12pair_live_2ticks:288230376151711760,288230376151711760,88664618535501020,INJ_USDT,12,4,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,17,144115188075855889,1779717674261118179,1779717674270548301,0,1779717674277545189,1779717674267482000,0,0,1779717674270000000,9430122,0,9430122,-1779717674261118179,16427010,6996888,3066301,0,0,
20260525_133511_12pair_live_2ticks,20260525_133511_12pair_live_2ticks:288230376151711761,288230376151711761,88664618535501636,INJ_USDT,12,5,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,18,144115188075855890,1779717678813143933,1779717678818546916,0,1779717678824543772,1779717678814996000,0,0,1779717678819000000,5402983,0,5402983,-1779717678813143933,11399839,5996856,3550916,0,0,
20260525_133511_12pair_live_2ticks,20260525_133511_12pair_live_2ticks:288230376151711762,288230376151711762,88664618535502204,INJ_USDT,12,6,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,19,144115188075855891,1779717680063158290,1779717680066935293,0,1779717680072543303,1779717680065055000,0,0,1779717680068000000,3777003,0,3777003,-1779717680063158290,9385013,5608010,1880293,0,0,
20260525_133511_12pair_live_2ticks,20260525_133511_12pair_live_2ticks:288230376151711763,288230376151711763,88664618535503615,INJ_USDT,12,7,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,20,144115188075855892,1779717690731548436,1779717690737547433,0,1779717690743543493,1779717690733288000,0,0,1779717690735000000,5998997,0,5998997,-1779717690731548436,11995057,5996060,4259433,0,0,
20260525_133511_12pair_live_2ticks,20260525_133511_12pair_live_2ticks:288230376151711764,288230376151711764,206602634295674341,ZEC_USDT,6,9,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,21,144115188075855893,1779717690768746289,1779717690773545716,0,1779717690803542878,1779717690770572000,0,0,1779717690799000000,4799427,0,4799427,-1779717690768746289,34796589,29997162,2973716,0,0,
20260525_133511_12pair_live_2ticks,20260525_133511_12pair_live_2ticks:288230376151711765,288230376151711765,63331870910142631,ETC_USDT,8,1,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,22,144115188075855894,1779717749974188349,1779717749977992872,0,1779717749989544637,1779717749976103000,0,0,1779717749982000000,3804523,0,3804523,-1779717749974188349,15356288,11551765,1889872,0,0,
