run_id,local_order_id,text_order_id,request_sequence,encoded_request_id,exchange_order_id,symbol,symbol_id,trigger_ticker_id,trigger_exchange,trigger_symbol_id,signal_role,order_role,position_id,position_event,position_direction,entry_local_order_id,action,side,reduce_only,time_in_force,status,finish_reason,reject_reason,raw_price,order_price,price_text,price_tick,slippage_ticks,order_offset_ticks,quantity,quantity_text,cumulative_filled_quantity,left_quantity,cancelled_quantity,fill_rate,average_fill_price,last_fill_price,contract_multiplier,filled_notional,fill_role,exec_slippage_price,exec_slippage_ticks,exec_slippage_bps,exec_slippage_quote,limit_improvement_ticks,fee_rate_config,fee_quote_estimated,fee_source,ack_rtt_ns,request_send_local_ns,ack_local_receive_ns,order_finished_local_ns,source_schema,warnings
20260525_133511_12pair_live_2ticks,288230376151711745,t-288230376151711745,2,144115188075855874,206602634295434301,ZEC_USDT,6,10627437935804,kBinance,6,kLead,entry,1,kEntrySubmit,kShort,288230376151711745,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,666.73,666.71,666.71,0.01,2,2,14,14,0,14,14,0,0,0,0.01,,kNone,,,,,,0.00016,,,5992885,1779716248065554789,1779716248071547674,1779716248083544721,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711746,t-288230376151711746,3,144115188075855875,206602634295436891,ZEC_USDT,6,10627438539403,kBinance,6,kLead,entry,2,kEntrySubmit,kShort,288230376151711746,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,666.67,666.65,666.65,0.01,2,2,15,15,0,15,15,0,0,0,0.01,,kNone,,,,,,0.00016,,,5017620,1779716256265528689,1779716256270546309,1779716256276543297,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711747,t-288230376151711747,4,144115188075855876,206602634295487914,ZEC_USDT,6,10627462725519,kBinance,6,kLead,entry,3,kEntrySubmit,kShort,288230376151711747,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,668.46,668.44,668.44,0.01,2,2,14,14,0,14,14,0,0,0,0.01,,kNone,,,,,,0.00016,,,5994817,1779716542144554195,1779716542150549012,1779716542156544295,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711748,t-288230376151711748,5,144115188075855877,206602634295490579,ZEC_USDT,6,10627463036125,kBinance,6,kLead,entry,4,kEntrySubmit,kLong,288230376151711748,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,668.13,668.15,668.15,0.01,2,2,14,14,0,14,14,0,0,0,0.01,,kNone,,,,,,0.00016,,,5996392,1779716544382549647,1779716544388546039,1779716544407543783,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711749,t-288230376151711749,6,144115188075855878,88664618535461825,INJ_USDT,12,10627466561322,kBinance,12,kLead,entry,1,kEntrySubmit,kLong,288230376151711749,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,5.642,5.644,5.644,0.001,2,2,177,177,0,177,177,0,0,0,0.1,,kNone,,,,,,0.00016,,,5993173,1779716595807553644,1779716595813546817,1779716595819550646,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711750,t-288230376151711750,7,144115188075855879,88664618535463218,INJ_USDT,12,10627467179607,kBinance,12,kLead,entry,2,kEntrySubmit,kShort,288230376151711750,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,5.652,5.65,5.650,0.001,2,2,176,176,0,176,176,0,0,0,0.1,,kNone,,,,,,0.00016,,,5628232,1779716602096917132,1779716602102545364,1779716602102549898,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711751,t-288230376151711751,8,144115188075855880,206602634295548176,ZEC_USDT,6,10627490446529,kBinance,6,kLead,entry,5,kEntrySubmit,kLong,288230376151711751,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,668.96,668.98,668.98,0.01,2,2,14,14,0,14,14,0,0,0,0.01,,kNone,,,,,,0.00016,,,10836759,1779716887311729655,1779716887322566414,1779716887327544925,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711752,t-288230376151711752,9,144115188075855881,260082878984836552,PROVE_USDT,4,10627490697233,kBinance,4,kLead,entry,1,kEntrySubmit,kLong,288230376151711752,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,0.2707,0.2709,0.2709,0.0001,2,2,36,36,0,36,36,0,0,0,10.0,,kNone,,,,,,0.00016,,,5272392,1779716890655274562,1779716890660546954,1779716890672542698,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711753,t-288230376151711753,10,144115188075855882,206602634295558640,ZEC_USDT,6,10627493621054,kBinance,6,kLead,entry,6,kEntrySubmit,kLong,288230376151711753,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,670.44,670.46,670.46,0.01,2,2,14,14,0,14,14,0,0,0,0.01,,kNone,,,,,,0.00016,,,3924579,1779716924240620714,1779716924244545293,1779716924256544888,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711754,t-288230376151711754,11,144115188075855883,206602634295577022,ZEC_USDT,6,10627500717881,kBinance,6,kLead,entry,7,kEntrySubmit,kLong,288230376151711754,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,672.96,672.98,672.98,0.01,2,2,14,14,0,14,14,0,0,0,0.01,,kNone,,,,,,0.00016,,,5993882,1779717007249552872,1779717007255546754,1779717007261544266,submitted_v1,
