run_id,latency_key,local_order_id,exchange_order_id,symbol,symbol_id,position_id,position_direction,order_role,action,side,reduce_only,status,finish_reason,reject_reason,request_sequence,encoded_request_id,request_send_local_ns,ack_local_receive_ns,response_local_receive_ns,order_finished_local_ns,ack_exchange_ns,response_exchange_ns,accepted_exchange_ns,finish_exchange_ns,ack_rtt_ns,response_rtt_ns,send_to_ack_local_ns,send_to_response_local_ns,send_to_finish_local_ns,ack_to_finish_local_ns,ack_exchange_to_local_ns,response_exchange_to_local_ns,exchange_lifecycle_ns,latency_diagnostic_reason,latency_diagnostic_ack_rtt_ns,send_to_first_after_hook_ns,send_to_first_drive_read_ns,drive_read_duration_ns,max_observed_drive_read_duration_ns,latency_diagnostic_inflight_at_send,warnings
20260526_043440_12pair_live_30m,20260526_043440_12pair_live_30m:288230376151711745,288230376151711745,260082878985011780,PROVE_USDT,4,1,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,2,144115188075855874,1779770439512072710,1779770439515089114,1779770439521085061,1779770439521375467,1779770439513423000,1779770439519493000,0,1779770439519000000,3016404,9012351,3016404,9012351,9302757,6286353,1666114,1592061,0,,,,,,,,
20260526_043440_12pair_live_30m,20260526_043440_12pair_live_30m:288230376151711746,288230376151711746,206602634307312321,ZEC_USDT,6,1,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,3,144115188075855875,1779770597597520386,1779770597600583982,1779770597613082264,1779770597613658747,1779770597598867000,1779770597611411000,0,1779770597611000000,3063596,15561878,3063596,15561878,16138361,13074765,1716982,1671264,0,,,,,,,,
20260526_043440_12pair_live_30m,20260526_043440_12pair_live_30m:288230376151711747,288230376151711747,88664618536890485,INJ_USDT,12,1,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,4,144115188075855876,1779770841843848070,1779770841847155993,1779770841876208181,1779770841870492107,1779770841845480000,1779770841874369000,0,1779770841868000000,3307923,32360111,3307923,32360111,26644037,23336114,1675993,1839181,0,,,,,,,,
20260526_043440_12pair_live_30m,20260526_043440_12pair_live_30m:288230376151711748,288230376151711748,175640389422521381,SUI_USDT,11,1,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,5,144115188075855877,1779770874136153173,1779770874139345752,1779770874167486916,1779770874164936034,1779770874137616000,1779770874165862000,0,1779770874162000000,3192579,31333743,3192579,31333743,28782861,25590282,1729752,1624916,0,,,,,,,,
20260526_043440_12pair_live_30m,20260526_043440_12pair_live_30m:288230376151711749,288230376151711749,51509920985043349,DASH_USDT,9,1,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,6,144115188075855878,1779771255428674541,1779771255435412591,1779771255478691127,1779771255474651524,1779771255433664000,1779771255477015000,0,1779771255471000000,6738050,50016586,6738050,50016586,45976983,39238933,1748591,1676127,0,,,,,,,,
20260526_043440_12pair_live_30m,20260526_043440_12pair_live_30m:288230376151711750,288230376151711750,294985777053746853,RAVE_USDT,5,1,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,7,144115188075855879,1779771301501985309,1779771301505247539,1779771301506952792,1779771301507273750,1779771301503561000,1779771301505362000,0,1779771301504000000,3262230,4967483,3262230,4967483,5288441,2026211,1686539,1590792,0,,,,,,,,
20260526_043440_12pair_live_30m,20260526_043440_12pair_live_30m:288230376151711751,288230376151711751,223491133162551129,SIREN_USDT,7,1,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,8,144115188075855880,1779771556675703968,1779771556679243493,1779771556685826069,1779771556686498817,1779771556677577000,1779771556684254000,0,1779771556683000000,3539525,10122101,3539525,10122101,10794849,7255324,1666493,1572069,0,,,,,,,,
20260526_043440_12pair_live_30m,20260526_043440_12pair_live_30m:288230376151711752,288230376151711752,88664618536913872,INJ_USDT,12,2,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,9,144115188075855881,1779771761306502482,1779771761309616012,1779771761310531659,1779771761311080093,1779771761307921000,1779771761308899000,0,1779771761308000000,3113530,4029177,3113530,4029177,4577611,1464081,1695012,1632659,0,,,,,,,,
20260526_043440_12pair_live_30m,20260526_043440_12pair_live_30m:288230376151711753,288230376151711753,88664618536917769,INJ_USDT,12,3,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,10,144115188075855882,1779771872220513297,1779771872227073998,1779771872232377944,1779771872228791169,1779771872225390000,1779771872230787000,0,1779771872226000000,6560701,11864647,6560701,11864647,8277872,1717171,1683998,1590944,0,,,,,,,,
20260526_043440_12pair_live_30m,20260526_043440_12pair_live_30m:288230376151711754,288230376151711754,223491133162568786,SIREN_USDT,7,2,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,11,144115188075855883,1779771891433774116,1779771891436882659,1779771891439133108,1779771891439435080,1779771891435130000,1779771891437456000,0,1779771891436000000,3108543,5358992,3108543,5358992,5660964,2552421,1752659,1677108,0,,,,,,,,
