run_id,signal_index,log_time,trigger_ticker_id,trigger_exchange,trigger_symbol_id,trigger_exchange_ns,trigger_local_ns,on_book_ticker_entry_ns,signal_decision_ns,symbol,symbol_id,signal_role,action,side,reduce_only,signal_position_id,raw_price,local_order_id,request_sequence,request_send_local_ns,bbo_to_strategy_ns,strategy_to_signal_ns,signal_to_request_send_ns,trigger_to_request_send_ns,exchange_order_id,order_role,order_position_id,position_event,position_direction,order_price,price_tick,slippage_ticks,quantity,status,cumulative_filled_quantity,average_fill_price,exec_slippage_ticks,ack_rtt_ns,order_finished_local_ns,warnings
20260601_105424_lab_usdt_200usdt_private_1h,1,2026-06-01 10:56:21.558023477,10678455557772,kBinance,15,1780311381557000000,7510435698485938,1780311381558021413,1780311381558022454,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,14.99579,288230376151711745,2,1780311381558033481,1772800945859535475,1041,11027,1772800945859547543,281193503312270499,entry,1,kEntrySubmit,kLong,14.99589,1e-05,10,0.1,kFilled,0.1,14.99577,-2,494792,1780311381577969724,
20260601_105424_lab_usdt_200usdt_private_1h,2,2026-06-01 10:56:21.579632433,3093252415,kGate,15,1780311381578928000,7510435720097196,1780311381579632127,1780311381579632371,LAB_USDT,15,kLag,kCloseLong,kSell,true,1,14.99578,288230376151711746,3,1780311381579634142,1772800945859534931,244,1771,1772800945859536946,281193503312270558,exit,1,kExitSubmit,kLong,14.99568,1e-05,10,0.1,kCancelled,0,0,,502488,1780311381581609550,
20260601_105424_lab_usdt_200usdt_private_1h,3,2026-06-01 10:56:22.405320981,10678455613586,kBinance,15,1780311382404000000,7510436545785111,1780311382405320582,1780311382405320818,LAB_USDT,15,kLead,kCloseLong,kSell,true,1,14.94891,288230376151711747,4,1780311382405324080,1772800945859535471,236,3262,1772800945859538969,281193503312272733,exit,1,kExitSubmit,kLong,14.94881,1e-05,10,0.1,kCancelled,0,0,,588579,1780311382407026993,
20260601_105424_lab_usdt_200usdt_private_1h,4,2026-06-01 10:56:23.751791148,3093262251,kGate,15,1780311383750984000,7510437892256024,1780311383751790850,1780311383751791077,LAB_USDT,15,kLag,kStoplossLong,kSell,true,1,14.7697402,288230376151711748,5,1780311383751793032,1772800945859534826,227,1955,1772800945859537008,281193503312275581,exit,1,kExitSubmit,kLong,14.76964,1e-05,10,0.1,kFilled,0.1,14.85016,-8041.98,485962,1780311383754119909,
20260601_105424_lab_usdt_200usdt_private_1h,5,2026-06-01 10:56:29.119960650,10678456165414,kBinance,15,1780311389119000000,7510443260424042,1780311389119959583,1780311389119960434,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,14.86886,288230376151711749,6,1780311389119965276,1772800945859535541,851,4842,1772800945859541234,281193503312286592,entry,2,kEntrySubmit,kLong,14.86896,1e-05,10,0.1,kFilled,0.1,14.86887,1,684910,1780311389123352620,
20260601_105424_lab_usdt_200usdt_private_1h,6,2026-06-01 10:56:35.854567997,10678456640547,kBinance,15,1780311395853000000,7510449995031199,1780311395854566647,1780311395854567173,LAB_USDT,15,kLead,kCloseLong,kSell,true,2,14.9207,288230376151711750,7,1780311395854576266,1772800945859535448,526,9093,1772800945859545067,281193503312295287,exit,2,kExitSubmit,kLong,14.9206,1e-05,10,0.1,kFilled,0.1,14.9207,0,571172,1780311395856248653,
20260601_105424_lab_usdt_200usdt_private_1h,7,2026-06-01 10:57:04.066446427,10678458973196,kBinance,15,1780311424065000000,7510478206909372,1780311424066445074,1780311424066446156,LAB_USDT,15,kLead,kOpenShort,kSell,false,0,14.79685,288230376151711751,8,1780311424066456152,1772800945859535702,1082,9996,1772800945859546780,281193503312337579,entry,3,kEntrySubmit,kShort,14.79675,1e-05,10,0.1,kCancelled,0,0,,580554,1780311424073907672,
20260601_105424_lab_usdt_200usdt_private_1h,8,2026-06-01 10:59:14.407494491,10678469799670,kBinance,15,1780311554406000000,7510608547957960,1780311554407492987,1780311554407493982,LAB_USDT,15,kLead,kOpenShort,kSell,false,0,14.48779,288230376151711752,9,1780311554407504689,1772800945859535027,995,10707,1772800945859546729,281193503312548145,entry,4,kEntrySubmit,kShort,14.48769,1e-05,10,0.1,kCancelled,0,0,,612091,1780311554415199337,
20260601_105424_lab_usdt_200usdt_private_1h,9,2026-06-01 11:00:18.879799780,10678476550931,kBinance,15,1780311618879000000,7510673020262497,1780311618879797812,1780311618879799454,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,13.82547,288230376151711753,10,1780311618879808899,1772800945859535315,1642,9445,1772800945859546402,281193503312677254,entry,5,kEntrySubmit,kLong,13.82557,1e-05,10,0.1,kCancelled,0,0,,814668,1780311618887651860,
20260601_105424_lab_usdt_200usdt_private_1h,10,2026-06-01 11:00:58.613532300,10678480603114,kBinance,15,1780311658612000000,7510712753995465,1780311658613530917,1780311658613531776,LAB_USDT,15,kLead,kOpenShort,kSell,false,0,13.4949,288230376151711754,11,1780311658613550911,1772800945859535452,859,19135,1772800945859555446,281193503312776036,entry,6,kEntrySubmit,kShort,13.4948,1e-05,10,0.1,kCancelled,0,0,,626992,1780311658617283005,
20260601_105424_lab_usdt_200usdt_private_1h,11,2026-06-01 11:00:58.619468429,10678480604101,kBinance,15,1780311658618000000,7510712759932686,1780311658619467982,1780311658619468345,LAB_USDT,15,kLead,kOpenShort,kSell,false,0,13.4949,288230376151711755,12,1780311658619470248,1772800945859535296,363,1903,1772800945859537562,281193503312776135,entry,7,kEntrySubmit,kShort,13.4948,1e-05,10,0.1,kCancelled,0,0,,738426,1780311658621101577,
20260601_105424_lab_usdt_200usdt_private_1h,12,2026-06-01 11:00:58.621462784,10678480604452,kBinance,15,1780311658621000000,7510712761926806,1780311658621462415,1780311658621462732,LAB_USDT,15,kLead,kOpenShort,kSell,false,0,13.4949,288230376151711756,13,1780311658621463674,1772800945859535609,317,942,1772800945859536868,281193503312776155,entry,8,kEntrySubmit,kShort,13.4948,1e-05,10,0.1,kCancelled,0,0,,486675,1780311658622696944,
20260601_105424_lab_usdt_200usdt_private_1h,13,2026-06-01 11:00:58.623397586,10678480604939,kBinance,15,1780311658622000000,7510712763862428,1780311658623397222,1780311658623397532,LAB_USDT,15,kLead,kOpenShort,kSell,false,0,13.4949,288230376151711757,14,1780311658623398480,1772800945859534794,310,948,1772800945859536052,281193503312776179,entry,9,kEntrySubmit,kShort,13.4948,1e-05,10,0.1,kCancelled,0,0,,608039,1780311658625716876,
20260601_105424_lab_usdt_200usdt_private_1h,14,2026-06-01 11:01:18.060978152,10678482747817,kBinance,15,1780311678058000000,7510732201442099,1780311678060977088,1780311678060977722,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,12.89296,288230376151711758,15,1780311678060986519,1772800945859534989,634,8797,1772800945859544420,281193503312829270,entry,10,kEntrySubmit,kLong,12.89306,1e-05,10,0.1,kCancelled,0,0,,571514,1780311678063281116,
20260601_105424_lab_usdt_200usdt_private_1h,15,2026-06-01 11:02:52.049594197,10678493576042,kBinance,15,1780311772049000000,7510826190057059,1780311772049591884,1780311772049593243,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,13.74,288230376151711759,16,1780311772049603399,1772800945859534825,1359,10156,1772800945859546340,281193503313121705,entry,11,kEntrySubmit,kLong,13.7401,1e-05,10,0.1,kCancelled,0,0,,523077,1780311772062910022,
20260601_105424_lab_usdt_200usdt_private_1h,16,2026-06-01 11:03:21.009680261,10678497236599,kBinance,15,1780311801008000000,7510855150144214,1780311801009679087,1780311801009679948,LAB_USDT,15,kLead,kOpenShort,kSell,false,0,14.37085,288230376151711760,17,1780311801009689951,1772800945859534873,861,10003,1772800945859545737,281193503313207060,entry,12,kEntrySubmit,kShort,14.37075,1e-05,10,0.1,kCancelled,0,0,,631840,1780311801015545640,
20260601_105424_lab_usdt_200usdt_private_1h,17,2026-06-01 11:05:14.403087284,10678508849644,kBinance,15,1780311914402000000,7510968543550483,1780311914403085860,1780311914403086628,LAB_USDT,15,kLead,kOpenShort,kSell,false,0,14.49528,288230376151711761,18,1780311914403097290,1772800945859535377,768,10662,1772800945859546807,281193503313429854,entry,13,kEntrySubmit,kShort,14.49518,1e-05,10,0.1,kCancelled,0,0,,532737,1780311914428545757,
20260601_105424_lab_usdt_200usdt_private_1h,18,2026-06-01 11:06:24.043019228,10678515505063,kBinance,15,1780311984042000000,7511038183482493,1780311984043017644,1780311984043018829,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,14.49332,288230376151711762,19,1780311984043030141,1772800945859535151,1185,11312,1772800945859547648,281193503313549674,entry,14,kEntrySubmit,kLong,14.49342,1e-05,10,0.1,kCancelled,0,0,,5401767,1780311984051986684,
20260601_105424_lab_usdt_200usdt_private_1h,19,2026-06-01 11:06:24.186357463,10678515519834,kBinance,15,1780311984185000000,7511038326821132,1780311984186356648,1780311984186357337,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,14.53286,288230376151711763,20,1780311984186359685,1772800945859535516,689,2348,1772800945859538553,281193503313550340,entry,15,kEntrySubmit,kLong,14.53296,1e-05,10,0.1,kCancelled,0,0,,580501,1780311984189859117,
20260601_105424_lab_usdt_200usdt_private_1h,20,2026-06-01 11:06:28.860612721,10678515926213,kBinance,15,1780311988859000000,7511043001077130,1780311988860612336,1780311988860612657,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,14.54729,288230376151711764,21,1780311988860617446,1772800945859535206,321,4789,1772800945859540316,281193503313562586,entry,16,kEntrySubmit,kLong,14.54739,1e-05,10,0.1,kCancelled,0,0,,576164,1780311988865178753,
20260601_105424_lab_usdt_200usdt_private_1h,21,2026-06-01 11:06:51.704347000,10678518237277,kBinance,15,1780312011703000000,7511065844809250,1780312011704344694,1780312011704346200,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,14.64392,288230376151711765,22,1780312011704354834,1772800945859535444,1506,8634,1772800945859545584,281193503313598870,entry,17,kEntrySubmit,kLong,14.64402,1e-05,10,0.1,kCancelled,0,0,,749185,1780312011708241960,
20260601_105424_lab_usdt_200usdt_private_1h,22,2026-06-01 11:06:51.711848908,10678518240579,kBinance,15,1780312011710000000,7511065852312728,1780312011711848011,1780312011711848852,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,14.67462,288230376151711766,23,1780312011711850224,1772800945859535283,841,1372,1772800945859537496,281193503313599530,entry,18,kEntrySubmit,kLong,14.67472,1e-05,10,0.1,kCancelled,0,0,,759603,1780312011716225649,
20260601_105424_lab_usdt_200usdt_private_1h,23,2026-06-01 11:06:51.716504379,10678518242445,kBinance,15,1780312011715000000,7511065856968591,1780312011716504107,1780312011716504323,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,14.67462,288230376151711767,24,1780312011716505239,1772800945859535516,216,916,1772800945859536648,281193503313599635,entry,19,kEntrySubmit,kLong,14.67472,1e-05,10,0.1,kCancelled,0,0,,680954,1780312011719898378,
20260601_105424_lab_usdt_200usdt_private_1h,24,2026-06-01 11:06:51.720224660,10678518243471,kBinance,15,1780312011719000000,7511065860688698,1780312011720224244,1780312011720224605,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,14.67462,288230376151711768,25,1780312011720225631,1772800945859535546,361,1026,1772800945859536933,281193503313599792,entry,20,kEntrySubmit,kLong,14.67472,1e-05,10,0.1,kCancelled,0,0,,875359,1780312011723355818,
20260601_105424_lab_usdt_200usdt_private_1h,25,2026-06-01 11:06:51.723484163,10678518244190,kBinance,15,1780312011722000000,7511065863948914,1780312011723483860,1780312011723484106,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,14.67462,288230376151711769,26,1780312011723485149,1772800945859534946,246,1043,1772800945859536235,281193503313600019,entry,21,kEntrySubmit,kLong,14.67472,1e-05,10,0.1,kCancelled,0,0,,2307886,1780312011727420808,
20260601_105424_lab_usdt_200usdt_private_1h,26,2026-06-01 11:06:51.727490734,10678518245155,kBinance,15,1780312011726000000,7511065867955158,1780312011727490494,1780312011727490677,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,14.67462,288230376151711770,27,1780312011727491705,1772800945859535336,183,1028,1772800945859536547,281193503313600086,entry,22,kEntrySubmit,kLong,14.67472,1e-05,10,0.1,kCancelled,0,0,,699747,1780312011729712680,
20260601_105424_lab_usdt_200usdt_private_1h,27,2026-06-01 11:06:51.729820385,10678518246068,kBinance,15,1780312011728000000,7511065870284964,1780312011729819989,1780312011729820331,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,14.67462,288230376151711771,28,1780312011729821475,1772800945859535025,342,1144,1772800945859536511,281193503313600164,entry,23,kEntrySubmit,kLong,14.67472,1e-05,10,0.1,kCancelled,0,0,,675054,1780312011732491093,
20260601_105424_lab_usdt_200usdt_private_1h,28,2026-06-01 11:06:51.732914218,10678518247316,kBinance,15,1780312011732000000,7511065873378872,1780312011732913772,1780312011732914165,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,14.67462,288230376151711772,29,1780312011732915075,1772800945859534900,393,910,1772800945859536203,281193503313600244,entry,24,kEntrySubmit,kLong,14.67472,1e-05,10,0.1,kCancelled,0,0,,764344,1780312011737402805,
20260601_105424_lab_usdt_200usdt_private_1h,29,2026-06-01 11:06:51.737519339,10678518248216,kBinance,15,1780312011736000000,7511065877983573,1780312011737518798,1780312011737519285,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,14.68891,288230376151711773,30,1780312011737520180,1772800945859535225,487,895,1772800945859536607,281193503313600304,entry,25,kEntrySubmit,kLong,14.68901,1e-05,10,0.1,kCancelled,0,0,,658445,1780312011740631738,
20260601_105424_lab_usdt_200usdt_private_1h,30,2026-06-01 11:06:55.668462039,10678518652464,kBinance,15,1780312015667000000,7511069808925952,1780312015668461226,1780312015668461475,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,14.76079,288230376151711774,31,1780312015668464983,1772800945859535274,249,3508,1772800945859539031,281193503313609687,entry,26,kEntrySubmit,kLong,14.76089,1e-05,10,0.1,kCancelled,0,0,,546234,1780312015672952716,
20260601_105424_lab_usdt_200usdt_private_1h,31,2026-06-01 11:06:59.937575035,10678519326478,kBinance,15,1780312019936000000,7511074078039095,1780312019937574543,1780312019937575068,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,14.80635,288230376151711775,32,1780312019937581947,1772800945859535448,525,6879,1772800945859542852,281193503313620940,entry,27,kEntrySubmit,kLong,14.80645,1e-05,10,0.1,kCancelled,0,0,,598128,1780312019953907905,
20260601_105424_lab_usdt_200usdt_private_1h,32,2026-06-01 11:08:22.747441498,10678527240167,kBinance,15,1780312102746000000,7511156887903856,1780312102747439392,1780312102747440697,LAB_USDT,15,kLead,kOpenShort,kSell,false,0,14.51101,288230376151711776,33,1780312102747450944,1772800945859535536,1305,10247,1772800945859547088,281193503313754345,entry,28,kEntrySubmit,kShort,14.51091,1e-05,10,0.1,kCancelled,0,0,,593674,1780312102780571186,
20260601_105424_lab_usdt_200usdt_private_1h,33,2026-06-01 11:08:57.307699596,10678530822197,kBinance,15,1780312137306000000,7511191448162596,1780312137307698117,1780312137307699102,LAB_USDT,15,kLead,kOpenShort,kSell,false,0,14.07107,288230376151711777,34,1780312137307709024,1772800945859535521,985,9922,1772800945859546428,281193503313814871,entry,29,kEntrySubmit,kShort,14.07097,1e-05,10,0.1,kFilled,0.1,14.0713,-23,547428,1780312137309704715,
20260601_105424_lab_usdt_200usdt_private_1h,34,2026-06-01 11:09:00.255724271,3096297177,kGate,15,1780312140254895000,7511194396188407,1780312140255723487,1780312140255723732,LAB_USDT,15,kLag,kCloseShort,kBuy,true,29,13.85218,288230376151711778,35,1780312140255729749,1772800945859535080,245,6017,1772800945859541342,281193503313821818,exit,29,kExitSubmit,kShort,13.85228,1e-05,10,0.1,kCancelled,0,0,,544030,1780312140258397537,
20260601_105424_lab_usdt_200usdt_private_1h,35,2026-06-01 11:09:00.266578110,3096297388,kGate,15,1780312140264963000,7511194407042704,1780312140266577781,1780312140266578046,LAB_USDT,15,kLag,kCloseShort,kBuy,true,29,13.85139,288230376151711779,36,1780312140266579528,1772800945859535077,265,1482,1772800945859536824,281193503313821943,exit,29,kExitSubmit,kShort,13.85149,1e-05,10,0.1,kCancelled,0,0,,566426,1780312140268084150,
20260601_105424_lab_usdt_200usdt_private_1h,36,2026-06-01 11:09:00.288196077,3096297837,kGate,15,1780312140287145000,7511194428660763,1780312140288195781,1780312140288196019,LAB_USDT,15,kLag,kCloseShort,kBuy,true,29,13.83896,288230376151711780,37,1780312140288197164,1772800945859535018,238,1145,1772800945859536401,281193503313822216,exit,29,kExitSubmit,kShort,13.83906,1e-05,10,0.1,kFilled,0.1,13.83896,0,942632,1780312140290117980,
20260601_105424_lab_usdt_200usdt_private_1h,37,2026-06-01 11:11:48.749789607,10678548524676,kBinance,15,1780312308749000000,7511362890252550,1780312308749787924,1780312308749788909,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,14.35737,288230376151711781,38,1780312308749799119,1772800945859535374,985,10210,1772800945859546569,281193503314161460,entry,30,kEntrySubmit,kLong,14.35747,1e-05,10,0.1,kCancelled,0,0,,626779,1780312308792880718,
20260601_105424_lab_usdt_200usdt_private_1h,38,2026-06-01 11:12:41.404660388,10678552971170,kBinance,15,1780312361404000000,7511415545123386,1780312361404658756,1780312361404659985,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,14.2446,288230376151711782,39,1780312361404670945,1772800945859535370,1229,10960,1772800945859547559,281193503314242240,entry,31,kEntrySubmit,kLong,14.2447,1e-05,10,0.1,kCancelled,0,0,,530635,1780312361408846910,
