run_id,local_order_id,text_order_id,request_sequence,encoded_request_id,exchange_order_id,symbol,symbol_id,trigger_ticker_id,trigger_exchange,trigger_symbol_id,trigger_exchange_ns,trigger_local_ns,on_book_ticker_entry_ns,signal_decision_ns,signal_role,order_role,position_id,position_event,position_direction,entry_local_order_id,action,side,reduce_only,time_in_force,status,finish_reason,reject_reason,raw_price,order_price,price_text,price_tick,slippage_ticks,order_offset_ticks,quantity,quantity_text,cumulative_filled_quantity,left_quantity,cancelled_quantity,fill_rate,average_fill_price,last_fill_price,contract_multiplier,filled_notional,fill_role,exec_slippage_price,exec_slippage_ticks,exec_slippage_bps,exec_slippage_quote,limit_improvement_ticks,fee_rate_config,fee_quote_estimated,fee_source,order_session_id,owner_thread_cpu,owner_thread_tid,local_ip,local_port,remote_ip,remote_port,send_cpu,ack_cpu,diagnostic_cpu,tcp_info_available,tcp_info_rtt_us,tcp_info_rttvar_us,tcp_info_retrans,tcp_info_total_retrans,tcp_info_unacked,tcp_info_snd_cwnd,ack_rtt_ns,ack_exchange_request_ingress_ns,ack_exchange_response_egress_ns,ack_exchange_process_ns,latency_diagnostic_reason,latency_diagnostic_ack_rtt_ns,send_to_first_after_hook_ns,send_to_first_drive_read_ns,drive_read_duration_ns,max_observed_drive_read_duration_ns,latency_diagnostic_inflight_at_send,max_runtime_loop_gap_ns,runtime_loop_iterations_before_ack,order_encode_done_ns,ws_frame_encode_done_ns,write_enqueue_ns,drive_write_enter_ns,write_some_enter_ns,write_some_return_ns,write_complete_ns,write_some_bytes,write_complete_bytes,write_errno,write_eagain,pending_write_count_after,socket_send_queue_available,tcp_sendq_bytes,tcp_notsent_bytes,request_send_local_ns,ack_local_receive_ns,order_finished_local_ns,source_schema,warnings
20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h,288230376151711745,t-288230376151711745,2,144115188075855874,281193503324849316,LAB_USDT,15,10679640575899,kBinance,15,1780321452149000000,7520506290748398,1780321452150283772,1780321452150284522,kLead,entry,1,kEntrySubmit,kShort,288230376151711745,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,13.9885,13.9875,13.98750,1e-05,100,100,0.3,0.3,0,0.3,0.3,0,0,0,100.0,,kNone,,,,,,0.00016,,,1,4,3390943,10.0.1.103,49504,10.0.1.154,80,4,4,,true,659,484,0,0,0,10,551460,1780321452150526000,1780321452150639000,113000,,,,,,,,,,,,,,,,,,,,,,,,,1780321452150296454,1780321452150847914,1780321452167173978,submitted_v1,
20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h,288230376151711746,t-288230376151711746,3,144115188075855875,281193503324869023,LAB_USDT,15,10679642992872,kBinance,15,1780321467442000000,7520521583566664,1780321467443102082,1780321467443102769,kLead,entry,2,kEntrySubmit,kLong,288230376151711746,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,14.07755,14.07855,14.07855,1e-05,100,100,0.3,0.3,0,0.3,0.3,0,0,0,100.0,,kNone,,,,,,0.00016,,,1,4,3390943,10.0.1.103,49504,10.0.1.154,80,4,4,,true,559,270,0,0,0,10,533033,1780321467443343000,1780321467443437000,94000,,,,,,,,,,,,,,,,,,,,,,,,,1780321467443110122,1780321467443643155,1780321467450468107,submitted_v1,
20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h,288230376151711747,t-288230376151711747,4,144115188075855876,281193503325017620,LAB_USDT,15,10679665845935,kBinance,15,1780321634612000000,7520688753530375,1780321634613065846,1780321634613066422,kLead,entry,3,kEntrySubmit,kShort,288230376151711747,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,14.05861,14.05761,14.05761,1e-05,100,100,0.3,0.3,0,0.3,0.3,0,0,0,100.0,,kNone,,,,,,0.00016,,,1,4,3390943,10.0.1.103,49504,10.0.1.154,80,4,4,,true,421,108,0,0,0,10,754216,1780321634613314000,1780321634613515000,201000,,,,,,,,,,,,,,,,,,,,,,,,,1780321634613078572,1780321634613832788,1780321634616905083,submitted_v1,
20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h,288230376151711748,t-288230376151711748,5,144115188075855877,281193503325132447,LAB_USDT,15,10679685957363,kBinance,15,1780321775626000000,7520829768028680,1780321775627563820,1780321775627564871,kLead,entry,4,kEntrySubmit,kShort,288230376151711748,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,14.08781,14.08681,14.08681,1e-05,100,100,0.3,0.3,0,0.3,0.3,0,0,0,100.0,,kNone,,,,,,0.00016,,,1,4,3390943,10.0.1.103,49504,10.0.1.154,80,4,4,,true,429,123,0,0,0,10,728099,1780321775627814000,1780321775628007000,193000,,,,,,,,,,,,,,,,,,,,,,,,,1780321775627576033,1780321775628304132,1780321775664143167,submitted_v1,
20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h,288230376151711749,t-288230376151711749,6,144115188075855878,281193503325213071,LAB_USDT,15,10679700867787,kBinance,15,1780321880813000000,7520934954079722,1780321880813614695,1780321880813615515,kLead,entry,5,kEntrySubmit,kShort,288230376151711749,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,13.98463,13.98363,13.98363,1e-05,100,100,0.3,0.3,0,0.3,0.3,0,0,0,100.0,,kNone,,,,,,0.00016,,,1,4,3390943,10.0.1.103,49504,10.0.1.154,80,4,4,,true,399,70,0,0,0,10,597776,1780321880813873000,1780321880813991000,118000,,,,,,,,,,,,,,,,,,,,,,,,,1780321880813626377,1780321880814224153,1780321880830908770,submitted_v1,
20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h,288230376151711750,t-288230376151711750,7,144115188075855879,281193503325247407,LAB_USDT,15,10679712503814,kBinance,15,1780321940450000000,7520994592053809,1780321940451588807,1780321940451589494,kLead,entry,6,kEntrySubmit,kLong,288230376151711750,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,14.0743,14.0753,14.07530,1e-05,100,100,0.3,0.3,0,0.3,0.3,0,0,0,100.0,,kNone,,,,,,0.00016,,,1,4,3390943,10.0.1.103,49504,10.0.1.154,80,4,4,4,true,979,1207,0,0,0,10,5142969,1780321940451915000,1780321940455008000,3093000,kAckRttThreshold,5142969,22263,34073,15964,20339,1,42075,156,1780321940451599072,1780321940451600475,1780321940451600511,1780321940451600965,1780321940451601014,1780321940451608076,1780321940451612752,245,245,0,false,0,true,245,0,1780321940451599470,1780321940456742439,1780321940576236123,submitted_v1,
20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h,288230376151711751,t-288230376151711751,8,144115188075855880,281193503325247859,LAB_USDT,15,10679712567015,kBinance,15,1780321940576000000,7520994717533286,1780321940577068893,1780321940577069300,kLead,entry,7,kEntrySubmit,kLong,288230376151711751,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,14.07756,14.07856,14.07856,1e-05,100,100,0.3,0.3,0,0.3,0.3,0,0,0,100.0,,kNone,,,,,,0.00016,,,1,4,3390943,10.0.1.103,49504,10.0.1.154,80,4,4,,true,948,967,0,0,0,10,758160,1780321940577322000,1780321940577543000,221000,,,,,,,,,,,,,,,,,,,,,,,,,1780321940577071267,1780321940577829427,1780321940698295276,submitted_v1,
20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h,288230376151711752,t-288230376151711752,9,144115188075855881,281193503325248280,LAB_USDT,15,10679712599392,kBinance,15,1780321940698000000,7520994839620734,1780321940699156325,1780321940699156615,kLead,entry,8,kEntrySubmit,kLong,288230376151711752,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,14.09048,14.09148,14.09148,1e-05,100,100,0.3,0.3,0,0.3,0.3,0,0,0,100.0,,kNone,,,,,,0.00016,,,1,4,3390943,10.0.1.103,49504,10.0.1.154,80,4,4,,true,903,816,0,0,0,10,595400,1780321940699386000,1780321940699534000,148000,,,,,,,,,,,,,,,,,,,,,,,,,1780321940699157789,1780321940699753189,1780321940840418788,submitted_v1,
20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h,288230376151711753,t-288230376151711753,10,144115188075855882,281193503325251127,LAB_USDT,15,10679713243141,kBinance,15,1780321942967000000,7520997108699602,1780321942968235215,1780321942968236133,kLead,entry,9,kEntrySubmit,kShort,288230376151711753,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,14.11845,14.11745,14.11745,1e-05,100,100,0.3,0.3,0,0.3,0.3,0,0,0,100.0,,kNone,,,,,,0.00016,,,1,4,3390943,10.0.1.103,49504,10.0.1.154,80,4,4,,true,867,683,0,0,0,10,630667,1780321942968483000,1780321942968661000,178000,,,,,,,,,,,,,,,,,,,,,,,,,1780321942968238697,1780321942968869364,1780321943064225500,submitted_v1,
20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h,288230376151711754,t-288230376151711754,11,144115188075855883,281193503325291913,LAB_USDT,15,10679721916192,kBinance,15,1780321998782000000,7521052923413582,1780321998782949235,1780321998782950313,kLead,entry,10,kEntrySubmit,kShort,288230376151711754,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,14.07,14.069,14.06900,1e-05,100,100,0.3,0.3,0,0.3,0.3,0,0,0,100.0,,kNone,,,,,,0.00016,,,1,4,3390943,10.0.1.103,49504,10.0.1.154,80,4,4,,true,928,1060,0,0,0,10,4157598,1780321998783208000,1780321998786900000,3692000,,,,,,,,,,,,,,,,,,,,,,,,,1780321998782959584,1780321998787117182,1780321998800608011,submitted_v1,
