hour_utc,signals,open,close,stoploss,kOpenLong,kOpenShort,kCloseLong,kCloseShort,kStoplossLong,kStoplossShort
2026-06-02T00:00:00Z,62,31,31,0,18,13,18,13,0,0
2026-06-02T01:00:00Z,34,17,17,0,7,10,7,10,0,0
2026-06-02T02:00:00Z,98,49,49,0,26,23,26,23,0,0
2026-06-02T03:00:00Z,112,56,56,0,15,41,15,41,0,0
2026-06-02T04:00:00Z,172,86,86,0,52,34,52,34,0,0
2026-06-02T05:00:00Z,48,24,24,0,11,13,11,13,0,0
2026-06-02T06:00:00Z,68,34,34,0,18,16,18,16,0,0
2026-06-02T07:00:00Z,119,60,59,0,36,24,35,24,0,0
2026-06-02T08:00:00Z,105,52,53,0,22,30,23,30,0,0
2026-06-02T09:00:00Z,92,46,46,0,23,23,23,23,0,0
2026-06-02T10:00:00Z,82,41,41,0,13,28,13,28,0,0
2026-06-02T11:00:00Z,112,56,56,0,34,22,34,22,0,0
2026-06-02T12:00:00Z,132,66,66,0,35,31,35,31,0,0
2026-06-02T13:00:00Z,134,67,67,0,39,28,39,28,0,0
2026-06-02T14:00:00Z,154,77,77,0,39,38,39,38,0,0
2026-06-02T15:00:00Z,116,58,58,0,28,30,28,30,0,0
2026-06-02T16:00:00Z,110,55,55,0,27,28,27,28,0,0
2026-06-02T17:00:00Z,106,53,53,0,28,25,28,25,0,0
2026-06-02T18:00:00Z,104,52,51,1,20,32,19,32,1,0
2026-06-02T19:00:00Z,135,68,67,0,30,38,30,37,0,0
2026-06-02T20:00:00Z,117,58,59,0,28,30,28,31,0,0
2026-06-02T21:00:00Z,250,125,117,8,63,62,58,59,5,3
2026-06-02T22:00:00Z,366,183,162,21,101,82,84,78,17,4
2026-06-02T23:00:00Z,270,135,120,15,57,78,54,66,3,12
