lag_freshness_ms,lead_freshness_ms,symbol,action,status,filled_qty,local_order_id,signal_decision_ns,lag_exchange_ns,lead_exchange_ns,raw_price,order_price
15371.972,1.932,AIA_USDT,kOpenLong,kCancelled,0,288230376151717696,1780604985466932302,1780604970094960000,1780604985465000000,0.05815,0.05817
15171.605,1.186,AIA_USDT,kOpenLong,kCancelled,0,288230376151716380,1780588420886185662,1780588405714581000,1780588420885000000,0.05852,0.05854
11239.021,1.276,AIA_USDT,kOpenLong,kCancelled,0,288230376151718081,1780611436318276034,1780611425079255000,1780611436317000000,0.05874,0.05876
9571.870,1.628,XPL_USDT,kOpenShort,kCancelled,0,288230376151716540,1780590148231627974,1780590138659758000,1780590148230000000,0.08826,0.08824
8772.105,1.664,EPIC_USDT,kOpenLong,kCancelled,0,288230376151717675,1780604574941664279,1780604566169559000,1780604574940000000,0.6063,0.6065
8544.329,1.582,CLO_USDT,kOpenLong,kCancelled,0,288230376151715718,1780581923195581981,1780581914651253000,1780581923194000000,0.14426,0.1443
8497.900,1.448,CLO_USDT,kOpenLong,kCancelled,0,288230376151716127,1780585797949447500,1780585789451548000,1780585797948000000,0.14497,0.14501
7944.051,1.234,AIA_USDT,kOpenShort,kCancelled,0,288230376151712369,1780563295629234268,1780563287685183000,1780563295628000000,0.07515,0.07513
7667.971,1.249,UB_USDT,kOpenLong,kCancelled,0,288230376151716938,1780595416546248679,1780595408878278000,1780595416545000000,0.10594,0.10597
6935.335,1.400,SLX_USDT,kOpenShort,kCancelled,0,288230376151717684,1780604750898400176,1780604743963065000,1780604750897000000,0.2219,0.22184
6920.889,1.328,AIA_USDT,kOpenShort,kCancelled,0,288230376151712354,1780563042457328131,1780563035536439000,1780563042456000000,0.07467,0.07465
6729.432,1.395,CLO_USDT,kOpenLong,kCancelled,0,288230376151714071,1780572194861394968,1780572188131963000,1780572194860000000,0.145,0.14504
6497.822,1.644,STO_USDT,kOpenLong,kCancelled,0,288230376151718538,1780617739384643624,1780617732886822000,1780617739383000000,0.06146,0.06148
6152.052,1.318,PIEVERSE_USDT,kOpenShort,kCancelled,0,288230376151715659,1780581505111318052,1780581498959266000,1780581505110000000,0.8486,0.8484
6106.488,1.184,CLO_USDT,kOpenLong,kCancelled,0,288230376151714171,1780572587225183580,1780572581118696000,1780572587224000000,0.14453,0.14457
5777.396,1.475,CLO_USDT,kOpenLong,kCancelled,0,288230376151715154,1780579179543475161,1780579173766079000,1780579179542000000,0.1441,0.14414
5646.143,1.618,INJ_USDT,kOpenLong,kCancelled,0,288230376151712293,1780562078463617839,1780562072817475000,1780562078462000000,6.125,6.127
5536.290,1.025,CLO_USDT,kOpenShort,kCancelled,0,288230376151716421,1780588780881024710,1780588775344735000,1780588780880000000,0.1441,0.14406
5462.877,1.054,PIEVERSE_USDT,kOpenShort,kCancelled,0,288230376151715276,1780579708198054373,1780579702735177000,1780579708197000000,0.8417,0.8415
5218.638,1.314,CLO_USDT,kOpenLong,kCancelled,0,288230376151714003,1780571832670313802,1780571827451676000,1780571832669000000,0.14311,0.14315
