scope,count,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,gt_5ms,gt_20ms,gt_100ms,gt_1000ms
all_signals,7017,180.842,30.896,397.997,789.799,2478.972,15371.972,5079,3980,2018,252
all_orders,7017,180.842,30.896,397.997,789.799,2478.972,15371.972,5079,3980,2018,252
open_actions,6837,182.485,32.205,403.964,791.429,2476.087,15371.972,5002,3921,1988,248
filled_orders,242,141.325,5.306,284.588,693.248,2913.679,3560.297,121,99,48,8
nonfilled_orders,6775,182.254,32.084,399.787,791.529,2470.605,15371.972,4958,3881,1970,244
entry_orders,6837,182.485,32.205,403.964,791.429,2476.087,15371.972,5002,3921,1988,248
exit_orders,180,118.462,2.081,214.207,500.241,2352.282,3558.452,77,59,30,4
status_kCancelled,6715,182.594,31.932,399.038,792.504,2479.260,15371.972,4905,3841,1950,243
status_kFilled,162,123.881,3.549,235.571,532.243,2142.830,3560.297,76,63,31,4
status_kPartiallyCancelled,79,177.408,13.594,367.107,822.387,2367.056,3519.396,44,35,16,4
status_kRejected,61,143.747,51.643,492.356,618.774,1156.697,1418.960,54,41,21,1
action_kCloseLong,72,42.801,1.240,79.442,127.256,796.964,804.780,30,18,5,0
action_kCloseShort,105,173.718,3.690,293.853,747.988,3460.302,3558.452,47,41,25,4
action_kOpenLong,3152,191.124,34.427,425.332,792.095,2378.322,15371.972,2341,1850,966,111
action_kOpenShort,3685,175.095,30.037,381.147,788.736,2597.318,9571.870,2661,2071,1022,137
action_kStoplossLong,3,0.348,0.256,0.479,0.507,0.529,0.534,0,0,0,0
trigger_kBinance,6954,182.477,32.019,405.067,793.368,2483.650,15371.972,5079,3980,2018,252
trigger_kGate,63,0.398,0.303,0.699,0.857,1.654,2.241,0,0,0,0
