symbol,count,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,gt_5ms,gt_20ms,gt_100ms,gt_1000ms,open_orders,filled_orders,open_gt_20ms,filled_gt_20ms
AIA_USDT,452,408.060,58.157,838.894,1412.186,5962.991,15371.972,336,297,189,35,429,30,289,11
BEAT_USDT,413,129.155,31.570,335.583,514.469,1263.996,2991.611,286,237,122,8,413,0,237,0
CLO_USDT,259,598.554,75.054,1859.298,2961.142,6368.124,8544.329,184,156,121,42,258,2,156,1
ENA_USDT,228,111.729,38.415,244.517,473.804,1165.999,3239.776,181,139,53,3,225,2,136,2
EPIC_USDT,675,173.299,36.986,444.239,785.666,1779.915,8772.105,497,402,213,22,659,19,398,5
FARTCOIN_USDT,30,88.230,37.942,239.107,372.869,458.647,459.176,22,19,8,0,30,0,19,0
FET_USDT,68,172.446,67.101,334.932,506.549,1686.765,2067.633,56,48,28,3,65,6,48,3
FIL_USDT,28,68.253,10.414,94.922,264.975,743.616,887.112,15,11,2,0,28,0,11,0
H_USDT,274,132.522,39.163,365.148,616.689,1004.097,1434.429,214,169,85,4,273,2,169,1
ICP_USDT,67,252.684,81.150,526.872,1632.881,1886.498,1889.363,61,52,29,5,66,2,51,1
INJ_USDT,154,304.499,60.720,834.264,1346.425,4013.478,5646.143,120,99,62,11,150,6,99,3
LIT_USDT,208,165.626,57.388,503.146,671.482,1472.254,2191.992,160,126,82,4,186,41,120,17
MYX_USDT,208,314.097,78.663,834.972,1688.706,2954.065,4764.529,168,145,96,17,201,6,142,1
NEAR_USDT,230,82.221,22.522,230.132,358.940,648.730,802.269,151,119,58,0,229,2,119,0
ONDO_USDT,119,128.078,39.467,307.878,634.194,1467.196,2066.487,96,76,30,2,119,0,76,0
OPN_USDT,603,66.360,19.639,164.920,293.783,596.488,1235.970,428,299,111,2,593,12,295,4
PENGU_USDT,99,131.443,51.280,438.779,517.793,892.879,994.807,86,70,33,0,98,3,69,2
PIEVERSE_USDT,110,516.837,60.566,1700.835,2583.716,5375.688,6152.052,84,76,51,19,100,9,73,3
SKYAI_USDT,360,221.380,51.257,528.041,927.216,2957.439,5103.815,257,221,124,17,345,20,216,7
SLX_USDT,259,193.770,33.183,591.221,929.862,1912.931,6935.335,188,153,78,11,243,20,148,12
STO_USDT,175,440.618,108.128,1331.368,1991.393,3692.063,6497.822,131,119,90,27,160,22,110,13
SUI_USDT,100,72.716,37.932,170.024,227.183,619.217,663.005,87,68,20,0,100,0,68,0
TON_USDT,143,101.763,27.794,231.118,410.609,1332.330,2274.962,107,82,30,2,141,4,82,0
UB_USDT,202,242.195,44.978,539.704,966.029,1974.428,7667.971,151,120,79,9,192,10,116,5
VIRTUAL_USDT,92,79.236,37.865,197.921,259.098,479.372,529.750,83,61,26,0,92,0,61,0
WIF_USDT,34,132.324,59.542,202.882,370.609,1288.924,1636.212,31,26,10,1,32,4,26,2
WLD_USDT,691,41.511,11.604,114.168,163.278,365.543,1327.658,435,285,81,1,682,12,283,2
XLM_USDT,135,73.647,29.738,190.785,276.519,579.274,758.236,110,74,31,0,132,4,74,2
XPL_USDT,53,503.711,48.147,1212.542,1799.641,6167.446,9571.870,38,35,23,7,51,2,35,1
ZEC_USDT,548,33.989,8.267,95.821,160.026,334.046,715.128,316,196,53,0,545,2,195,1
