run_id,latency_key,local_order_id,exchange_order_id,symbol,symbol_id,position_id,position_direction,order_role,action,side,reduce_only,status,finish_reason,reject_reason,request_sequence,encoded_request_id,trigger_exchange_ns,trigger_local_ns,on_book_ticker_entry_ns,signal_decision_ns,lead_exchange_ns,lead_local_ns,lead_freshness_ns,lag_exchange_ns,lag_local_ns,lag_freshness_ns,max_lead_freshness_ns,max_lag_freshness_ns,freshness_guard_pass,freshness_reject_reason,request_send_local_ns,ack_local_receive_ns,response_local_receive_ns,order_finished_local_ns,ack_exchange_ns,ack_exchange_request_ingress_ns,ack_exchange_response_egress_ns,ack_exchange_process_ns,response_exchange_ns,accepted_exchange_ns,finish_exchange_ns,ack_rtt_ns,response_rtt_ns,send_to_ack_local_ns,send_to_response_local_ns,send_to_finish_local_ns,ack_to_finish_local_ns,bbo_to_strategy_ns,strategy_to_signal_ns,signal_to_request_send_ns,trigger_to_request_send_ns,ack_exchange_to_local_ns,response_exchange_to_local_ns,exchange_lifecycle_ns,order_session_id,owner_thread_cpu,owner_thread_tid,local_ip,local_port,remote_ip,remote_port,send_cpu,ack_cpu,diagnostic_cpu,tcp_info_available,tcp_info_rtt_us,tcp_info_rttvar_us,tcp_info_retrans,tcp_info_total_retrans,tcp_info_unacked,tcp_info_snd_cwnd,latency_diagnostic_reason,latency_diagnostic_ack_rtt_ns,send_to_first_after_hook_ns,send_to_first_drive_read_ns,drive_read_duration_ns,max_observed_drive_read_duration_ns,latency_diagnostic_inflight_at_send,max_runtime_loop_gap_ns,runtime_loop_iterations_before_ack,order_encode_done_ns,ws_frame_encode_done_ns,write_enqueue_ns,drive_write_enter_ns,write_some_enter_ns,write_some_return_ns,write_complete_ns,write_some_bytes,write_complete_bytes,write_errno,write_eagain,pending_write_count_after,socket_send_queue_available,tcp_sendq_bytes,tcp_notsent_bytes,warnings
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:288230376151711745,288230376151711745,0,H_USDT,211,1,kShort,entry,kOpenShort,kSell,false,kRejected,,,2,144115188075855874,1781628898074000000,1781628898075433645,1781628898075434149,1781628898075434554,1781628898074000000,1781628898075433645,1434554,1781628898074981000,1781628898075104960,453554,5000000,20000000,true,-,1781628898075451889,1781628898088709879,1781628898096327418,1781628898096332555,1781628898088393000,1781628898075650000,1781628898088393000,12743000,1781628898096036000,0,0,13257990,20875529,13257990,20875529,20880666,7622676,504,405,17335,18244,316879,291418,,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,4,true,2933,4408,0,0,0,10,kAckRttThreshold,13257990,20740,32310,13849,19765,1,43264,405,1781628898075451378,1781628898075453215,1781628898075453378,1781628898075453548,1781628898075453593,1781628898075460007,1781628898075465006,242,242,0,false,0,true,242,0,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:288230376151711746,288230376151711746,206602635061933521,ZEC_USDT,481,1,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,3,144115188075855875,1781628960070000000,1781628960071067994,1781628960071068426,1781628960071068926,1781628960070000000,1781628960071067994,1068926,1781628960069760000,1781628960069891038,1308926,5000000,20000000,true,-,1781628960071086995,1781628960071734883,1781628960090842310,1781628960088153096,1781628960071406000,1781628960071274000,1781628960071406000,132000,1781628960090592000,0,1781628960086000000,647888,19755315,647888,19755315,17066101,16418213,432,500,18069,19001,328883,250310,14594000,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,817,721,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:288230376151711747,288230376151711747,235876031616386509,SKYAI_USDT,378,1,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,4,144115188075855876,1781629026945000000,1781629026946063694,1781629026946064188,1781629026946064645,1781629026945000000,1781629026946063694,1064645,1781629026945619000,1781629026945736117,445645,5000000,20000000,true,-,1781629026946080077,1781629026946713339,1781629026951841383,1781629026952177012,1781629026946420000,1781629026946292000,1781629026946420000,128000,1781629026951596000,0,1781629026951000000,633262,5761306,633262,5761306,6096935,5463673,494,457,15432,16383,293339,245383,4580000,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,483,149,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:288230376151711748,288230376151711748,264867953673621400,XPL_USDT,472,1,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,5,144115188075855877,1781629057710000000,1781629057711480531,1781629057711481053,1781629057711481700,1781629057710000000,1781629057711480531,1481700,1781629057710046000,1781629057710145881,1435700,5000000,20000000,true,-,1781629057711497375,1781629057712132459,1781629057717424655,1781629057717613485,1781629057711846000,1781629057711706000,1781629057711846000,140000,1781629057717191000,0,1781629057716000000,635084,5927280,635084,5927280,6116110,5481026,522,647,15675,16844,286459,233655,4154000,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,450,104,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:288230376151711749,288230376151711749,290763653032943167,BEAT_USDT,71,1,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,6,144115188075855878,1781629172961000000,1781629172961837068,1781629172961837963,1781629172961838643,1781629172961000000,1781629172961837068,838643,1781629172960677000,1781629172960776369,1161643,5000000,20000000,true,-,1781629172961854878,1781629172962529931,1781629172976071542,1781629172974594021,1781629172962196000,1781629172962059000,1781629172962196000,137000,1781629172975820000,0,1781629172973000000,675053,14216664,675053,14216664,12739143,12064090,895,680,16235,17810,333931,251542,10804000,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,431,73,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:288230376151711750,288230376151711750,290763653032944901,BEAT_USDT,71,2,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,7,144115188075855879,1781629173008000000,1781629173009189587,1781629173009190156,1781629173009190613,1781629173008000000,1781629173009189587,1190613,1781629173007250000,1781629173007746238,1940613,5000000,20000000,true,-,1781629173009194102,1781629173056882807,1781629173058108892,1781629173058367762,1781629173056602000,1781629173012951000,1781629173056602000,43651000,1781629173057849000,0,1781629173057000000,47688705,48914790,47688705,48914790,49173660,1484955,569,457,3489,4515,280807,259892,398000,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,4,true,5560,10312,0,0,0,10,kAckRttThreshold,47688705,7906,18820,13522,28183,1,49705,1466,1781629173009194047,1781629173009194252,1781629173009194291,1781629173009194324,1781629173009194352,1781629173009198160,1781629173009199946,243,243,0,false,0,true,243,0,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:288230376151711751,288230376151711751,221802282093314193,EPIC_USDT,155,1,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,8,144115188075855880,1781629212212000000,1781629212212739510,1781629212212739797,1781629212212740326,1781629212212000000,1781629212212739510,740326,1781629212211855000,1781629212211968913,885326,5000000,20000000,true,-,1781629212212756659,1781629212213394168,1781629212224084564,1781629212224226021,1781629212213107000,1781629212212950000,1781629212213107000,157000,1781629212223820000,0,1781629212223000000,637509,11327905,637509,11327905,11469362,10831853,287,529,16333,17149,287168,264564,9893000,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,1980,3045,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:288230376151711752,288230376151711752,197595435392495786,WLD_USDT,461,1,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,9,144115188075855881,1781629213743000000,1781629213743961953,1781629213743962182,1781629213743962699,1781629213743000000,1781629213743961953,962699,1781629213743685000,1781629213743839136,277699,5000000,20000000,true,-,1781629213743968408,1781629213744654760,1781629213759549162,1781629213756081944,1781629213744329000,1781629213744170000,1781629213744329000,159000,1781629213759313000,0,1781629213754000000,686352,15580754,686352,15580754,12113536,11427184,229,517,5709,6455,325760,236162,9671000,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,1815,2615,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:288230376151711753,288230376151711753,66709570265934533,FIL_USDT,171,1,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,10,144115188075855882,1781629213891000000,1781629213892897301,1781629213892897663,1781629213892898240,1781629213891000000,1781629213892897301,1898240,1781629213873009000,1781629213873152294,19889240,5000000,20000000,true,-,1781629213892900970,1781629213893542653,1781629213934857313,1781629213923546308,1781629213893240000,1781629213893101000,1781629213893240000,139000,1781629213934604000,0,1781629213922000000,641683,41956343,641683,41956343,30645338,30003655,362,577,2730,3669,302653,253313,28760000,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,1666,2259,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:288230376151711754,288230376151711754,235876031616420337,SKYAI_USDT,378,2,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,11,144115188075855883,1781629267846000000,1781629267846870734,1781629267846871064,1781629267846871882,1781629267846000000,1781629267846870734,871882,1781629267846562000,1781629267846667956,309882,5000000,20000000,true,-,1781629267846888085,1781629267847498504,1781629267852185036,1781629267851349982,1781629267847209000,1781629267847083000,1781629267847209000,126000,1781629267851942000,0,1781629267850000000,610419,5296951,610419,5296951,4461897,3851478,330,818,16203,17351,289504,243036,2791000,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,680,454,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
