run_id,position_key,symbol,symbol_id,position_id,position_direction,status,entry_local_order_id,exit_local_order_id,entry_exchange_order_id,exit_exchange_order_id,entry_lead_exchange_ns,entry_lead_local_ns,entry_lead_freshness_ns,entry_lag_exchange_ns,entry_lag_local_ns,entry_lag_freshness_ns,exit_lead_exchange_ns,exit_lead_local_ns,exit_lead_freshness_ns,exit_lag_exchange_ns,exit_lag_local_ns,exit_lag_freshness_ns,entry_ns,exit_ns,holding_ns,entry_side,exit_side,entry_raw_price,exit_raw_price,entry_order_price,exit_order_price,entry_price,exit_price,entry_volume,exit_volume,matched_volume,remaining_entry_volume,contract_multiplier,entry_notional,exit_notional,gross_pnl,entry_fee_quote_estimated,exit_fee_quote_estimated,total_fee_quote_estimated,net_pnl,entry_ack_rtt_ns,exit_ack_rtt_ns,entry_fee_source,exit_fee_source,warnings
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:14:5:288230376151712352,AIA_USDT,14,5,kShort,partial_closed,288230376151712349,288230376151712352,273593678611566620,273593678611567247,1781649400974000000,1781649400975047422,1048715,1781649400974566000,1781649400974750170,482715,1781649406055000000,1781649406055550201,552674,1781649405412006000,1781649405412145435,643546674,1781649400982259977,1781649406057763409,5075503432,kSell,kBuy,0.05668,0.05684,0.05666,0.05686,0.05667,0.0568521,94,94,94,82,10,53.2698,53.440974,-0.171174,0.01065396,0.0106881948,0.0213421548,-0.1925161548,637116,891755,config_estimated,config_estimated,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:14:5:288230376151712353,AIA_USDT,14,5,kShort,partial_closed,288230376151712349,288230376151712353,273593678611566620,273593678611567367,1781649400974000000,1781649400975047422,1048715,1781649400974566000,1781649400974750170,482715,1781649409560000000,1781649409561460569,1461584,1781649409560742000,1781649409560869954,719584,1781649400982259977,1781649409563115068,8580855091,kSell,kBuy,0.05668,0.05687,0.05666,0.05689,0.05667,0.0568885,42,42,42,40,10,23.8014,23.89317,-0.09177,0.00476028,0.004778634,0.009538914,-0.101308914,637116,529977,config_estimated,config_estimated,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:14:5:288230376151712355,AIA_USDT,14,5,kShort,closed,288230376151712349,288230376151712355,273593678611566620,273593678611567393,1781649400974000000,1781649400975047422,1048715,1781649400974566000,1781649400974750170,482715,1781649409565000000,1781649409566472535,1473195,1781649409564161000,1781649409564264571,2312195,1781649400982259977,1781649409568297821,8586037844,kSell,kBuy,0.05668,0.0569,0.05666,0.05692,0.05667,0.0569005,40,40,40,0,10,22.668,22.7602,-0.0922,0.0045336,0.00455204,0.00908564,-0.10128564,637116,625774,config_estimated,config_estimated,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:71:56:288230376151712569,BEAT_USDT,71,56,kLong,closed,288230376151712564,288230376151712569,290763653045989124,290763653045997571,1781658007964000000,1781658007965610320,1611281,1781658007954655000,1781658007954790580,10956281,1781658030003000000,1781658030004596260,1611667,1781658029951438000,1781658029951558529,53173667,1781658007968175729,1781658030007861601,22039685872,kBuy,kSell,2.4284,2.4406,2.4288,2.4403,2.4284,2.4406,4,4,4,0,10,97.136,97.624,0.488,0.0194272,0.0195248,0.038952,0.449048,595190,571303,config_estimated,config_estimated,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:71:64:288230376151712662,BEAT_USDT,71,64,kLong,closed,288230376151712659,288230376151712662,290763653047093484,290763653047095754,1781660479984000000,1781660479985513942,1515030,1781660479984052000,1781660479984638035,1463030,1781660487444000000,1781660487445591179,1592589,1781660487162739000,1781660487162877807,282853589,1781660480083601110,1781660487447271261,7363670151,kBuy,kSell,2.3932,2.3905,2.3936,2.3902,2.3932,2.3905,4,4,4,0,10,95.728,95.62,-0.108,0.0191456,0.019124,0.0382696,-0.1462696,1495317,578980,config_estimated,config_estimated,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:113:28:288230376151712681,CLO_USDT,113,28,kLong,partial_closed,288230376151712678,288230376151712681,281756452392875906,281756452392876150,1781661216149000000,1781661216150506704,1508242,1781661216149491000,1781661216149618803,1017242,1781661216516000000,1781661216516961054,1049322,1781661216516930000,1781661216517048519,119322,1781661216158181569,1781661216537189134,379007565,kBuy,kSell,0.13583,0.13574,0.13587,0.1357,0.13586,0.13574,61,61,61,6,10,82.8746,82.8014,-0.0732,0.01657492,0.01656028,0.0331352,-0.1063352,683645,19094114,config_estimated,config_estimated,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:113:28:288230376151712685,CLO_USDT,113,28,kLong,closed,288230376151712678,288230376151712685,281756452392875906,281756452392876299,1781661216149000000,1781661216150506704,1508242,1781661216149491000,1781661216149618803,1017242,1781661217307000000,1781661217308047303,1048318,1781661217306089000,1781661217306253307,1959318,1781661216158181569,1781661217311874913,1153693344,kBuy,kSell,0.13583,0.13574,0.13587,0.1357,0.13586,0.13574,6,6,6,0,10,8.1516,8.1444,-0.0072,0.00163032,0.00162888,0.0032592,-0.0104592,683645,578560,config_estimated,config_estimated,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:151:1:288230376151711791,ENA_USDT,151,1,kShort,closed,288230376151711790,288230376151711791,61643021227736404,61643021227736445,1781631348202000000,1781631348203329832,1330617,1781631348200659000,1781631348200773918,2671617,1781631348207000000,1781631348208336881,14803472,1781631348221687000,1781631348221802692,116472,1781631348217504258,1781631348246148343,28644085,kSell,kBuy,0.0848,0.08474,0.08477,0.08477,0.08477,0.08475,75,75,75,0,10,63.5775,63.5625,0.015,0.0127155,0.0127125,0.025428,-0.010428,687225,648618,config_estimated,config_estimated,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:155:9:288230376151712118,EPIC_USDT,155,9,kShort,closed,288230376151712117,288230376151712118,221802282093777387,221802282093777455,1781639123289000000,1781639123290079892,1081111,1781639123283603000,1781639123283707085,6478111,1781639123563000000,1781639123564490495,647888288,1781639124210784000,1781639124210887459,104288,1781639123291709916,1781639124212695152,920985236,kSell,kBuy,0.6337,0.6333,0.6335,0.6335,0.6337,0.6333,157,157,157,0,1,99.4909,99.4281,0.0628,0.01989818,0.01988562,0.0397838,0.0230162,601582,615590,config_estimated,config_estimated,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:155:19:288230376151712220,EPIC_USDT,155,19,kLong,closed,288230376151712219,288230376151712220,221802282094082149,221802282094082226,1781644450989000000,1781644450990067163,1068504,1781644450988690000,1781644450988924291,1378504,1781644451201000000,1781644451202548057,1548600,1781644451150400000,1781644451150620838,52148600,1781644450992486623,1781644451204275805,211789182,kBuy,kSell,0.6438,0.6433,0.644,0.6431,0.6439,0.6433,155,155,155,0,1,99.8045,99.7115,-0.093,0.0199609,0.0199423,0.0399032,-0.1329032,1021873,571378,config_estimated,config_estimated,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:155:20:288230376151712222,EPIC_USDT,155,20,kLong,closed,288230376151712221,288230376151712222,221802282094082412,221802282094082685,1781644456722000000,1781644456723038453,1039820,1781644456704931000,1781644456705136374,18108820,1781644460861000000,1781644460862231781,194790442,1781644461055582000,1781644461055789797,208442,1781644456724794859,1781644461057405791,4332610932,kBuy,kSell,0.6438,0.6443,0.644,0.6441,0.6438,0.64426,155,155,155,0,1,99.789,99.8603,0.0713,0.0199578,0.01997206,0.03992986,0.03137014,697794,585673,config_estimated,config_estimated,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:155:24:288230376151712271,EPIC_USDT,155,24,kLong,closed,288230376151712270,288230376151712271,221802282094224360,221802282094224937,1781647448769000000,1781647448769943655,945073,1781647448764428000,1781647448764557526,5517073,1781647451676000000,1781647451677597040,1597781,1781647451322398000,1781647451322521804,355199781,1781647448776174690,1781647451679062077,2902887387,kBuy,kSell,0.6433,0.644,0.6435,0.6438,0.6433,0.644,155,155,155,0,1,99.7115,99.82,0.1085,0.0199423,0.019964,0.0399063,0.0685937,629526,582612,config_estimated,config_estimated,
