run_id,symbol,local_order_id,text_order_id,request_sequence,order_role,action,side,reduce_only,time_in_force,status,finish_reason,raw_price,order_price,price_tick,order_offset_ticks,quantity,cumulative_filled_quantity,left_quantity,cancelled_quantity,fill_rate,average_fill_price,last_fill_price,request_send_local_ns,ack_local_receive_ns,order_finished_local_ns,signal_lag_id,ack_lag_id,accepted_lag_id,cancelled_lag_id,filled_lag_id,unknown_result_lag_id,terminal_stage,terminal_lag_id,category,signal_found,signal_exchange_ns,signal_local_ns,signal_bid_price,signal_bid_volume,signal_ask_price,signal_ask_volume,signal_contra_price,signal_contra_volume,signal_marketable,signal_margin_ticks,ack_found,ack_exchange_ns,ack_local_ns,ack_bid_price,ack_bid_volume,ack_ask_price,ack_ask_volume,ack_contra_price,ack_contra_volume,ack_marketable,ack_margin_ticks,accepted_found,accepted_exchange_ns,accepted_local_ns,accepted_bid_price,accepted_bid_volume,accepted_ask_price,accepted_ask_volume,accepted_contra_price,accepted_contra_volume,accepted_marketable,accepted_margin_ticks,cancelled_found,cancelled_exchange_ns,cancelled_local_ns,cancelled_bid_price,cancelled_bid_volume,cancelled_ask_price,cancelled_ask_volume,cancelled_contra_price,cancelled_contra_volume,cancelled_marketable,cancelled_margin_ticks,filled_found,filled_exchange_ns,filled_local_ns,filled_bid_price,filled_bid_volume,filled_ask_price,filled_ask_volume,filled_contra_price,filled_contra_volume,filled_marketable,filled_margin_ticks,terminal_found,terminal_exchange_ns,terminal_local_ns,terminal_bid_price,terminal_bid_volume,terminal_ask_price,terminal_ask_volume,terminal_contra_price,terminal_contra_volume,terminal_marketable,terminal_margin_ticks,signal_to_ack_start_id,signal_to_ack_end_id,signal_to_ack_start_exclusive,signal_to_ack_valid,signal_to_ack_records,signal_to_ack_marketable_records,signal_to_ack_first_marketable_id,signal_to_ack_first_marketable_local_ns,signal_to_ack_first_marketable_contra_price,signal_to_ack_last_marketable_id,signal_to_ack_last_marketable_local_ns,signal_to_ack_last_marketable_contra_price,signal_to_ack_best_contra_price,signal_to_ack_best_margin_ticks,signal_to_terminal_start_id,signal_to_terminal_end_id,signal_to_terminal_start_exclusive,signal_to_terminal_valid,signal_to_terminal_records,signal_to_terminal_marketable_records,signal_to_terminal_first_marketable_id,signal_to_terminal_first_marketable_local_ns,signal_to_terminal_first_marketable_contra_price,signal_to_terminal_last_marketable_id,signal_to_terminal_last_marketable_local_ns,signal_to_terminal_last_marketable_contra_price,signal_to_terminal_best_contra_price,signal_to_terminal_best_margin_ticks,ack_to_terminal_start_id,ack_to_terminal_end_id,ack_to_terminal_start_exclusive,ack_to_terminal_valid,ack_to_terminal_records,ack_to_terminal_marketable_records,ack_to_terminal_first_marketable_id,ack_to_terminal_first_marketable_local_ns,ack_to_terminal_first_marketable_contra_price,ack_to_terminal_last_marketable_id,ack_to_terminal_last_marketable_local_ns,ack_to_terminal_last_marketable_contra_price,ack_to_terminal_best_contra_price,ack_to_terminal_best_margin_ticks,after_ack_to_terminal_start_id,after_ack_to_terminal_end_id,after_ack_to_terminal_start_exclusive,after_ack_to_terminal_valid,after_ack_to_terminal_records,after_ack_to_terminal_marketable_records,after_ack_to_terminal_first_marketable_id,after_ack_to_terminal_first_marketable_local_ns,after_ack_to_terminal_first_marketable_contra_price,after_ack_to_terminal_last_marketable_id,after_ack_to_terminal_last_marketable_local_ns,after_ack_to_terminal_last_marketable_contra_price,after_ack_to_terminal_best_contra_price,after_ack_to_terminal_best_margin_ticks,accepted_to_terminal_start_id,accepted_to_terminal_end_id,accepted_to_terminal_start_exclusive,accepted_to_terminal_valid,accepted_to_terminal_records,accepted_to_terminal_marketable_records,accepted_to_terminal_first_marketable_id,accepted_to_terminal_first_marketable_local_ns,accepted_to_terminal_first_marketable_contra_price,accepted_to_terminal_last_marketable_id,accepted_to_terminal_last_marketable_local_ns,accepted_to_terminal_last_marketable_contra_price,accepted_to_terminal_best_contra_price,accepted_to_terminal_best_margin_ticks,after_accepted_to_terminal_start_id,after_accepted_to_terminal_end_id,after_accepted_to_terminal_start_exclusive,after_accepted_to_terminal_valid,after_accepted_to_terminal_records,after_accepted_to_terminal_marketable_records,after_accepted_to_terminal_first_marketable_id,after_accepted_to_terminal_first_marketable_local_ns,after_accepted_to_terminal_first_marketable_contra_price,after_accepted_to_terminal_last_marketable_id,after_accepted_to_terminal_last_marketable_local_ns,after_accepted_to_terminal_last_marketable_contra_price,after_accepted_to_terminal_best_contra_price,after_accepted_to_terminal_best_margin_ticks
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,SKYAI_USDT,288230376151711757,t-288230376151711757,14,entry,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,0.34192,0.34196,1e-05,4,29,0,29,29,0,0,0,1781863960312110224,1781863960312785739,1781863960316185781,2251028758,2251028797,2251028877,2251028960,,,cancelled,2251028960,marketable_signal_to_ack_only,true,1781863960311425000,1781863960311550700,0.34183,8,0.34192,20,0.34192,20,true,4,true,1781863960312355000,1781863960312503297,0.34201,8,0.34204,61,0.34204,61,false,-8,true,1781863960313398000,1781863960313508024,0.34214,27,0.34236,8,0.34236,8,false,-40,true,1781863960315619000,1781863960315791157,0.34222,27,0.34236,8,0.34236,8,false,-40,false,,,,,,,,,false,,true,1781863960315619000,1781863960315791157,0.34222,27,0.34236,8,0.34236,8,false,-40,2251028758,2251028797,false,true,2,1,2251028758,1781863960311550700,0.34192,2251028758,1781863960311550700,0.34192,0.34192,4,2251028758,2251028960,false,true,4,1,2251028758,1781863960311550700,0.34192,2251028758,1781863960311550700,0.34192,0.34192,4,2251028797,2251028960,false,true,3,0,,,,,,,0.34204,-8,2251028797,2251028960,true,true,2,0,,,,,,,0.34236,-40,2251028877,2251028960,false,true,2,0,,,,,,,0.34236,-40,2251028877,2251028960,true,true,1,0,,,,,,,0.34236,-40
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,SKYAI_USDT,288230376151711759,t-288230376151711759,16,entry,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,0.34142,0.34138,1e-05,4,29,0,29,29,0,0,0,1781864108136521544,1781864108137196422,1781864108138426185,2251042844,2251042917,2251042934,2251042934,,,cancelled,2251042934,marketable_signal_to_ack_only,true,1781864108135553000,1781864108135653365,0.34142,28,0.34143,16,0.34142,28,true,4,true,1781864108136593000,1781864108136708892,0.34091,8,0.34119,15,0.34091,8,false,-47,true,1781864108138107000,1781864108138200315,0.34091,8,0.34126,105,0.34091,8,false,-47,true,1781864108138107000,1781864108138200315,0.34091,8,0.34126,105,0.34091,8,false,-47,false,,,,,,,,,false,,true,1781864108138107000,1781864108138200315,0.34091,8,0.34126,105,0.34091,8,false,-47,2251042844,2251042917,false,true,2,1,2251042844,1781864108135653365,0.34142,2251042844,1781864108135653365,0.34142,0.34142,4,2251042844,2251042934,false,true,3,1,2251042844,1781864108135653365,0.34142,2251042844,1781864108135653365,0.34142,0.34142,4,2251042917,2251042934,false,true,2,0,,,,,,,0.34091,-47,2251042917,2251042934,true,true,1,0,,,,,,,0.34091,-47,2251042934,2251042934,false,true,1,0,,,,,,,0.34091,-47,2251042934,2251042934,true,true,0,0,,,,,,,,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,SKYAI_USDT,288230376151711760,t-288230376151711760,17,entry,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,0.34104,0.34108,1e-05,4,29,0,29,29,0,0,0,1781864108140024216,1781864108140617396,1781864108142025212,2251043017,2251043032,2251043084,2251043084,,,cancelled,2251043084,marketable_signal_to_ack_only,true,1781864108139183000,1781864108139321750,0.34091,8,0.34104,18,0.34104,18,true,4,true,1781864108140120000,1781864108140209786,0.34102,18,0.34142,8,0.34142,8,false,-34,true,1781864108141143000,1781864108141274060,0.34106,15,0.34143,163,0.34143,163,false,-35,true,1781864108141143000,1781864108141274060,0.34106,15,0.34143,163,0.34143,163,false,-35,false,,,,,,,,,false,,true,1781864108141143000,1781864108141274060,0.34106,15,0.34143,163,0.34143,163,false,-35,2251043017,2251043032,false,true,2,1,2251043017,1781864108139321750,0.34104,2251043017,1781864108139321750,0.34104,0.34104,4,2251043017,2251043084,false,true,3,1,2251043017,1781864108139321750,0.34104,2251043017,1781864108139321750,0.34104,0.34104,4,2251043032,2251043084,false,true,2,0,,,,,,,0.34142,-34,2251043032,2251043084,true,true,1,0,,,,,,,0.34143,-35,2251043084,2251043084,false,true,1,0,,,,,,,0.34143,-35,2251043084,2251043084,true,true,0,0,,,,,,,,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,SKYAI_USDT,288230376151711819,t-288230376151711819,76,entry,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,0.34243,0.34247,1e-05,4,29,0,29,29,0,0,0,1781866070159463828,1781866070160003058,1781866070165504578,2251178025,2251178025,,2251178368,,,cancelled,2251178368,marketable_at_ack_stage_only,true,1781866070159312000,1781866070159451140,0.34239,8,0.34243,17,0.34243,17,true,4,true,1781866070159312000,1781866070159451140,0.34239,8,0.34243,17,0.34243,17,true,4,false,,,,,,,,,false,,true,1781866070164864000,1781866070165000086,0.34254,8,0.34267,21,0.34267,21,false,-20,false,,,,,,,,,false,,true,1781866070164864000,1781866070165000086,0.34254,8,0.34267,21,0.34267,21,false,-20,2251178025,2251178025,false,true,1,1,2251178025,1781866070159451140,0.34243,2251178025,1781866070159451140,0.34243,0.34243,4,2251178025,2251178368,false,true,5,1,2251178025,1781866070159451140,0.34243,2251178025,1781866070159451140,0.34243,0.34243,4,2251178025,2251178368,false,true,5,1,2251178025,1781866070159451140,0.34243,2251178025,1781866070159451140,0.34243,0.34243,4,2251178025,2251178368,true,true,4,0,,,,,,,0.34267,-20,,2251178368,false,false,0,0,,,,,,,,,,2251178368,true,false,0,0,,,,,,,,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,SKYAI_USDT,288230376151711949,t-288230376151711949,206,entry,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,0.34102,0.34098,1e-05,4,29,0,29,29,0,0,0,1781871530097017420,1781871530097661263,1781871530105043636,2251643448,2251643448,,2251643587,,,cancelled,2251643587,marketable_at_ack_stage_only,true,1781871530096539000,1781871530096628549,0.34102,17,0.34113,15,0.34102,17,true,4,true,1781871530096539000,1781871530096628549,0.34102,17,0.34113,15,0.34102,17,true,4,false,,,,,,,,,false,,true,1781871530102964000,1781871530103067085,0.34074,51,0.34086,21,0.34074,51,false,-24,false,,,,,,,,,false,,true,1781871530102964000,1781871530103067085,0.34074,51,0.34086,21,0.34074,51,false,-24,2251643448,2251643448,false,true,1,1,2251643448,1781871530096628549,0.34102,2251643448,1781871530096628549,0.34102,0.34102,4,2251643448,2251643587,false,true,6,1,2251643448,1781871530096628549,0.34102,2251643448,1781871530096628549,0.34102,0.34102,4,2251643448,2251643587,false,true,6,1,2251643448,1781871530096628549,0.34102,2251643448,1781871530096628549,0.34102,0.34102,4,2251643448,2251643587,true,true,5,0,,,,,,,0.34074,-24,,2251643587,false,false,0,0,,,,,,,,,,2251643587,true,false,0,0,,,,,,,,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,SKYAI_USDT,288230376151711986,t-288230376151711986,243,entry,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,0.34367,0.34371,1e-05,4,29,0,29,29,0,0,0,1781872749138510490,1781872749139122414,1781872749140258571,2251729955,2251729988,2251730043,2251730043,,,cancelled,2251730043,marketable_signal_to_ack_only,true,1781872749137695000,1781872749137797497,0.34366,8,0.34367,18,0.34367,18,true,4,true,1781872749138853000,1781872749138979730,0.34366,51,0.34385,28,0.34385,28,false,-14,true,1781872749139780000,1781872749139873758,0.34381,27,0.344,1,0.344,1,false,-29,true,1781872749139780000,1781872749139873758,0.34381,27,0.344,1,0.344,1,false,-29,false,,,,,,,,,false,,true,1781872749139780000,1781872749139873758,0.34381,27,0.344,1,0.344,1,false,-29,2251729955,2251729988,false,true,2,1,2251729955,1781872749137797497,0.34367,2251729955,1781872749137797497,0.34367,0.34367,4,2251729955,2251730043,false,true,3,1,2251729955,1781872749137797497,0.34367,2251729955,1781872749137797497,0.34367,0.34367,4,2251729988,2251730043,false,true,2,0,,,,,,,0.34385,-14,2251729988,2251730043,true,true,1,0,,,,,,,0.344,-29,2251730043,2251730043,false,true,1,0,,,,,,,0.344,-29,2251730043,2251730043,true,true,0,0,,,,,,,,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,SKYAI_USDT,288230376151711991,t-288230376151711991,248,entry,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,0.34503,0.34507,1e-05,4,28,0,28,28,0,0,0,1781872837106495371,1781872837107147029,1781872837109150633,2251745464,2251745547,2251745661,2251745789,,,cancelled,2251745789,marketable_signal_to_ack_only,true,1781872837105812000,1781872837105996971,0.34487,85,0.34503,8,0.34503,8,true,4,true,1781872837106953000,1781872837107097782,0.34508,14,0.34512,8,0.34512,8,false,-5.00000000001,true,1781872837107969000,1781872837108163211,0.34526,28,0.34527,8,0.34527,8,false,-20,true,1781872837109018000,1781872837109130851,0.3455,6,0.34555,8,0.34555,8,false,-48,false,,,,,,,,,false,,true,1781872837109018000,1781872837109130851,0.3455,6,0.34555,8,0.34555,8,false,-48,2251745464,2251745547,false,true,2,1,2251745464,1781872837105996971,0.34503,2251745464,1781872837105996971,0.34503,0.34503,4,2251745464,2251745789,false,true,4,1,2251745464,1781872837105996971,0.34503,2251745464,1781872837105996971,0.34503,0.34503,4,2251745547,2251745789,false,true,3,0,,,,,,,0.34512,-5.00000000001,2251745547,2251745789,true,true,2,0,,,,,,,0.34527,-20,2251745661,2251745789,false,true,2,0,,,,,,,0.34527,-20,2251745661,2251745789,true,true,1,0,,,,,,,0.34555,-48
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,SKYAI_USDT,288230376151711992,t-288230376151711992,249,entry,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,0.34673,0.34677,1e-05,4,28,0,28,28,0,0,0,1781872861876961596,1781872861877526445,1781872861880531048,2251752418,2251752447,2251752684,2251752684,,,cancelled,2251752684,marketable_signal_to_ack_only,true,1781872861876127000,1781872861876249179,0.3467,8,0.34673,8,0.34673,8,true,4,true,1781872861877172000,1781872861877260843,0.34696,171,0.34699,8,0.34699,8,false,-22,true,1781872861879362000,1781872861879480070,0.34772,809,0.348,1,0.348,1,false,-123,true,1781872861879362000,1781872861879480070,0.34772,809,0.348,1,0.348,1,false,-123,false,,,,,,,,,false,,true,1781872861879362000,1781872861879480070,0.34772,809,0.348,1,0.348,1,false,-123,2251752418,2251752447,false,true,2,1,2251752418,1781872861876249179,0.34673,2251752418,1781872861876249179,0.34673,0.34673,4,2251752418,2251752684,false,true,4,1,2251752418,1781872861876249179,0.34673,2251752418,1781872861876249179,0.34673,0.34673,4,2251752447,2251752684,false,true,3,0,,,,,,,0.34699,-22,2251752447,2251752684,true,true,2,0,,,,,,,0.34754,-77,2251752684,2251752684,false,true,1,0,,,,,,,0.348,-123,2251752684,2251752684,true,true,0,0,,,,,,,,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,SKYAI_USDT,288230376151711994,t-288230376151711994,251,entry,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,0.34672,0.34676,1e-05,4,28,0,28,28,0,0,0,1781873076566561069,1781873076567205430,1781873076574939169,2251782756,2251782756,2251783146,2251783342,,,cancelled,2251783342,marketable_at_ack_stage_only,true,1781873076566303000,1781873076566443894,0.34663,223,0.34672,8,0.34672,8,true,4,true,1781873076566303000,1781873076566443894,0.34663,223,0.34672,8,0.34672,8,true,4,true,1781873076570482000,1781873076570586847,0.34813,272,0.34846,1,0.34846,1,false,-170,true,1781873076573876000,1781873076573977302,0.34793,8,0.34798,5,0.34798,5,false,-122,false,,,,,,,,,false,,true,1781873076573876000,1781873076573977302,0.34793,8,0.34798,5,0.34798,5,false,-122,2251782756,2251782756,false,true,1,1,2251782756,1781873076566443894,0.34672,2251782756,1781873076566443894,0.34672,0.34672,4,2251782756,2251783342,false,true,8,1,2251782756,1781873076566443894,0.34672,2251782756,1781873076566443894,0.34672,0.34672,4,2251782756,2251783342,false,true,8,1,2251782756,1781873076566443894,0.34672,2251782756,1781873076566443894,0.34672,0.34672,4,2251782756,2251783342,true,true,7,0,,,,,,,0.34746,-70,2251783146,2251783342,false,true,4,0,,,,,,,0.34798,-122,2251783146,2251783342,true,true,3,0,,,,,,,0.34798,-122
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,SKYAI_USDT,288230376151711997,t-288230376151711997,254,entry,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,0.35194,0.35198,1e-05,4,28,0,28,28,0,0,0,1781873330169007611,1781873330174084101,1781873330187272886,2251821288,2251821317,,2251821658,,,cancelled,2251821658,marketable_after_ack_before_cancelled,true,1781873330153663000,1781873330153793145,0.35169,8,0.35194,23,0.35194,23,true,4,true,1781873330170713000,1781873330170952430,0.3517,19,0.35194,23,0.35194,23,true,4,false,,,,,,,,,false,,true,1781873330184751000,1781873330184859932,0.35236,173,0.35269,8,0.35269,8,false,-71,false,,,,,,,,,false,,true,1781873330184751000,1781873330184859932,0.35236,173,0.35269,8,0.35269,8,false,-71,2251821288,2251821317,false,true,2,2,2251821288,1781873330153793145,0.35194,2251821317,1781873330170952430,0.35194,0.35194,4,2251821288,2251821658,false,true,8,3,2251821288,1781873330153793145,0.35194,2251821328,1781873330174069945,0.35194,0.35194,4,2251821317,2251821658,false,true,7,2,2251821317,1781873330170952430,0.35194,2251821328,1781873330174069945,0.35194,0.35194,4,2251821317,2251821658,true,true,6,1,2251821328,1781873330174069945,0.35194,2251821328,1781873330174069945,0.35194,0.35194,4,,2251821658,false,false,0,0,,,,,,,,,,2251821658,true,false,0,0,,,,,,,,
