sample_type,local_order_id,request_sequence,action,side,status,raw_price,order_price,reference_order_price,entry_buffer_pct,price_tick,quantity,cumulative_filled_quantity,signal_lag_id,terminal_lag_id,x_in_ns,x_out_ns,signal_to_x_in_us,signal_to_x_out_us,lead_quote_latency_ns,lag_quote_latency_ns,lead_freshness_ns,lag_freshness_ns,quote_latency_threshold_would_block,quote_latency_threshold_block_reason,runtime_freshness_threshold_would_block,runtime_freshness_threshold_block_reason,signal_book_ticker_id,signal_exchange_ns,signal_contra_price,signal_contra_volume,signal_raw_any,signal_raw_margin_ticks,signal_order_any,signal_order_margin_ticks,signal_reference_any,signal_reference_margin_ticks,x_in_book_ticker_id,x_in_exchange_ns,x_in_contra_price,x_in_contra_volume,x_in_raw_any,x_in_raw_margin_ticks,x_in_order_any,x_in_order_margin_ticks,x_in_reference_any,x_in_reference_margin_ticks,x_out_book_ticker_id,x_out_exchange_ns,x_out_contra_price,x_out_contra_volume,x_out_raw_any,x_out_raw_margin_ticks,x_out_order_any,x_out_order_margin_ticks,x_out_reference_any,x_out_reference_margin_ticks,raw_lifetime_valid,raw_lifetime_any,raw_lifetime_records,raw_lifetime_marketable_records,raw_last_marketable_id,raw_last_marketable_exchange_ns,raw_lifetime_us,order_lifetime_valid,order_lifetime_any,order_lifetime_records,order_lifetime_marketable_records,order_last_marketable_id,order_last_marketable_exchange_ns,order_lifetime_us,reference_lifetime_valid,reference_lifetime_any,reference_lifetime_records,reference_lifetime_marketable_records,reference_last_marketable_id,reference_last_marketable_exchange_ns,reference_lifetime_us
cancel_open_no_fill,288230376151711757,14,kOpenLong,kBuy,kCancelled,0.34192,0.34196,0.34527,0.00979117687733,1e-05,29,0,2251028758,2251028960,1781863960312308992,1781863960312463872,883.992,1038.872,1094912,125696,1095690,670690,false,-,false,-,2251028758,1781863960311425000,0.34192,20,true,0,true,4,true,335,2251028758,1781863960311425000,0.34192,20,true,0,true,4,true,335,2251028797,1781863960312355000,0.34204,61,false,-12,false,-8,true,323,true,true,4,1,2251028758,1781863960311425000,0,true,true,4,1,2251028758,1781863960311425000,0,true,true,4,4,2251028960,1781863960315619000,4194
cancel_open_no_fill,288230376151711759,16,kOpenShort,kSell,kCancelled,0.34142,0.34138,0.33807,0.00979117687733,1e-05,29,0,2251042844,2251042934,1781864108136753920,1781864108136898048,1200.92,1345.048,1504768,100352,1506242,953242,false,-,false,-,2251042844,1781864108135553000,0.34142,28,true,0,true,4,true,335,2251042917,1781864108136593000,0.34091,8,false,-51,false,-47,true,284,2251042917,1781864108136593000,0.34091,8,false,-51,false,-47,true,284,true,true,3,1,2251042844,1781864108135553000,0,true,true,3,1,2251042844,1781864108135553000,0,true,true,3,3,2251042934,1781864108138107000,2554
cancel_open_no_fill,288230376151711760,17,kOpenLong,kBuy,kCancelled,0.34104,0.34108,0.34438,0.00979117687733,1e-05,29,0,2251043017,2251043084,1781864108140229888,1781864108140328960,1046.888,1145.96,1020928,138752,1021782,838782,false,-,false,-,2251043017,1781864108139183000,0.34104,18,true,0,true,4,true,334,2251043032,1781864108140120000,0.34142,8,false,-38,false,-34,true,296,2251043032,1781864108140120000,0.34142,8,false,-38,false,-34,true,296,true,true,3,1,2251043017,1781864108139183000,0,true,true,3,1,2251043017,1781864108139183000,0,true,true,3,3,2251043084,1781864108141143000,1960
cancel_open_no_fill,288230376151711819,76,kOpenLong,kBuy,kCancelled,0.34243,0.34247,0.34579,0.00979117687733,1e-05,29,0,2251178025,2251178368,1781866070159660032,1781866070159770880,348.032,458.88,446208,139264,453194,141194,false,-,false,-,2251178025,1781866070159312000,0.34243,17,true,0,true,4,true,336,2251178025,1781866070159312000,0.34243,17,true,0,true,4,true,336,2251178025,1781866070159312000,0.34243,17,true,0,true,4,true,336,true,true,5,1,2251178025,1781866070159312000,0,true,true,5,1,2251178025,1781866070159312000,0,true,true,5,5,2251178368,1781866070164864000,5552
cancel_open_no_fill,288230376151711949,206,kOpenShort,kSell,kCancelled,0.34102,0.34098,0.33768,0.00979117687733,1e-05,29,0,2251643448,2251643587,1781871530097219072,1781871530097351936,680.072,812.936,1001216,89600,1002140,463140,false,-,false,-,2251643448,1781871530096539000,0.34102,17,true,5.55111512313e-12,true,4,true,334,2251643448,1781871530096539000,0.34102,17,true,5.55111512313e-12,true,4,true,334,2251643448,1781871530096539000,0.34102,17,true,5.55111512313e-12,true,4,true,334,true,true,6,1,2251643448,1781871530096539000,0,true,true,6,1,2251643448,1781871530096539000,0,true,true,6,6,2251643587,1781871530102964000,6425
cancel_open_no_fill,288230376151711986,243,kOpenLong,kBuy,kCancelled,0.34367,0.34371,0.34704,0.00979117687733,1e-05,29,0,2251729955,2251730043,1781872749138711040,1781872749138855936,1016.04,1160.936,502528,102400,504000,809000,false,-,false,-,2251729955,1781872749137695000,0.34367,18,false,-5.55111512313e-12,true,4,true,337,2251729955,1781872749137695000,0.34367,18,false,-5.55111512313e-12,true,4,true,337,2251729988,1781872749138853000,0.34385,28,false,-18,false,-14,true,319,true,false,3,,,,,true,true,3,1,2251729955,1781872749137695000,0,true,true,3,3,2251730043,1781872749139780000,2085
cancel_open_no_fill,288230376151711991,248,kOpenLong,kBuy,kCancelled,0.34503,0.34507,0.34841,0.00979117687733,1e-05,28,0,2251745464,2251745789,1781872837106704896,1781872837106838016,892.896,1026.016,1478656,185088,1479667,667667,false,-,false,-,2251745464,1781872837105812000,0.34503,8,true,0,true,4,true,338,2251745464,1781872837105812000,0.34503,8,true,0,true,4,true,338,2251745464,1781872837105812000,0.34503,8,true,0,true,4,true,338,true,true,4,1,2251745464,1781872837105812000,0,true,true,4,1,2251745464,1781872837105812000,0,true,true,4,4,2251745789,1781872837109018000,3206
cancel_open_no_fill,288230376151711992,249,kOpenLong,kBuy,kCancelled,0.34673,0.34677,0.35013,0.00979117687733,1e-05,28,0,2251752418,2251752684,1781872861877172992,1781872861877275904,1045.992,1148.904,946176,122112,947379,820379,false,-,false,-,2251752418,1781872861876127000,0.34673,8,false,-5.55111512313e-12,true,4,true,340,2251752447,1781872861877172000,0.34699,8,false,-26,false,-22,true,314,2251752447,1781872861877172000,0.34699,8,false,-26,false,-22,true,314,true,false,4,,,,,true,true,4,1,2251752418,1781872861876127000,0,true,true,4,4,2251752684,1781872861879362000,3235
cancel_open_no_fill,288230376151711994,251,kOpenLong,kBuy,kCancelled,0.34672,0.34676,0.35012,0.00979117687733,1e-05,28,0,2251782756,2251783342,1781873076566797056,1781873076566942976,494.056,639.976,1543680,140800,1545434,242434,false,-,false,-,2251782756,1781873076566303000,0.34672,8,false,-5.55111512313e-12,true,4,true,340,2251782756,1781873076566303000,0.34672,8,false,-5.55111512313e-12,true,4,true,340,2251782756,1781873076566303000,0.34672,8,false,-5.55111512313e-12,true,4,true,340,true,false,8,,,,,true,true,8,1,2251782756,1781873076566303000,0,true,true,8,8,2251783342,1781873076573876000,7573
cancel_open_no_fill,288230376151711997,254,kOpenLong,kBuy,kCancelled,0.35194,0.35198,0.35539,0.00979117687733,1e-05,28,0,2251821288,2251821658,1781873330169268992,1781873330172091904,15605.992,18428.904,999168,130048,999882,15336882,true,freshness_lag,false,-,2251821288,1781873330153663000,0.35194,23,false,-5.55111512313e-12,true,4,true,345,2251821288,1781873330153663000,0.35194,23,false,-5.55111512313e-12,true,4,true,345,2251821317,1781873330170713000,0.35194,23,false,-5.55111512313e-12,true,4,true,345,true,false,8,,,,,true,true,8,3,2251821328,1781873330173849000,20186,true,true,8,8,2251821658,1781873330184751000,31088
