group,local_order_id,side,action,status,order_role,order_price,quantity,signal_lag_id,ack_lag_id,accepted_lag_id,cancelled_lag_id,filled_lag_id,terminal_lag_id,signal_found,signal_any,signal_full,signal_volume,signal_contra,ack_found,ack_any,ack_full,ack_volume,ack_contra,accepted_found,accepted_any,accepted_full,accepted_volume,accepted_contra,cancelled_found,cancelled_any,cancelled_full,cancelled_volume,cancelled_contra,filled_found,filled_any,filled_full,filled_volume,filled_contra,signal_to_ack_records,signal_to_ack_any_records,signal_to_ack_full_records,signal_to_ack_max_marketable_volume,signal_to_ack_first_any_id,signal_to_ack_first_full_id,ack_to_terminal_records,ack_to_terminal_any_records,ack_to_terminal_full_records,ack_to_terminal_max_marketable_volume,ack_to_terminal_first_any_id,ack_to_terminal_first_full_id,after_ack_to_terminal_records,after_ack_to_terminal_any_records,after_ack_to_terminal_full_records,after_ack_to_terminal_max_marketable_volume,after_ack_to_terminal_first_any_id,after_ack_to_terminal_first_full_id,accepted_to_terminal_records,accepted_to_terminal_any_records,accepted_to_terminal_full_records,accepted_to_terminal_max_marketable_volume,accepted_to_terminal_first_any_id,accepted_to_terminal_first_full_id,after_accepted_to_terminal_records,after_accepted_to_terminal_any_records,after_accepted_to_terminal_full_records,after_accepted_to_terminal_max_marketable_volume,after_accepted_to_terminal_first_any_id,after_accepted_to_terminal_first_full_id,signal_to_terminal_records,signal_to_terminal_any_records,signal_to_terminal_full_records,signal_to_terminal_max_marketable_volume,signal_to_terminal_first_any_id,signal_to_terminal_first_full_id
cancelled_entry_unfilled,288230376151711757,kBuy,kOpenLong,kCancelled,entry,0.34196,29,2251028758,2251028797,2251028877,2251028960,,2251028960,true,true,false,20,0.34192,true,false,false,61,0.34204,true,false,false,8,0.34236,true,false,false,8,0.34236,false,false,false,,,2,1,0,20,2251028758,,3,0,0,,,,2,0,0,,,,2,0,0,,,,1,0,0,,,,4,1,0,20,2251028758,
cancelled_entry_unfilled,288230376151711759,kSell,kOpenShort,kCancelled,entry,0.34138,29,2251042844,2251042917,2251042934,2251042934,,2251042934,true,true,false,28,0.34142,true,false,false,8,0.34091,true,false,false,8,0.34091,true,false,false,8,0.34091,false,false,false,,,2,1,0,28,2251042844,,2,0,0,,,,1,0,0,,,,1,0,0,,,,0,0,0,,,,3,1,0,28,2251042844,
cancelled_entry_unfilled,288230376151711760,kBuy,kOpenLong,kCancelled,entry,0.34108,29,2251043017,2251043032,2251043084,2251043084,,2251043084,true,true,false,18,0.34104,true,false,false,8,0.34142,true,false,false,163,0.34143,true,false,false,163,0.34143,false,false,false,,,2,1,0,18,2251043017,,2,0,0,,,,1,0,0,,,,1,0,0,,,,0,0,0,,,,3,1,0,18,2251043017,
cancelled_entry_unfilled,288230376151711819,kBuy,kOpenLong,kCancelled,entry,0.34247,29,2251178025,2251178025,,2251178368,,2251178368,true,true,false,17,0.34243,true,true,false,17,0.34243,false,false,false,,,true,false,false,21,0.34267,false,false,false,,,1,1,0,17,2251178025,,5,1,0,17,2251178025,,4,0,0,,,,0,0,0,,,,0,0,0,,,,5,1,0,17,2251178025,
cancelled_entry_unfilled,288230376151711949,kSell,kOpenShort,kCancelled,entry,0.34098,29,2251643448,2251643448,,2251643587,,2251643587,true,true,false,17,0.34102,true,true,false,17,0.34102,false,false,false,,,true,false,false,51,0.34074,false,false,false,,,1,1,0,17,2251643448,,6,1,0,17,2251643448,,5,0,0,,,,0,0,0,,,,0,0,0,,,,6,1,0,17,2251643448,
cancelled_entry_unfilled,288230376151711986,kBuy,kOpenLong,kCancelled,entry,0.34371,29,2251729955,2251729988,2251730043,2251730043,,2251730043,true,true,false,18,0.34367,true,false,false,28,0.34385,true,false,false,1,0.344,true,false,false,1,0.344,false,false,false,,,2,1,0,18,2251729955,,2,0,0,,,,1,0,0,,,,1,0,0,,,,0,0,0,,,,3,1,0,18,2251729955,
cancelled_entry_unfilled,288230376151711991,kBuy,kOpenLong,kCancelled,entry,0.34507,28,2251745464,2251745547,2251745661,2251745789,,2251745789,true,true,false,8,0.34503,true,false,false,8,0.34512,true,false,false,8,0.34527,true,false,false,8,0.34555,false,false,false,,,2,1,0,8,2251745464,,3,0,0,,,,2,0,0,,,,2,0,0,,,,1,0,0,,,,4,1,0,8,2251745464,
cancelled_entry_unfilled,288230376151711992,kBuy,kOpenLong,kCancelled,entry,0.34677,28,2251752418,2251752447,2251752684,2251752684,,2251752684,true,true,false,8,0.34673,true,false,false,8,0.34699,true,false,false,1,0.348,true,false,false,1,0.348,false,false,false,,,2,1,0,8,2251752418,,3,0,0,,,,2,0,0,,,,1,0,0,,,,0,0,0,,,,4,1,0,8,2251752418,
cancelled_entry_unfilled,288230376151711994,kBuy,kOpenLong,kCancelled,entry,0.34676,28,2251782756,2251782756,2251783146,2251783342,,2251783342,true,true,false,8,0.34672,true,true,false,8,0.34672,true,false,false,1,0.34846,true,false,false,5,0.34798,false,false,false,,,1,1,0,8,2251782756,,8,1,0,8,2251782756,,7,0,0,,,,4,0,0,,,,3,0,0,,,,8,1,0,8,2251782756,
cancelled_entry_unfilled,288230376151711997,kBuy,kOpenLong,kCancelled,entry,0.35198,28,2251821288,2251821317,,2251821658,,2251821658,true,true,false,23,0.35194,true,true,false,23,0.35194,false,false,false,,,true,false,false,8,0.35269,false,false,false,,,2,2,0,23,2251821288,,7,2,0,23,2251821317,,6,1,0,23,2251821328,,0,0,0,,,,0,0,0,,,,8,3,0,23,2251821288,
