run_id,local_order_id,text_order_id,request_sequence,encoded_request_id,exchange_order_id,symbol,symbol_id,trigger_exchange,trigger_symbol_id,trigger_exchange_ns,trigger_local_ns,on_book_ticker_entry_ns,signal_decision_ns,lead_exchange_ns,lead_local_ns,signal_lead_id,lead_freshness_ns,lag_exchange_ns,lag_local_ns,signal_lag_id,lag_freshness_ns,max_lead_freshness_ns,max_lag_freshness_ns,freshness_guard_pass,freshness_reject_reason,signal_role,order_role,position_id,position_event,position_direction,entry_local_order_id,action,side,reduce_only,time_in_force,status,finish_reason,reject_reason,raw_price,order_price,price_text,price_tick,slippage_ticks,order_offset_ticks,quantity,quantity_text,cumulative_filled_quantity,left_quantity,cancelled_quantity,fill_rate,average_fill_price,last_fill_price,contract_multiplier,filled_notional,fill_role,exec_slippage_price,exec_slippage_ticks,exec_slippage_bps,exec_slippage_quote,limit_improvement_ticks,fee_rate_config,fee_quote_estimated,fee_source,order_session_id,owner_thread_cpu,owner_thread_tid,local_ip,local_port,remote_ip,remote_port,send_cpu,ack_cpu,diagnostic_cpu,tcp_info_available,tcp_info_rtt_us,tcp_info_rttvar_us,tcp_info_retrans,tcp_info_total_retrans,tcp_info_unacked,tcp_info_snd_cwnd,ack_rtt_ns,ack_exchange_request_ingress_ns,ack_exchange_response_egress_ns,ack_exchange_process_ns,ack_lead_id,ack_lag_id,accepted_lead_id,accepted_lag_id,partial_filled_lead_id,partial_filled_lag_id,filled_lead_id,filled_lag_id,cancelled_lead_id,cancelled_lag_id,rejected_lead_id,rejected_lag_id,unknown_result_lead_id,unknown_result_lag_id,cancel_accepted_lead_id,cancel_accepted_lag_id,cancel_rejected_lead_id,cancel_rejected_lag_id,continuity_lost_lead_id,continuity_lost_lag_id,latency_diagnostic_reason,latency_diagnostic_ack_rtt_ns,send_to_first_after_hook_ns,send_to_first_drive_read_ns,drive_read_duration_ns,max_observed_drive_read_duration_ns,latency_diagnostic_inflight_at_send,max_runtime_loop_gap_ns,runtime_loop_iterations_before_ack,order_encode_done_ns,ws_frame_encode_done_ns,write_enqueue_ns,drive_write_enter_ns,write_some_enter_ns,write_some_return_ns,write_complete_ns,write_some_bytes,write_complete_bytes,write_errno,write_eagain,pending_write_count_after,socket_send_queue_available,tcp_sendq_bytes,tcp_notsent_bytes,request_send_local_ns,ack_local_receive_ns,order_finished_local_ns,source_schema,warnings
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,288230376151711757,t-288230376151711757,14,144115188075855886,235876031640436225,SKYAI_USDT,378,kBinance,378,1781863960311000000,1781863960312094873,1781863960312095298,1781863960312095690,1781863960311000000,1781863960312094873,10845560581231,1095690,1781863960311425000,1781863960311550700,2251028758,670690,5000000,20000000,true,-,kLead,entry,1,kEntrySubmit,kLong,288230376151711757,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,0.34192,0.34196,0.34196,1e-05,4,4,29,29,0,29,29,0,0,0,10.0,,kNone,,,,,,0.0002,,,1,4,916493,10.0.1.103,37716,10.0.1.154,80,4,4,,true,414,70,0,0,0,10,675515,1781863960312309000,1781863960312464000,155000,10845560581403,2251028797,10845560582012,2251028877,,,,,10845560582218,2251028960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1781863960312110224,1781863960312785739,1781863960316185781,submitted_v1,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,288230376151711759,t-288230376151711759,16,144115188075855888,235876031640443383,SKYAI_USDT,378,kBinance,378,1781864108135000000,1781864108136504783,1781864108136505445,1781864108136506242,1781864108135000000,1781864108136504783,10845573575324,1506242,1781864108135553000,1781864108135653365,2251042844,953242,5000000,20000000,true,-,kLead,entry,2,kEntrySubmit,kShort,288230376151711759,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,0.34142,0.34138,0.34138,1e-05,4,4,29,29,0,29,29,0,0,0,10.0,,kNone,,,,,,0.0002,,,1,4,916493,10.0.1.103,37716,10.0.1.154,80,4,4,,true,430,83,0,0,0,10,674878,1781864108136754000,1781864108136898000,144000,10845573575430,2251042917,10845573575561,2251042934,,,,,10845573575561,2251042934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1781864108136521544,1781864108137196422,1781864108138426185,submitted_v1,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,288230376151711760,t-288230376151711760,17,144115188075855889,235876031640443481,SKYAI_USDT,378,kBinance,378,1781864108139000000,1781864108140020907,1781864108140021343,1781864108140021782,1781864108139000000,1781864108140020907,10845573575831,1021782,1781864108139183000,1781864108139321750,2251043017,838782,5000000,20000000,true,-,kLead,entry,3,kEntrySubmit,kLong,288230376151711760,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,0.34104,0.34108,0.34108,1e-05,4,4,29,29,0,29,29,0,0,0,10.0,,kNone,,,,,,0.0002,,,1,4,916493,10.0.1.103,37716,10.0.1.154,80,4,4,,true,446,94,0,0,0,10,593180,1781864108140230000,1781864108140329000,99000,10845573575907,2251043032,10845573576029,2251043084,,,,,10845573576032,2251043084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1781864108140024216,1781864108140617396,1781864108142025212,submitted_v1,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,288230376151711819,t-288230376151711819,76,144115188075855948,235876031640512294,SKYAI_USDT,378,kBinance,378,1781866070159000000,1781866070159446215,1781866070159452825,1781866070159453194,1781866070159000000,1781866070159446215,10845746904569,453194,1781866070159312000,1781866070159451140,2251178025,141194,5000000,20000000,true,-,kLead,entry,4,kEntrySubmit,kLong,288230376151711819,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,0.34243,0.34247,0.34247,1e-05,4,4,29,29,0,29,29,0,0,0,10.0,,kNone,,,,,,0.0002,,,1,4,916493,10.0.1.103,37716,10.0.1.154,80,4,4,,true,445,63,0,0,0,10,539230,1781866070159660000,1781866070159771000,111000,10845746904569,2251178025,,,,,,,10845746905412,2251178368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1781866070159463828,1781866070160003058,1781866070165504578,submitted_v1,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,288230376151711949,t-288230376151711949,206,144115188075856078,235876031640748820,SKYAI_USDT,378,kBinance,378,1781871530096000000,1781871530097001122,1781871530097001663,1781871530097002140,1781871530096000000,1781871530097001122,10846208443232,1002140,1781871530096539000,1781871530096628549,2251643448,463140,5000000,20000000,true,-,kLead,entry,5,kEntrySubmit,kShort,288230376151711949,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,0.34102,0.34098,0.34098,1e-05,4,4,29,29,0,29,29,0,0,0,10.0,,kNone,,,,,,0.0002,,,1,4,916493,10.0.1.103,37716,10.0.1.154,80,4,4,,true,448,94,0,0,0,10,643843,1781871530097219000,1781871530097352000,133000,10846208443304,2251643448,,,,,,,10846208443789,2251643587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1781871530097017420,1781871530097661263,1781871530105043636,submitted_v1,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,288230376151711986,t-288230376151711986,243,144115188075856115,235876031640792777,SKYAI_USDT,378,kBinance,378,1781872749138000000,1781872749138502376,1781872749138503239,1781872749138504000,1781872749138000000,1781872749138502376,10846315668961,504000,1781872749137695000,1781872749137797497,2251729955,809000,5000000,20000000,true,-,kLead,entry,6,kEntrySubmit,kLong,288230376151711986,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,0.34367,0.34371,0.34371,1e-05,4,4,29,29,0,29,29,0,0,0,10.0,,kNone,,,,,,0.0002,,,1,4,916493,10.0.1.103,37716,10.0.1.154,80,4,4,,true,927,861,0,0,0,10,611924,1781872749138711000,1781872749138856000,145000,10846315669080,2251729988,10846315669204,2251730043,,,,,10846315669204,2251730043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1781872749138510490,1781872749139122414,1781872749140258571,submitted_v1,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,288230376151711991,t-288230376151711991,248,144115188075856120,235876031640800718,SKYAI_USDT,378,kBinance,378,1781872837105000000,1781872837106478718,1781872837106479071,1781872837106479667,1781872837105000000,1781872837106478718,10846324739039,1479667,1781872837105812000,1781872837105996971,2251745464,667667,5000000,20000000,true,-,kLead,entry,7,kEntrySubmit,kLong,288230376151711991,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,0.34503,0.34507,0.34507,1e-05,4,4,28,28,0,28,28,0,0,0,10.0,,kNone,,,,,,0.0002,,,1,4,916493,10.0.1.103,37716,10.0.1.154,80,4,4,,true,480,125,0,0,0,10,651658,1781872837106705000,1781872837106838000,133000,10846324739152,2251745547,10846324739265,2251745661,,,,,10846324739409,2251745789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1781872837106495371,1781872837107147029,1781872837109150633,submitted_v1,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,288230376151711992,t-288230376151711992,249,144115188075856121,235876031640804360,SKYAI_USDT,378,kBinance,378,1781872861876000000,1781872861876946239,1781872861876946839,1781872861876947379,1781872861876000000,1781872861876946239,10846326612562,947379,1781872861876127000,1781872861876249179,2251752418,820379,5000000,20000000,true,-,kLead,entry,8,kEntrySubmit,kLong,288230376151711992,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,0.34673,0.34677,0.34677,1e-05,4,4,28,28,0,28,28,0,0,0,10.0,,kNone,,,,,,0.0002,,,1,4,916493,10.0.1.103,37716,10.0.1.154,80,4,4,,true,446,94,0,0,0,10,564849,1781872861877173000,1781872861877276000,103000,10846326612759,2251752447,10846326613262,2251752684,,,,,10846326613351,2251752684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1781872861876961596,1781872861877526445,1781872861880531048,submitted_v1,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,288230376151711994,t-288230376151711994,251,144115188075856123,235876031640819921,SKYAI_USDT,378,kBinance,378,1781873076565000000,1781873076566543716,1781873076566544484,1781873076566545434,1781873076565000000,1781873076566543716,10846344113099,1545434,1781873076566303000,1781873076566443894,2251782756,242434,5000000,20000000,true,-,kLead,entry,9,kEntrySubmit,kLong,288230376151711994,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,0.34672,0.34676,0.34676,1e-05,4,4,28,28,0,28,28,0,0,0,10.0,,kNone,,,,,,0.0002,,,1,4,916493,10.0.1.103,37716,10.0.1.154,80,4,4,,true,413,73,0,0,0,10,644361,1781873076566797000,1781873076566943000,146000,10846344113306,2251782756,10846344114257,2251783146,,,,,10846344114672,2251783342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1781873076566561069,1781873076567205430,1781873076574939169,submitted_v1,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,288230376151711997,t-288230376151711997,254,144115188075856126,235876031640839686,SKYAI_USDT,378,kBinance,378,1781873330168000000,1781873330168999227,1781873330168999560,1781873330168999882,1781873330168000000,1781873330168999227,10846370953096,999882,1781873330153663000,1781873330153793145,2251821288,15336882,5000000,20000000,true,-,kLead,entry,10,kEntrySubmit,kLong,288230376151711997,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,0.35194,0.35198,0.35198,1e-05,4,4,28,28,0,28,28,0,0,0,10.0,,kNone,,,,,,0.0002,,,1,4,916493,10.0.1.103,37716,10.0.1.154,80,4,4,4,true,1014,1194,0,0,0,10,5076490,1781873330169269000,1781873330172092000,2823000,10846370954151,2251821317,,,,,,,10846370956160,2251821658,,,,,,,,,,,kAckRttThreshold,5076490,14774,25017,11673,19945,1,45063,146,1781873330169007557,1781873330169008170,1781873330169008291,1781873330169008336,1781873330169008371,1781873330169012248,1781873330169015222,245,245,0,false,0,true,245,0,1781873330169007611,1781873330174084101,1781873330187272886,submitted_v1,
