run_id,latency_key,local_order_id,parent_id,route_id,exchange_order_id,exchange,symbol,symbol_id,position_id,position_direction,order_role,action,side,reduce_only,status,finish_reason,reject_reason,request_sequence,encoded_request_id,trigger_exchange_ns,trigger_local_ns,on_book_ticker_entry_ns,signal_decision_ns,lead_exchange_ns,lead_local_ns,signal_lead_id,lead_freshness_ns,lag_exchange_ns,lag_local_ns,signal_lag_id,lag_freshness_ns,max_lead_freshness_ns,max_lag_freshness_ns,freshness_guard_pass,freshness_reject_reason,request_send_local_ns,request_send_monotonic_ns,order_encode_done_local_ns,write_complete_local_ns,write_complete_monotonic_ns,ack_local_receive_ns,ack_receive_monotonic_ns,response_local_receive_ns,order_finished_local_ns,ack_exchange_ns,place_creation_exchange_ns,feedback_message_exchange_ns,feedback_created_exchange_ns,feedback_updated_exchange_ns,feedback_local_receive_ns,protocol_order_status,cancel_reason,ack_exchange_request_ingress_ns,ack_exchange_response_egress_ns,ack_exchange_process_ns,ack_lead_id,ack_lag_id,accepted_lead_id,accepted_lag_id,partial_filled_lead_id,partial_filled_lag_id,filled_lead_id,filled_lag_id,cancelled_lead_id,cancelled_lag_id,rejected_lead_id,rejected_lag_id,unknown_result_lead_id,unknown_result_lag_id,cancel_accepted_lead_id,cancel_accepted_lag_id,cancel_rejected_lead_id,cancel_rejected_lag_id,continuity_lost_lead_id,continuity_lost_lag_id,response_exchange_ns,accepted_exchange_ns,finish_exchange_ns,ack_rtt_ns,response_rtt_ns,send_to_ack_local_ns,send_to_write_complete_local_ns,write_complete_to_ack_local_ns,send_to_response_local_ns,send_to_finish_local_ns,ack_to_finish_local_ns,bbo_to_strategy_ns,strategy_to_signal_ns,signal_to_request_send_ns,trigger_to_request_send_ns,ack_exchange_to_local_ns,response_exchange_to_local_ns,exchange_lifecycle_ns,bitget_creation_to_terminal_ns,order_session_id,owner_thread_cpu,owner_thread_tid,local_ip,local_port,remote_ip,remote_port,send_cpu,ack_cpu,diagnostic_cpu,tcp_info_available,tcp_info_rtt_us,tcp_info_rttvar_us,tcp_info_retrans,tcp_info_total_retrans,tcp_info_unacked,tcp_info_snd_cwnd,latency_diagnostic_reason,latency_diagnostic_ack_rtt_ns,send_to_first_after_hook_ns,send_to_first_drive_read_ns,drive_read_duration_ns,max_observed_drive_read_duration_ns,latency_diagnostic_inflight_at_send,max_runtime_loop_gap_ns,runtime_loop_iterations_before_ack,order_encode_done_ns,ws_frame_encode_done_ns,write_enqueue_ns,drive_write_enter_ns,write_some_enter_ns,write_some_return_ns,write_complete_ns,write_some_bytes,write_complete_bytes,write_errno,write_eagain,pending_write_count_after,socket_send_queue_available,tcp_sendq_bytes,tcp_notsent_bytes,warnings
20260721_142306_bitget_combined46_n6_fanout1_12h,20260721_142306_bitget_combined46_n6_fanout1_12h:432345564227567617,432345564227567617,1,0,1463470646014652417,bitget,XLMUSDT,467,1,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,1,,1784644512636000000,1784644512636837150,1784644512636837480,1784644512636838405,1784644512636000000,1784644512636837150,11099485270383,838405,1784644512617000000,1784644512617701812,374299562497,19838405,3000000,500000000,true,-,1784644512636856223,11843566777321991,1784644512636856186,1784644512636864137,11843566777329827,1784644512659917928,11843566800383607,0,1784644512660188037,1784644512657000000,1784644512656000000,1784644512658000000,1784644512656000000,1784644512657000000,1784644512660173349,cancelled,ioc_not_full_cancel,,,,11099485275744,374299563880,,,,,,,11099485275744,374299563880,,,,,,,,,,,0,0,1784644512657000000,23061705,0,23061705,7914,23053780,-1784644512636856223,23331814,270109,330,925,17818,19073,2917928,0,0,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260721_142306_bitget_combined46_n6_fanout1_12h,20260721_142306_bitget_combined46_n6_fanout1_12h:432345564227567618,432345564227567618,2,0,1463470702419652608,bitget,DEXEUSDT,135,1,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,2,,1784644526101000000,1784644526101719273,1784644526101719645,1784644526101721348,1784644526101000000,1784644526101719273,11099486986237,721348,1784644525994000000,1784644525994955166,429443108261,107721348,3000000,500000000,true,-,1784644526101734015,11843580242199756,1784644526101733980,1784644526101740418,11843580242206109,1784644526107662896,11843580248128575,0,1784644526107962039,1784644526105000000,1784644526104000000,1784644526106000000,1784644526104000000,1784644526105000000,1784644526107901671,cancelled,ioc_not_full_cancel,,,,11099486988749,429443111017,,,,,,,11099486988896,429443111017,,,,,,,,,,,0,0,1784644526105000000,5928881,0,5928881,6403,5922466,-1784644526101734015,6228024,299143,372,1703,12667,14742,2662896,0,0,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260721_142306_bitget_combined46_n6_fanout1_12h,20260721_142306_bitget_combined46_n6_fanout1_12h:432345564227567619,432345564227567619,3,0,1463471690148884481,bitget,DEXEUSDT,135,2,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,3,,1784644761594000000,1784644761595071117,1784644761595071490,1784644761595072803,1784644761594000000,1784644761595071117,11099514668281,1072803,1784644761594000000,1784644761594838074,429451955428,1072803,3000000,500000000,true,-,1784644761595084759,11843815735550496,1784644761595084726,1784644761595092734,11843815735558423,1784644761600767323,11843815741233002,0,1784644761601043418,1784644761598000000,1784644761597000000,1784644761599000000,1784644761597000000,1784644761598000000,1784644761600999146,cancelled,ioc_not_full_cancel,,,,11099514670019,429451956009,,,,,,,11099514670104,429451956009,,,,,,,,,,,0,0,1784644761598000000,5682564,0,5682564,7975,5674579,-1784644761595084759,5958659,276095,373,1313,11956,13642,2767323,0,0,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260721_142306_bitget_combined46_n6_fanout1_12h,20260721_142306_bitget_combined46_n6_fanout1_12h:432345564227567620,432345564227567620,4,0,1463471905585115139,bitget,UBUSDT,438,1,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,4,,1784644812958000000,1784644812959209605,1784644812959210022,1784644812959210375,1784644812958000000,1784644812959209605,11099520734640,1210375,1784644812958000000,1784644812958525822,374302194861,1210375,3000000,500000000,true,-,1784644812959222067,11843867099687844,1784644812959222035,1784644812959228263,11843867099693953,1784644812965088658,11843867105554337,0,1784644812965358222,1784644812963000000,1784644812961000000,1784644812963000000,1784644812961000000,1784644812963000000,1784644812965350620,cancelled,ioc_not_full_cancel,,,,11099520735966,374302195324,,,,,,,11099520735966,374302195324,,,,,,,,,,,0,0,1784644812963000000,5866591,0,5866591,6196,5860384,-1784644812959222067,6136155,269564,417,353,11692,12462,2088658,0,0,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260721_142306_bitget_combined46_n6_fanout1_12h,20260721_142306_bitget_combined46_n6_fanout1_12h:432345564227567621,432345564227567621,5,0,1463472121725988870,bitget,DEXEUSDT,135,3,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,5,,1784644864490000000,1784644864491616272,1784644864491616780,1784644864491617573,1784644864490000000,1784644864491616272,11099526672604,1617573,1784644864435000000,1784644864435886431,429455702385,56617573,3000000,500000000,true,-,1784644864491628498,11843918632094241,1784644864491628463,1784644864491635678,11843918632101366,1784644864497279967,11843918637745647,0,1784644864497442623,1784644864495000000,1784644864493000000,1784644864495000000,1784644864493000000,1784644864495000000,1784644864497435729,cancelled,ioc_not_full_cancel,,,,11099526673721,429455703983,,,,,,,11099526673721,429455703983,,,,,,,,,,,0,0,1784644864495000000,5651469,0,5651469,7180,5644281,-1784644864491628498,5814125,162656,508,793,10925,12226,2279967,0,0,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260721_142306_bitget_combined46_n6_fanout1_12h,20260721_142306_bitget_combined46_n6_fanout1_12h:432345564227567622,432345564227567622,6,0,1463472237543305236,bitget,ONDOUSDT,305,1,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,6,,1784644892103000000,1784644892104159123,1784644892104159576,1784644892104160859,1784644892103000000,1784644892104159123,11099530839345,1160859,1784644891988000000,1784644891989094678,374303007789,116160859,3000000,500000000,true,-,1784644892104171767,11843946244637816,1784644892104171732,1784644892104179578,11843946244645267,1784644892110415231,11843946250880912,0,1784644892110694070,1784644892108000000,1784644892106000000,1784644892108000000,1784644892106000000,1784644892108000000,1784644892110684916,cancelled,ioc_not_full_cancel,,,,11099530840602,374303009492,,,,,,,11099530840701,374303009492,,,,,,,,,,,0,0,1784644892108000000,6243464,0,6243464,7811,6235645,-1784644892104171767,6522303,278839,453,1283,10908,12644,2415231,0,0,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260721_142306_bitget_combined46_n6_fanout1_12h,20260721_142306_bitget_combined46_n6_fanout1_12h:432345564227567623,432345564227567623,7,0,1463472424328245249,bitget,USUSDT,445,1,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,7,,1784644936636000000,1784644936637105044,1784644936637105411,1784644936637106832,1784644936636000000,1784644936637105044,11099536250963,1106832,1784644936461000000,1784644936462127505,664585526894,176106832,3000000,500000000,true,-,1784644936637117404,11843990777583091,1784644936637117368,1784644936637125705,11843990777591395,1784644936643011267,11843990783476948,0,1784644936643093435,1784644936640000000,1784644936639000000,1784644936641000000,1784644936639000000,1784644936640000000,1784644936643087102,cancelled,ioc_not_full_cancel,,,,11099536252255,664585528419,,,,,,,11099536252255,664585528419,,,,,,,,,,,0,0,1784644936640000000,5893863,0,5893863,8301,5885553,-1784644936637117404,5976031,82168,367,1421,10572,12360,3011267,0,0,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260721_142306_bitget_combined46_n6_fanout1_12h,20260721_142306_bitget_combined46_n6_fanout1_12h:432345564227567624,432345564227567624,8,0,1463472599985696769,bitget,1000XECUSDT,494,1,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,8,,1784644978516000000,1784644978517023304,1784644978517023924,1784644978517024901,1784644978516000000,1784644978517023304,11099541076233,1024901,1784644978516000000,1784644978516891245,429459973055,1024901,3000000,500000000,true,-,1784644978517035015,11844032657500768,1784644978517034982,1784644978517041444,11844032657507134,1784644978522864391,11844032663330072,0,1784644978523045880,1784644978520000000,1784644978519000000,1784644978521000000,1784644978519000000,1784644978520000000,1784644978523037890,cancelled,ioc_not_full_cancel,,,,11099541077251,429459973649,,,,,,,11099541077313,429459973649,,,,,,,,,,,0,0,1784644978520000000,5829376,0,5829376,6429,5822938,-1784644978517035015,6010865,181489,620,977,10114,11711,2864391,0,0,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260721_142306_bitget_combined46_n6_fanout1_12h,20260721_142306_bitget_combined46_n6_fanout1_12h:432345564227567625,432345564227567625,9,0,1463472720806817796,bitget,KAITOUSDT,236,1,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,9,,1784645007322000000,1784645007323101996,1784645007323102394,1784645007323103540,1784645007322000000,1784645007323101996,11099544872249,1103540,1784645007187000000,1784645007188075247,200245833680,136103540,3000000,500000000,true,-,1784645007323113908,11844061463579688,1784645007323113715,1784645007323122003,11844061463587691,1784645007328889731,11844061469355410,0,1784645007329215265,1784645007326000000,1784645007325000000,1784645007327000000,1784645007325000000,1784645007326000000,1784645007329209236,cancelled,ioc_not_full_cancel,,,,11099544873591,200245834611,,,,,,,11099544873639,200245834639,,,,,,,,,,,0,0,1784645007326000000,5775823,0,5775823,8095,5767719,-1784645007323113908,6101357,325534,398,1146,10368,11912,2889731,0,0,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260721_142306_bitget_combined46_n6_fanout1_12h,20260721_142306_bitget_combined46_n6_fanout1_12h:432345564227567626,432345564227567626,10,0,1463472776976936968,bitget,DEXEUSDT,135,4,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,10,,1784645020714000000,1784645020715113903,1784645020715114277,1784645020715115415,1784645020714000000,1784645020715113903,11099546407090,1115415,1784645020705000000,1784645020705692974,429461446614,10115415,3000000,500000000,true,-,1784645020715124863,11844074855590551,1784645020715124827,1784645020715132434,11844074855598126,1784645020721015321,11844074861481001,0,1784645020721199151,1784645020719000000,1784645020717000000,1784645020719000000,1784645020717000000,1784645020719000000,1784645020721193418,cancelled,ioc_not_full_cancel,,,,11099546408897,429461447348,,,,,,,11099546408897,429461447545,,,,,,,,,,,0,0,1784645020719000000,5890458,0,5890458,7571,5882875,-1784645020715124863,6074288,183830,374,1138,9448,10960,2015321,0,0,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
