run_id,local_order_id,parent_id,route_id,text_order_id,request_sequence,encoded_request_id,exchange_order_id,exchange,symbol,symbol_id,trigger_exchange,trigger_symbol_id,trigger_exchange_ns,trigger_local_ns,on_book_ticker_entry_ns,signal_decision_ns,lead_exchange_ns,lead_local_ns,signal_lead_id,lead_freshness_ns,lag_exchange_ns,lag_local_ns,signal_lag_id,lag_freshness_ns,max_lead_freshness_ns,max_lag_freshness_ns,freshness_guard_pass,freshness_reject_reason,signal_role,order_role,position_id,position_event,position_direction,entry_local_order_id,action,side,reduce_only,time_in_force,status,finish_reason,reject_reason,raw_price,order_price,price_text,price_tick,slippage_ticks,order_offset_ticks,quantity,quantity_text,cumulative_filled_quantity,left_quantity,cancelled_quantity,fill_rate,average_fill_price,last_fill_price,contract_multiplier,filled_notional,fill_role,exec_slippage_price,exec_slippage_ticks,exec_slippage_bps,exec_slippage_quote,limit_improvement_ticks,fee_rate_config,fee_quote_estimated,fee_source,order_session_id,owner_thread_cpu,owner_thread_tid,local_ip,local_port,remote_ip,remote_port,send_cpu,ack_cpu,diagnostic_cpu,tcp_info_available,tcp_info_rtt_us,tcp_info_rttvar_us,tcp_info_retrans,tcp_info_total_retrans,tcp_info_unacked,tcp_info_snd_cwnd,ack_rtt_ns,request_send_monotonic_ns,order_encode_done_local_ns,write_complete_local_ns,write_complete_monotonic_ns,ack_receive_monotonic_ns,place_creation_exchange_ns,protocol_order_status,cancel_reason,feedback_message_exchange_ns,feedback_created_exchange_ns,feedback_updated_exchange_ns,feedback_local_receive_ns,feedback_local_receive_monotonic_ns,ack_exchange_request_ingress_ns,ack_exchange_response_egress_ns,ack_exchange_process_ns,ack_lead_id,ack_lag_id,accepted_lead_id,accepted_lag_id,partial_filled_lead_id,partial_filled_lag_id,filled_lead_id,filled_lag_id,cancelled_lead_id,cancelled_lag_id,rejected_lead_id,rejected_lag_id,unknown_result_lead_id,unknown_result_lag_id,cancel_accepted_lead_id,cancel_accepted_lag_id,cancel_rejected_lead_id,cancel_rejected_lag_id,continuity_lost_lead_id,continuity_lost_lag_id,latency_diagnostic_reason,latency_diagnostic_ack_rtt_ns,send_to_first_after_hook_ns,send_to_first_drive_read_ns,drive_read_duration_ns,max_observed_drive_read_duration_ns,latency_diagnostic_inflight_at_send,max_runtime_loop_gap_ns,runtime_loop_iterations_before_ack,order_encode_done_ns,ws_frame_encode_done_ns,write_enqueue_ns,drive_write_enter_ns,write_some_enter_ns,write_some_return_ns,write_complete_ns,write_some_bytes,write_complete_bytes,write_errno,write_eagain,pending_write_count_after,socket_send_queue_available,tcp_sendq_bytes,tcp_notsent_bytes,request_send_local_ns,ack_local_receive_ns,order_finished_local_ns,source_schema,warnings
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567617,1,0,t-432345564227567617,1,,1463470646014652417,bitget,XLMUSDT,467,kBinance,467,1784644512636000000,1784644512636837150,1784644512636837480,1784644512636838405,1784644512636000000,1784644512636837150,11099485270383,838405,1784644512617000000,1784644512617701812,374299562497,19838405,3000000,500000000,true,-,kLead,entry,1,kEntrySubmit,kLong,432345564227567617,kOpenLong,kBuy,false,,kCancelled,kImmediateOrCancel,kUnknown,0.19399,0.19404,,1e-05,4,5,51,,0,51,51,0,0,0,1.0,,kNone,,,,,,0.0002,,,,,,,,,,,,,,,,,,,,23061705,11843566777321991,1784644512636856186,1784644512636864137,11843566777329827,11843566800383607,1784644512656000000,cancelled,ioc_not_full_cancel,1784644512658000000,1784644512656000000,1784644512657000000,1784644512660173349,11843566800639028,,,,11099485275744,374299563880,,,,,,,11099485275744,374299563880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784644512636856223,1784644512659917928,1784644512660188037,submitted_v1,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567618,2,0,t-432345564227567618,2,,1463470702419652608,bitget,DEXEUSDT,135,kBinance,135,1784644526101000000,1784644526101719273,1784644526101719645,1784644526101721348,1784644526101000000,1784644526101719273,11099486986237,721348,1784644525994000000,1784644525994955166,429443108261,107721348,3000000,500000000,true,-,kLead,entry,1,kEntrySubmit,kShort,432345564227567618,kOpenShort,kSell,false,,kCancelled,kImmediateOrCancel,kUnknown,9.114,9.107,,0.001,7,7,1,,0,1,1,0,0,0,1.0,,kNone,,,,,,0.0002,,,,,,,,,,,,,,,,,,,,5928881,11843580242199756,1784644526101733980,1784644526101740418,11843580242206109,11843580248128575,1784644526104000000,cancelled,ioc_not_full_cancel,1784644526106000000,1784644526104000000,1784644526105000000,1784644526107901671,11843580248367351,,,,11099486988749,429443111017,,,,,,,11099486988896,429443111017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784644526101734015,1784644526107662896,1784644526107962039,submitted_v1,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567619,3,0,t-432345564227567619,3,,1463471690148884481,bitget,DEXEUSDT,135,kBinance,135,1784644761594000000,1784644761595071117,1784644761595071490,1784644761595072803,1784644761594000000,1784644761595071117,11099514668281,1072803,1784644761594000000,1784644761594838074,429451955428,1072803,3000000,500000000,true,-,kLead,entry,2,kEntrySubmit,kShort,432345564227567619,kOpenShort,kSell,false,,kCancelled,kImmediateOrCancel,kUnknown,9.024,9.017,,0.001,7,7,1.1,,0,1.1,1.1,0,0,0,1.0,,kNone,,,,,,0.0002,,,,,,,,,,,,,,,,,,,,5682564,11843815735550496,1784644761595084726,1784644761595092734,11843815735558423,11843815741233002,1784644761597000000,cancelled,ioc_not_full_cancel,1784644761599000000,1784644761597000000,1784644761598000000,1784644761600999146,11843815741464826,,,,11099514670019,429451956009,,,,,,,11099514670104,429451956009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784644761595084759,1784644761600767323,1784644761601043418,submitted_v1,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567620,4,0,t-432345564227567620,4,,1463471905585115139,bitget,UBUSDT,438,kBinance,438,1784644812958000000,1784644812959209605,1784644812959210022,1784644812959210375,1784644812958000000,1784644812959209605,11099520734640,1210375,1784644812958000000,1784644812958525822,374302194861,1210375,3000000,500000000,true,-,kLead,entry,1,kEntrySubmit,kShort,432345564227567620,kOpenShort,kSell,false,,kCancelled,kImmediateOrCancel,kUnknown,0.10488,0.10486,,1e-05,2,2,95,,0,95,95,0,0,0,1.0,,kNone,,,,,,0.0002,,,,,,,,,,,,,,,,,,,,5866591,11843867099687844,1784644812959222035,1784644812959228263,11843867099693953,11843867105554337,1784644812961000000,cancelled,ioc_not_full_cancel,1784644812963000000,1784644812961000000,1784644812963000000,1784644812965350620,11843867105816299,,,,11099520735966,374302195324,,,,,,,11099520735966,374302195324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784644812959222067,1784644812965088658,1784644812965358222,submitted_v1,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567621,5,0,t-432345564227567621,5,,1463472121725988870,bitget,DEXEUSDT,135,kBinance,135,1784644864490000000,1784644864491616272,1784644864491616780,1784644864491617573,1784644864490000000,1784644864491616272,11099526672604,1617573,1784644864435000000,1784644864435886431,429455702385,56617573,3000000,500000000,true,-,kLead,entry,3,kEntrySubmit,kShort,432345564227567621,kOpenShort,kSell,false,,kCancelled,kImmediateOrCancel,kUnknown,8.837,8.83,,0.001,7,7,1.1,,0,1.1,1.1,0,0,0,1.0,,kNone,,,,,,0.0002,,,,,,,,,,,,,,,,,,,,5651469,11843918632094241,1784644864491628463,1784644864491635678,11843918632101366,11843918637745647,1784644864493000000,cancelled,ioc_not_full_cancel,1784644864495000000,1784644864493000000,1784644864495000000,1784644864497435729,11843918637901408,,,,11099526673721,429455703983,,,,,,,11099526673721,429455703983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784644864491628498,1784644864497279967,1784644864497442623,submitted_v1,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567622,6,0,t-432345564227567622,6,,1463472237543305236,bitget,ONDOUSDT,305,kBinance,305,1784644892103000000,1784644892104159123,1784644892104159576,1784644892104160859,1784644892103000000,1784644892104159123,11099530839345,1160859,1784644891988000000,1784644891989094678,374303007789,116160859,3000000,500000000,true,-,kLead,entry,1,kEntrySubmit,kShort,432345564227567622,kOpenShort,kSell,false,,kCancelled,kImmediateOrCancel,kUnknown,0.4074,0.4073,,0.0001,1,1,24.5,,0,24.5,24.5,0,0,0,1.0,,kNone,,,,,,0.00015,,,,,,,,,,,,,,,,,,,,6243464,11843946244637816,1784644892104171732,1784644892104179578,11843946244645267,11843946250880912,1784644892106000000,cancelled,ioc_not_full_cancel,1784644892108000000,1784644892106000000,1784644892108000000,1784644892110684916,11843946251150595,,,,11099530840602,374303009492,,,,,,,11099530840701,374303009492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784644892104171767,1784644892110415231,1784644892110694070,submitted_v1,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567623,7,0,t-432345564227567623,7,,1463472424328245249,bitget,USUSDT,445,kBinance,445,1784644936636000000,1784644936637105044,1784644936637105411,1784644936637106832,1784644936636000000,1784644936637105044,11099536250963,1106832,1784644936461000000,1784644936462127505,664585526894,176106832,3000000,500000000,true,-,kLead,entry,1,kEntrySubmit,kShort,432345564227567623,kOpenShort,kSell,false,,kCancelled,kImmediateOrCancel,kUnknown,0.041527,0.041518,,1e-06,9,9,240,,0,240,240,0,0,0,1.0,,kNone,,,,,,0.0002,,,,,,,,,,,,,,,,,,,,5893863,11843990777583091,1784644936637117368,1784644936637125705,11843990777591395,11843990783476948,1784644936639000000,cancelled,ioc_not_full_cancel,1784644936641000000,1784644936639000000,1784644936640000000,1784644936643087102,11843990783552782,,,,11099536252255,664585528419,,,,,,,11099536252255,664585528419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784644936637117404,1784644936643011267,1784644936643093435,submitted_v1,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567624,8,0,t-432345564227567624,8,,1463472599985696769,bitget,1000XECUSDT,494,kBinance,494,1784644978516000000,1784644978517023304,1784644978517023924,1784644978517024901,1784644978516000000,1784644978517023304,11099541076233,1024901,1784644978516000000,1784644978516891245,429459973055,1024901,3000000,500000000,true,-,kLead,entry,1,kEntrySubmit,kLong,432345564227567624,kOpenLong,kBuy,false,,kCancelled,kImmediateOrCancel,kUnknown,0.006988,0.006989,,1e-06,1,1,1430,,0,1430,1430,0,0,0,1.0,,kNone,,,,,,0.0002,,,,,,,,,,,,,,,,,,,,5829376,11844032657500768,1784644978517034982,1784644978517041444,11844032657507134,11844032663330072,1784644978519000000,cancelled,ioc_not_full_cancel,1784644978521000000,1784644978519000000,1784644978520000000,1784644978523037890,11844032663503569,,,,11099541077251,429459973649,,,,,,,11099541077313,429459973649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784644978517035015,1784644978522864391,1784644978523045880,submitted_v1,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567625,9,0,t-432345564227567625,9,,1463472720806817796,bitget,KAITOUSDT,236,kBinance,236,1784645007322000000,1784645007323101996,1784645007323102394,1784645007323103540,1784645007322000000,1784645007323101996,11099544872249,1103540,1784645007187000000,1784645007188075247,200245833680,136103540,3000000,500000000,true,-,kLead,entry,1,kEntrySubmit,kShort,432345564227567625,kOpenShort,kSell,false,,kCancelled,kImmediateOrCancel,kUnknown,1.0015,1.0013,,0.0001,2,2,9.9,,0,9.9,9.9,0,0,0,1.0,,kNone,,,,,,0.0002,,,,,,,,,,,,,,,,,,,,5775823,11844061463579688,1784645007323113715,1784645007323122003,11844061463587691,11844061469355410,1784645007325000000,cancelled,ioc_not_full_cancel,1784645007327000000,1784645007325000000,1784645007326000000,1784645007329209236,11844061469674915,,,,11099544873591,200245834611,,,,,,,11099544873639,200245834639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784645007323113908,1784645007328889731,1784645007329215265,submitted_v1,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567626,10,0,t-432345564227567626,10,,1463472776976936968,bitget,DEXEUSDT,135,kBinance,135,1784645020714000000,1784645020715113903,1784645020715114277,1784645020715115415,1784645020714000000,1784645020715113903,11099546407090,1115415,1784645020705000000,1784645020705692974,429461446614,10115415,3000000,500000000,true,-,kLead,entry,4,kEntrySubmit,kShort,432345564227567626,kOpenShort,kSell,false,,kCancelled,kImmediateOrCancel,kUnknown,8.904,8.897,,0.001,7,7,1.1,,0,1.1,1.1,0,0,0,1.0,,kNone,,,,,,0.0002,,,,,,,,,,,,,,,,,,,,5890458,11844074855590551,1784645020715124827,1784645020715132434,11844074855598126,11844074861481001,1784645020717000000,cancelled,ioc_not_full_cancel,1784645020719000000,1784645020717000000,1784645020719000000,1784645020721193418,11844074861659194,,,,11099546408897,429461447348,,,,,,,11099546408897,429461447545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784645020715124863,1784645020721015321,1784645020721199151,submitted_v1,
