run_id,local_order_id,exchange_order_id,symbol,symbol_id,order_role,status,side,order_price,price_tick,slippage_ticks,signal_lag_id,signal_lag_local_ns,signal_lag_age_ns,request_send_local_ns,place_creation_exchange_ns,terminal_event,terminal_exchange_ns,window_duration_ns,signal_marketability,creation_marketability,window_marketability,terminal_marketability,marketability_observation,bbo_records_at_creation,bbo_records_in_window,bbo_records_at_terminal,first_no_cross_after_send_ns,first_no_cross_opposite_price,missing_reason
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567617,1463470646014652417,XLMUSDT,467,entry,kCancelled,kBuy,0.19404,1e-05,4,374299562497,1784644512617701812,19838405,1784644512636856223,1784644512656000000,cancel,1784644512657000000,1000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,3,1,257089,0.19404,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567618,1463470702419652608,DEXEUSDT,135,entry,kCancelled,kSell,9.107,0.001,7,429443108261,1784644525994955166,107721348,1784644526101734015,1784644526104000000,cancel,1784644526105000000,1000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,1,1,2415521,9.105,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567619,1463471690148884481,DEXEUSDT,135,entry,kCancelled,kSell,9.017,0.001,7,429451955428,1784644761594838074,1072803,1784644761595084759,1784644761597000000,cancel,1784644761598000000,1000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,3,1,2337473,9.016,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567620,1463471905585115139,UBUSDT,438,entry,kCancelled,kSell,0.10486,1e-05,2,374302194861,1784644812958525822,1210375,1784644812959222067,1784644812961000000,cancel,1784644812963000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,5,1,1089454,0.10485,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567621,1463472121725988870,DEXEUSDT,135,entry,kCancelled,kSell,8.83,0.001,7,429455702385,1784644864435886431,56617573,1784644864491628498,1784644864493000000,cancel,1784644864495000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,15,1,733424,8.829,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567622,1463472237543305236,ONDOUSDT,305,entry,kCancelled,kSell,0.4073,0.0001,1,374303007789,1784644891989094678,116160859,1784644892104171767,1784644892106000000,cancel,1784644892108000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,8,1,1686234,0.4072,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567623,1463472424328245249,USUSDT,445,entry,kCancelled,kSell,0.041518,1e-06,9,664585526894,1784644936462127505,176106832,1784644936637117404,1784644936639000000,cancel,1784644936640000000,1000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,3,1,2962040,0.041508,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567624,1463472599985696769,1000XECUSDT,494,entry,kCancelled,kBuy,0.006989,1e-06,1,429459973055,1784644978516891245,1024901,1784644978517035015,1784644978519000000,cancel,1784644978520000000,1000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,7,1,41444,0.00699,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567625,1463472720806817796,KAITOUSDT,236,entry,kCancelled,kSell,1.0013,0.0001,2,200245833680,1784645007188075247,136103540,1784645007323113908,1784645007325000000,cancel,1784645007326000000,1000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,8,1,1154438,1.0012,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567626,1463472776976936968,DEXEUSDT,135,entry,kCancelled,kSell,8.897,0.001,7,429461446614,1784645020705692974,10115415,1784645020715124863,1784645020717000000,cancel,1784645020719000000,2000000,all_cross,all_cross,mixed,no_cross,indeterminate,1,73,1,3147177,8.896,
