run_id,signal_index,log_time,trigger_exchange,trigger_symbol_id,trigger_exchange_ns,trigger_local_ns,on_book_ticker_entry_ns,signal_decision_ns,lead_exchange_ns,lead_local_ns,signal_lead_id,lead_freshness_ns,lag_exchange_ns,lag_local_ns,signal_lag_id,lag_freshness_ns,symbol,symbol_id,signal_role,action,side,reduce_only,signal_position_id,raw_price,local_order_id,request_sequence,request_send_local_ns,bbo_to_strategy_ns,strategy_to_signal_ns,signal_to_request_send_ns,trigger_to_request_send_ns,exchange_order_id,order_role,order_position_id,position_event,position_direction,order_price,price_tick,slippage_ticks,quantity,status,cumulative_filled_quantity,average_fill_price,exec_slippage_ticks,ack_rtt_ns,order_finished_local_ns,warnings
bitget_lead_lag_top20_20260715T125649Z,1,2026-07-15 13:03:39.022530144,kBinance,67,1784120619021000000,1784120619022527534,1784120619022528008,1784120619022529069,1784120619021000000,1784120619022527534,11053355436161,1529069,1784120615591000000,1784120615591616170,370679303618,3431529069,BAS_USDT,67,kLead,kOpenLong,kBuy,false,0,0.024879,0,,,474,1061,,,,entry,0,,,0.024884,1e-06,5,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,2,2026-07-15 13:03:39.022928955,kBinance,67,1784120619022000000,1784120619022927674,1784120619022928220,1784120619022928879,1784120619022000000,1784120619022927674,11053355436166,928879,1784120615591000000,1784120615591616170,370679303618,3431928879,BAS_USDT,67,kLead,kOpenLong,kBuy,false,0,0.024879,0,,,546,659,,,,entry,0,,,0.024884,1e-06,5,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,3,2026-07-15 13:03:39.022930548,kBinance,67,1784120619022000000,1784120619022929187,1784120619022929737,1784120619022930499,1784120619022000000,1784120619022929187,11053355436241,930499,1784120615591000000,1784120615591616170,370679303618,3431930499,BAS_USDT,67,kLead,kOpenLong,kBuy,false,0,0.024879,0,,,550,762,,,,entry,0,,,0.024884,1e-06,5,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,4,2026-07-15 13:03:39.023391291,kBinance,67,1784120619022000000,1784120619023390438,1784120619023390790,1784120619023391245,1784120619022000000,1784120619023390438,11053355436301,1391245,1784120615591000000,1784120615591616170,370679303618,3432391245,BAS_USDT,67,kLead,kOpenLong,kBuy,false,0,0.024879,0,,,352,455,,,,entry,0,,,0.024884,1e-06,5,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,5,2026-07-15 13:04:06.812492397,kBinance,449,1784120646811000000,1784120646812490042,1784120646812490454,1784120646812491387,1784120646811000000,1784120646812490042,11053359799162,1491387,1784120646809000000,1784120646809810866,370679673125,3491387,VELVET_USDT,449,kLead,kOpenLong,kBuy,false,0,0.51245,432345564227567617,,1784120646812511609,412,933,20222,21567,1461273393439059973,entry,1,kEntrySubmit,kLong,0.51257,1e-05,11,10,kCancelled,0,0,,10211816,1784120646823051569,
bitget_lead_lag_top20_20260715T125649Z,6,2026-07-15 13:07:04.361042961,kBinance,384,1784120824360000000,1784120824361040925,1784120824361041355,1784120824361042560,1784120824360000000,1784120824361040925,11053385312830,1042560,1784120824357000000,1784120824357806114,139752005125,4042560,SOL_USDT,384,kLead,kOpenLong,kBuy,false,0,78.726,432345564227567618,,1784120824361061807,430,1205,19247,20882,1461274138112569433,entry,1,kEntrySubmit,kLong,78.742,0.001,16,0.1,kCancelled,0,0,,0,1784120824367691563,
bitget_lead_lag_top20_20260715T125649Z,7,2026-07-15 13:07:06.958955895,kBinance,316,1784120826958000000,1784120826958953815,1784120826958954355,1784120826958955550,1784120826958000000,1784120826958953815,11053385833782,955550,1784120826844000000,1784120826845179642,198725410460,114955550,ORDI_USDT,316,kLead,kOpenShort,kSell,false,0,3.508,432345564227567619,,1784120826958972725,540,1195,17175,18910,1461274149013565442,entry,1,kEntrySubmit,kShort,3.507,0.001,1,1.5,kCancelled,0,0,,6330558,1784120826965712224,
bitget_lead_lag_top20_20260715T125649Z,8,2026-07-15 13:12:13.309048574,kBinance,347,1784121133308000000,1784121133309047052,1784121133309047430,1784121133309048170,1784121133308000000,1784121133309047052,11053426685214,1048170,1784121133192000000,1784121133192381413,657183553461,117048170,RAVE_USDT,347,kLead,kOpenLong,kBuy,false,0,0.30139,432345564227567620,,1784121133309067040,378,740,18870,19988,1461275433934401537,entry,1,kEntrySubmit,kLong,0.30146,1e-05,6,17,kCancelled,0,0,,5496081,1784121133314954080,
bitget_lead_lag_top20_20260715T125649Z,9,2026-07-15 13:12:13.309071407,kBinance,347,1784121133308000000,1784121133309048085,1784121133309070915,1784121133309071325,1784121133308000000,1784121133309048085,11053426685334,1071325,1784121133192000000,1784121133192381413,657183553461,117071325,RAVE_USDT,347,kLead,kOpenLong,kBuy,false,0,0.30139,0,,,22830,410,,,,entry,0,,,0.30139,1e-05,0,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,10,2026-07-15 13:13:57.449976718,kBinance,438,1784121237449000000,1784121237449974040,1784121237449974971,1784121237449976129,1784121237449000000,1784121237449974040,11053437558843,976129,1784121237364000000,1784121237364341721,370684901869,85976129,UB_USDT,438,kLead,kOpenShort,kSell,false,0,0.08553,432345564227567621,,1784121237449994209,931,1158,18080,20169,1461275870733414412,entry,1,kEntrySubmit,kShort,0.08551,1e-05,2,61,kCancelled,0,0,,5796319,1784121237456227224,
bitget_lead_lag_top20_20260715T125649Z,11,2026-07-15 13:13:57.450555543,kBinance,438,1784121237449000000,1784121237450554474,1784121237450555102,1784121237450555485,1784121237449000000,1784121237450554474,11053437558927,1555485,1784121237364000000,1784121237364341721,370684901869,86555485,UB_USDT,438,kLead,kOpenShort,kSell,false,0,0.08553,0,,,628,383,,,,entry,0,,,0.08553,1e-05,0,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,12,2026-07-15 13:13:57.450557302,kBinance,438,1784121237450000000,1784121237450555222,1784121237450556891,1784121237450557247,1784121237450000000,1784121237450555222,11053437558962,557247,1784121237364000000,1784121237364341721,370684901869,86557247,UB_USDT,438,kLead,kOpenShort,kSell,false,0,0.08553,0,,,1669,356,,,,entry,0,,,0.08553,1e-05,0,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,13,2026-07-15 13:13:57.451036353,kBinance,438,1784121237450000000,1784121237451035471,1784121237451035968,1784121237451036299,1784121237450000000,1784121237451035471,11053437559009,1036299,1784121237364000000,1784121237364341721,370684901869,87036299,UB_USDT,438,kLead,kOpenShort,kSell,false,0,0.08553,0,,,497,331,,,,entry,0,,,0.08553,1e-05,0,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,14,2026-07-15 13:13:57.451037331,kBinance,438,1784121237450000000,1784121237451036116,1784121237451036940,1784121237451037276,1784121237450000000,1784121237451036116,11053437559014,1037276,1784121237364000000,1784121237364341721,370684901869,87037276,UB_USDT,438,kLead,kOpenShort,kSell,false,0,0.08553,0,,,824,336,,,,entry,0,,,0.08553,1e-05,0,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,15,2026-07-15 13:13:57.451038354,kBinance,438,1784121237450000000,1784121237451037313,1784121237451037918,1784121237451038297,1784121237450000000,1784121237451037313,11053437559036,1038297,1784121237364000000,1784121237364341721,370684901869,87038297,UB_USDT,438,kLead,kOpenShort,kSell,false,0,0.08553,0,,,605,379,,,,entry,0,,,0.08553,1e-05,0,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,16,2026-07-15 13:13:57.451039251,kBinance,438,1784121237450000000,1784121237451038234,1784121237451038851,1784121237451039197,1784121237450000000,1784121237451038234,11053437559129,1039197,1784121237364000000,1784121237364341721,370684901869,87039197,UB_USDT,438,kLead,kOpenShort,kSell,false,0,0.08553,0,,,617,346,,,,entry,0,,,0.08553,1e-05,0,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,17,2026-07-15 13:14:15.141549401,kBinance,411,1784121255140000000,1784121255141547432,1784121255141547940,1784121255141549016,1784121255140000000,1784121255141547432,11053440023621,1549016,1784121254652000000,1784121254652992944,370685063146,489549016,TAC_USDT,411,kLead,kOpenShort,kSell,false,0,0.003005,0,,,508,1076,,,,entry,0,,,0.003004,1e-06,1,0,kRejected,,,,,,
