exchange,symbol_id,exchange_symbol,base_asset,quote_asset,settle_asset,status,contract_type,price_tick,price_decimal_places,quantity_step,quantity_decimal_places,min_quantity,max_quantity,max_market_quantity,min_notional,notional_multiplier,price_limit_up,price_limit_down,market_price_bound
bitget,0,BTCUSDT,BTC,USDT,USDT,online,perpetual,0.1,1,0.0001,4,0.0001,1200.0,220.0,5.0,1.0,0.05,0.05,
bitget,1,SOLUSDT,SOL,USDT,USDT,online,perpetual,0.001,3,0.1,1,0.1,62000.0,7800.0,5.0,1.0,0.05,0.05,
bitget,2,DOGEUSDT,DOGE,USDT,USDT,online,perpetual,1e-05,5,1.0,0,1.0,51000000.0,6300000.0,5.0,1.0,0.1,0.1,
bitget,3,XRPUSDT,XRP,USDT,USDT,online,perpetual,0.0001,4,1.0,0,1.0,3700000.0,460000.0,5.0,1.0,0.05,0.05,
bitget,4,HYPEUSDT,HYPE,USDT,USDT,online,perpetual,0.001,3,0.01,2,0.01,64000.0,8300.0,5.0,1.0,0.15,0.15,
bitget,5,TACUSDT,TAC,USDT,USDT,online,perpetual,1e-06,6,1.0,0,1.0,140000000.0,21000000.0,5.0,1.0,0.15,0.15,
bitget,6,ZECUSDT,ZEC,USDT,USDT,online,perpetual,0.01,2,0.001,3,0.001,9600.0,1100.0,5.0,1.0,0.15,0.15,
bitget,7,ORDIUSDT,ORDI,USDT,USDT,online,perpetual,0.001,3,0.01,2,0.01,110000.0,18000.0,5.0,1.0,0.15,0.15,
bitget,8,WLDUSDT,WLD,USDT,USDT,online,perpetual,0.0001,4,1.0,0,1.0,10000000.0,1300000.0,5.0,1.0,0.15,0.15,
bitget,9,SLXUSDT,SLX,USDT,USDT,online,perpetual,0.0001,4,1.0,0,1.0,3000000.0,450000.0,5.0,1.0,0.15,0.15,
bitget,10,UBUSDT,UB,USDT,USDT,online,perpetual,1e-05,5,1.0,0,1.0,4400000.0,790000.0,5.0,1.0,0.15,0.15,
bitget,11,VELVETUSDT,VELVET,USDT,USDT,online,perpetual,1e-05,5,1.0,0,1.0,690000.0,100000.0,5.0,1.0,0.15,0.15,
bitget,12,BTWUSDT,BTW,USDT,USDT,online,perpetual,1e-06,6,1.0,0,1.0,6300000.0,950000.0,5.0,1.0,0.15,0.15,
bitget,13,RAVEUSDT,RAVE,USDT,USDT,online,perpetual,1e-05,5,1.0,0,1.0,1500000.0,270000.0,5.0,1.0,0.15,0.15,
bitget,14,SUIUSDT,SUI,USDT,USDT,online,perpetual,0.0001,4,0.1,1,0.1,5800000.0,720000.0,5.0,1.0,0.15,0.15,
bitget,15,AVAXUSDT,AVAX,USDT,USDT,online,perpetual,0.001,3,0.1,1,0.1,580000.0,72000.0,5.0,1.0,0.1,0.1,
bitget,16,ENAUSDT,ENA,USDT,USDT,online,perpetual,1e-05,5,1.0,0,1.0,53000000.0,6600000.0,5.0,1.0,0.15,0.15,
bitget,17,BASUSDT,BAS,USDT,USDT,online,perpetual,1e-06,6,1.0,0,1.0,15000000.0,2400000.0,5.0,1.0,0.15,0.15,
bitget,18,HUSDT,H,USDT,USDT,online,perpetual,1e-05,5,1.0,0,1.0,6400000.0,960000.0,5.0,1.0,0.15,0.15,
bitget,19,LINKUSDT,LINK,USDT,USDT,online,perpetual,0.001,3,1.0,0,1.0,550000.0,69000.0,5.0,1.0,0.1,0.1,
