run_id,latency_key,local_order_id,parent_id,route_id,exchange_order_id,symbol,symbol_id,position_id,position_direction,order_role,action,side,reduce_only,status,finish_reason,reject_reason,request_sequence,encoded_request_id,trigger_exchange_ns,trigger_local_ns,on_book_ticker_entry_ns,signal_decision_ns,lead_exchange_ns,lead_local_ns,signal_lead_id,lead_freshness_ns,lag_exchange_ns,lag_local_ns,signal_lag_id,lag_freshness_ns,max_lead_freshness_ns,max_lag_freshness_ns,freshness_guard_pass,freshness_reject_reason,request_send_local_ns,ack_local_receive_ns,response_local_receive_ns,order_finished_local_ns,ack_exchange_ns,ack_exchange_request_ingress_ns,ack_exchange_response_egress_ns,ack_exchange_process_ns,ack_lead_id,ack_lag_id,accepted_lead_id,accepted_lag_id,partial_filled_lead_id,partial_filled_lag_id,filled_lead_id,filled_lag_id,cancelled_lead_id,cancelled_lag_id,rejected_lead_id,rejected_lag_id,unknown_result_lead_id,unknown_result_lag_id,cancel_accepted_lead_id,cancel_accepted_lag_id,cancel_rejected_lead_id,cancel_rejected_lag_id,continuity_lost_lead_id,continuity_lost_lag_id,response_exchange_ns,accepted_exchange_ns,finish_exchange_ns,ack_rtt_ns,response_rtt_ns,send_to_ack_local_ns,send_to_response_local_ns,send_to_finish_local_ns,ack_to_finish_local_ns,bbo_to_strategy_ns,strategy_to_signal_ns,signal_to_request_send_ns,trigger_to_request_send_ns,ack_exchange_to_local_ns,response_exchange_to_local_ns,exchange_lifecycle_ns,order_session_id,owner_thread_cpu,owner_thread_tid,local_ip,local_port,remote_ip,remote_port,send_cpu,ack_cpu,diagnostic_cpu,tcp_info_available,tcp_info_rtt_us,tcp_info_rttvar_us,tcp_info_retrans,tcp_info_total_retrans,tcp_info_unacked,tcp_info_snd_cwnd,latency_diagnostic_reason,latency_diagnostic_ack_rtt_ns,send_to_first_after_hook_ns,send_to_first_drive_read_ns,drive_read_duration_ns,max_observed_drive_read_duration_ns,latency_diagnostic_inflight_at_send,max_runtime_loop_gap_ns,runtime_loop_iterations_before_ack,order_encode_done_ns,ws_frame_encode_done_ns,write_enqueue_ns,drive_write_enter_ns,write_some_enter_ns,write_some_return_ns,write_complete_ns,write_some_bytes,write_complete_bytes,write_errno,write_eagain,pending_write_count_after,socket_send_queue_available,tcp_sendq_bytes,tcp_notsent_bytes,warnings
bitget_lead_lag_top20_highspeed_20260715T154837Z,bitget_lead_lag_top20_highspeed_20260715T154837Z:432345564227567617,432345564227567617,1,0,1461316886869979136,ORDIUSDT,316,1,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,,,1784131016445000000,1784131016446460441,1784131016446460841,1784131016446461837,1784131016445000000,1784131016446460441,11054864450960,1461837,1784131016445000000,1784131016446201003,198757846791,1461837,3000000,200000000,true,-,1784131016446481727,1784131016462884199,0,1784131016464870523,1784131016462000000,,,,11054864453006,198757847669,,,,,,,11054864453270,198757847700,,,,,,,,,,,0,0,1784131016462000000,16402472,0,16402472,-1784131016446481727,18388796,1986324,400,996,19890,21286,884199,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitget_lead_lag_top20_highspeed_20260715T154837Z,bitget_lead_lag_top20_highspeed_20260715T154837Z:432345564227567618,432345564227567618,2,0,1461317070085566469,ZECUSDT,480,1,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,,,1784131060141000000,1784131060142541677,1784131060142542820,1784131060142543178,1784131060141000000,1784131060142541677,11054869982824,1543178,1784131060142000000,1784131060142376693,417183079938,543178,3000000,200000000,true,-,1784131060142558359,1784131060145067502,0,1784131060147234857,1784131060144000000,,,,11054869984827,417183080447,,,,,,,11054869986262,417183080939,,,,,,,,,,,0,0,1784131060144000000,2509143,0,2509143,-1784131060142558359,4676498,2167355,1143,358,15181,16682,1067502,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitget_lead_lag_top20_highspeed_20260715T154837Z,bitget_lead_lag_top20_highspeed_20260715T154837Z:432345564227567619,432345564227567619,3,0,1461317266404159490,RAVEUSDT,347,1,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,,,1784131106947000000,1784131106948550618,1784131106948550927,1784131106948552146,1784131106947000000,1784131106948550618,11054874617461,1552146,1784131106948000000,1784131106948429460,657439922745,552146,3000000,200000000,true,-,1784131106948570020,1784131106951369468,0,1784131106953256755,1784131106951000000,,,,11054874618109,657439922936,,,,,,,11054874618619,657439923182,,,,,,,,,,,0,0,1784131106951000000,2799448,0,2799448,-1784131106948570020,4686735,1887287,309,1219,17874,19402,369468,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitget_lead_lag_top20_highspeed_20260715T154837Z,bitget_lead_lag_top20_highspeed_20260715T154837Z:432345564227567620,432345564227567620,4,0,1461317942404329473,BTWUSDT,95,1,kLong,entry,kOpenLong,kBuy,false,kFilled,kUnknown,kUnknown,,,1784131268119000000,1784131268120016390,1784131268120016880,1784131268120018137,1784131268119000000,1784131268120016390,11054892741689,1018137,1784131268119000000,1784131268119327317,417190494589,1018137,3000000,200000000,true,-,1784131268120035449,1784131268122496607,0,1784131268124720714,1784131268122000000,,,,11054892742609,417190494704,,,,,11054892742858,417190494748,,,,,,,,,,,,,0,0,1784131268122000000,2461158,0,2461158,-1784131268120035449,4685265,2224107,490,1257,17312,19059,496607,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitget_lead_lag_top20_highspeed_20260715T154837Z,bitget_lead_lag_top20_highspeed_20260715T154837Z:432345564227567621,432345564227567621,4,0,1461317942685347849,BTWUSDT,95,1,kLong,exit,kCloseLong,kSell,true,kFilled,kUnknown,kUnknown,,,1784131268186000000,1784131268186974574,1784131268186975069,1784131268186975510,1784131268186000000,1784131268186974574,11054892764884,975510,1784131268184000000,1784131268184315692,417190501750,2975510,3000000,200000000,true,-,1784131268186977240,1784131268189302451,0,1784131268191274084,1784131268189000000,,,,11054892765337,417190502042,,,,,11054892765827,417190502294,,,,,,,,,,,,,0,0,1784131268189000000,2325211,0,2325211,-1784131268186977240,4296844,1971633,495,441,1730,2666,302451,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitget_lead_lag_top20_highspeed_20260715T154837Z,bitget_lead_lag_top20_highspeed_20260715T154837Z:432345564227567622,432345564227567622,5,0,1461317942706319364,BTWUSDT,95,2,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,,,1784131268191000000,1784131268192076716,1784131268192077152,1784131268192077421,1784131268191000000,1784131268192076716,11054892766062,1077421,1784131268190000000,1784131268190312825,417190502294,2077421,3000000,200000000,true,-,1784131268192079499,1784131268194293712,0,1784131268196358844,1784131268194000000,,,,11054892766361,417190502421,,,,,,,11054892766833,417190502565,,,,,,,,,,,0,0,1784131268194000000,2214213,0,2214213,-1784131268192079499,4279345,2065132,436,269,2078,2783,293712,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitget_lead_lag_top20_highspeed_20260715T154837Z,bitget_lead_lag_top20_highspeed_20260715T154837Z:432345564227567623,432345564227567623,6,0,1461318194641383439,VELVETUSDT,449,1,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,,,1784131328256000000,1784131328257686968,1784131328257687448,1784131328257688469,1784131328256000000,1784131328257686968,11054901084029,1688469,1784131328216000000,1784131328216784355,370765162187,41688469,3000000,200000000,true,-,1784131328257707161,1784131328260547681,0,1784131328262524832,1784131328260000000,,,,11054901086538,370765163141,,,,,,,11054901088045,370765163385,,,,,,,,,,,0,0,1784131328260000000,2840520,0,2840520,-1784131328257707161,4817671,1977151,480,1021,18692,20193,547681,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitget_lead_lag_top20_highspeed_20260715T154837Z,bitget_lead_lag_top20_highspeed_20260715T154837Z:432345564227567624,432345564227567624,7,0,1461318554911125505,HUSDT,211,1,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,,,1784131414151000000,1784131414152398077,1784131414152398501,1784131414152399397,1784131414151000000,1784131414152398077,11054912168963,1399397,1784131414151000000,1784131414152104422,370765791163,1399397,3000000,200000000,true,-,1784131414152416519,1784131414154978699,0,1784131414156955262,1784131414154000000,,,,11054912169422,370765791211,,,,,,,11054912169760,370765791254,,,,,,,,,,,0,0,1784131414154000000,2562180,0,2562180,-1784131414152416519,4538743,1976563,424,896,17122,18442,978699,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitget_lead_lag_top20_highspeed_20260715T154837Z,bitget_lead_lag_top20_highspeed_20260715T154837Z:432345564227567625,432345564227567625,8,0,1461318973297143808,HUSDT,211,2,kLong,entry,kOpenLong,kBuy,false,kFilled,kUnknown,kUnknown,,,1784131513903000000,1784131513903880471,1784131513903880849,1784131513903881748,1784131513903000000,1784131513903880471,11054927326552,881748,1784131513901000000,1784131513901885585,370766701934,2881748,3000000,200000000,true,-,1784131513903899509,1784131513906222613,0,1784131513908317226,1784131513906000000,,,,11054927326719,370766701967,,,,,11054927326719,370766702009,,,,,,,,,,,,,0,0,1784131513905000000,2323104,0,2323104,-1784131513903899509,4417717,2094613,378,899,17761,19038,222613,0,-1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitget_lead_lag_top20_highspeed_20260715T154837Z,bitget_lead_lag_top20_highspeed_20260715T154837Z:432345564227567626,432345564227567626,8,0,1461318973494276108,HUSDT,211,2,kLong,exit,kCloseLong,kSell,true,kFilled,kUnknown,kUnknown,,,1784131513950000000,1784131513951324041,1784131513951324471,1784131513951324848,1784131513950000000,1784131513951324041,11054927330846,1324848,1784131513950000000,1784131513951141331,370766702485,1324848,3000000,200000000,true,-,1784131513951325991,1784131513953433237,0,1784131513955494882,1784131513953000000,,,,11054927331020,370766702485,,,,,11054927331399,370766702524,,,,,,,,,,,,,0,0,1784131513953000000,2107246,0,2107246,-1784131513951325991,4168891,2061645,430,377,1143,1950,433237,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
